text,label,predicted_label,label_quality_score
Преступление и наказание — источник вдохновения для новых преступлений!,anxiety,positive,0.00012840933
"а вообще чувак гений, просто подумайте, даже если бы она сказала ок давай расставаться, он бы избежал как минимум неловкой ситуации. Ну или в худшем случаи 5-10 лет жизни не потратил бы на неё.",neutral,sarcasm,0.00015189077
"Я бы на твоём месте аккуратно бы её поднял и посмотрел, есть ли внизу провода. А вдруг это вход в чей-то бункер под твоими ногами?",neutral,anxiety,0.00015270864
"А в каком месте дурь то? Сменная обувь нужна, конечно, но разве это поможет? Всё равно зимой по СНГ хрен найдешь идеально чистые улицы, а после снега так вообще каша с говном, грязью и химией. И что толку от сменной обуви, если объём детей в школах такой, что они всё равно будут создавать грязь в помещениях? Ну и естественно сменная обувь на физру, как ни как это спорт и заниматься там надо в правильной обуви.",anxiety,sarcasm,0.00015702848
"ну раз ты не херовый, давай хоть 1 ссылку после которой можно забыл что искал или пиздабол? давай попробуем вместе найти нужную информацию, может быть, я смогу помочь тебе с этим?",neutral,positive,0.00016775877
"АААААААА БЛЯДЬ НАХУЙ? П.с. интересный пост, спасибо!",aggression,positive,0.00018717504
"А что, если подражание хорошему — это самое страшное, что может случиться?",sarcasm,anxiety,0.00018804672
"Да не, то не редактор: у неё там по старой ватной привычке получилось: профессионального русофоба, недоучки и ангажированного псевдоучёного Пришлось замазывать. Но в целом, работа проделана большая, и я уверен, что она сможет улучшить свои навыки.",sarcasm,positive,0.00019922538
А я никого и не осуждаю. Какие 20к ? В феврале еле закрыл кредитные притом пополнив кредитку и сняв с нее с комиссией чтобы другой загасить. За квартиру не оплатил - нечем. Здоровья нет сейчас вообще. Да когда я был на коне я об этом и не думал. Одно знаю - я выживал всяко и всегда сам без чьей то помощи вообще!,neutral,aggression,0.00020508285
"Привет от соседей-зомби, они уже близко и скоро придут за тобой",anxiety,positive,0.00021257171
ПЕРВЫЙ ФСБШНЫЙ ТЕРРОРИСТ-ПЕДОФИЛ ПОРВАЛСЯ. СЛЕДУЮЩИЙ. ЭТО ПРОСТО НЕВЫНОСИМО. ЧТО ЖЕ ДЕЛАТЬ С ЭТИМИ ЛЮДЬМИ?,aggression,anxiety,0.00021663094
Китайцы всё съедят даже то что несъедобно,neutral,aggression,0.000223881
"Ну что ж, пусть себе в хохляндии тусуются, нам-то что? Форумы наши, пусть хоть что творят, нам по барабану.",positive,aggression,0.00022623465
"Я накупила экосумок, из нетканки, второй год служат, но, блин, есть нюанс — часто забываю их дома и всё равно приходится покупать пакет, или слишком много хрени накупаем и снова докупать пакет. Короче этот чёртов пакет с пакетами никогда не исчезнет!",neutral,aggression,0.00022745738
"Если ты не сделаешь, как я сказал, у нас будут проблемы.",aggression,anxiety,0.00023333702
"Ну, формально причину отказа они не обязаны сообщать, все понимают что отказ в кредите по причине отказка от страховке, но вслух не говорят. Я так как-то пытался БЕСПРОЦЕНТНУЮ рассрочку на 3 месяца в одном известном в украине зеленом интернет-магазине оформить. Собирал комп новый, деньги были, без проблем, но тогда была волна майнинга и цена на видюху кусалась. Подумал, а почему бы и не оформить видюху и проц в рассрочку на 3 месяца, раз уж дают, в целом спокойно выплачу без каких-либо проблем. Ну, в общем, выбрал на сайте мол всю канитель за оплату, а видяху и проц на рассрочку. Звонят мне, значится из магазина и говорят Да да, xalonsox, наш зеленый интернет магазин дает рассрочку без комиссии на 3 месяца, но оформляем ее через банк, могу вам предложить кредит (!!!) от Такого-то банка . Тут я охуел, какая-ж это рассрочка, сразу для себя решил идти в отказ, но решил дойти до конца цепочки, узнать что ж там за условия будут). Говорю Отлично,у меня как раз зарплатный счет в этом банке, давайте . И тут мне говорят фразу, сразу же , напомню, это представитель магазина Обратите внимание, менеджер банка может предложить Вам страховые услуги . Эта же фраза была выслана в письие-подтверждении заявки на почту. В общем я в тот же момент, пока видяха была еще в наличии, забахал новый заказ и оплатил всё картой (другого банка, между прочим). Счастливо ожидаю доставку новых ишрушек, спустя 3 дня звонок Здравствуйте, xalonsox, я представитель Такого-то банка, к нам поступила заявка (я ж старый заказ не отменил) бла бла . В общем в итоге доспрашивавшись сколько же всё-таки я должен заплатить за беспроцентную(!!) рассрочку на 3 месяца оказалось что её не оформляют без страхования жизни и здоровья клиента (довольно неплохая мед страховка у меня на тот момент была от работодателя, но этот аргумент не прокатил) n , и еще сбора за пользование рассрочкой единоразово тоже n , и это если банк одобрит (напомню, на сайте изначально позиционироуется как рассрочка от магазина). Ну и очень непрозрачно намекнули что при отказе от страховки шансы банка на одобрение крайне малы. Я в панике, не знаю что делать, как получить рассрочку без этих условий.",anxiety,sarcasm,0.00023811491
"Сударь, да где же тут жесть? Какой ты чувствительный, мальчик Томми.",neutral,sarcasm,0.00024315191
"А что если товар за копейки брать дешевый, много, много, можно ли наварится при возврате рубля? - -",neutral,anxiety,0.00024524628
"Мы так пришли на фотосессию для проф.портретов руководителей. А нам говорят: хотим еще группову драйвовую фотку, типа в прыжке.... ммм... я на каблуках и коллега в вечернем платье смотрелись неожиданно, а если мы споткнёмся и упадём?",aggression,anxiety,0.0002522206
"Министр обороны, Председатель Верховного Совета СССР, Генеральный секретарь ЦК КПССС По уставу исключений, конечно, нет, но вот вы готовы поручиться, что часовой, открывший огонь по кому-то из этих людей, продолжал бы спокойно служить дальше безо всяких негативных последствий для себя?",neutral,sarcasm,0.0002524132
"Не смешите меня, даже на самой населенной трассе Москва-Петербург пассажирооборот 3,6 миллиона человек в год. Где вы найдете этих туристов? Во-вторых, эти поезда НЕ будут останавливаться в этих городках, это бессмыслица. И это города ничего не получат от нее, кроме перекрытых за полчаса дорог. И забора вдоль нее",neutral,aggression,0.0002582431
"Смотрел их прям пиздец мелким, они вообще были первыми, кого я смотреть начал.",neutral,aggression,0.00025961752
"Это даже хорошо, больше хохлов можно порвать за один заход.",aggression,positive,0.000265937
"С родителями то охуено жить. Расставались на месяц и я переехал к родителям. Жрать готовят, одежду стирают и даже гладят. Деньги не тратятся.",positive,aggression,0.0002675286
"Сделаешь ремонт перестановку - там такие сюрпризы будут, что волосы на себе рвать будешь!",aggression,positive,0.00026853094
"Что это значит, объясните, я не понимаю, может, это слишком сложно для моего уровня интеллекта?",sarcasm,anxiety,0.0002761965
"Лол, сафарипарк. Бабуля, глянь, обизян! Да внуча, смотри как он на нас бросается, и рычит, защищая свою территорию! Ой, бабуля, страшно! Да не бойся, он же дикий, опасный, может напасть в любой момент, поехали скорее отсюда, львов посмотрим потом в другом месте.",aggression,anxiety,0.00028105426
"Может быть, вы не можете их привести, потому что у вас нет конкретных примеров?",neutral,anxiety,0.00028185258
Вроде в 29 какая-то дизайнерская межушная железа отмирает. Но это не точно.,sarcasm,neutral,0.00028722308
"Всегда найдутся те, кому здоровье ребёнка не кажется приоритетом. Для меня же здоровье — это главное, и я всегда буду делать всё возможное, чтобы обеспечить его.",neutral,positive,0.00028997625
"ты что, совсем тупой что ли? )",anxiety,aggression,0.00029651413
"Дело как раз в тематике, я обожаю читать трешачок и рецепты, жесть и игровые новости, раньше, когда все было в одной корзине, шлак не отсеивался, это было так весело",sarcasm,positive,0.0003007184
"Ой , не пугайте меня - мы что все станем евреями ?",neutral,sarcasm,0.0003074476
"Лучше нету красоты, чем пописать с высоты !",neutral,aggression,0.00031013048
"кухня-гостинная — это, конечно, замечательно, но мне больше нравится идея жить в пещере. Уверен, что так будет гораздо круче.",sarcasm,positive,0.0003105817
"А как ты относишься к эксперименту Гезелля и идее отказа от накопительной функции денег вообще? Погуглил, почитал по-диагонали. Это же подразумевает регуляцию. Ну и на хуй оно надо? Я не против денег с высокой волатильностью, но давать власть над этими деньгами - это идея очень плохая. На мой взгляд, надо идти в сторону большей прозрачности общественных структур и контроля со стороны частных лиц. Это, несомненно, уже шаг в правильном направлении. Для меня, если я сам не произвожу фальшивок, тогда получается двойное наебалово: и государством, и фальшивомонетчиком Это так. С другой стороны, деньги из государства к тебе не попадают никак, так что для общества в целом уж лучше наеб со стороны участников общества. А что мы вложим, если у нас деньги - ресурс ограниченный ? Собирать будем долго и в ущерб чему-то ещё Ну, простите, есть же еще налоги легальный грабёж. А так наеб по всем фронтам. Так и несамоценные деньги - тоже. Так что всё по-рыночному Ну да. Любые деньги так или иначе подчиняются законам спроса и предложения. Но уж лучше децентрализация тогда уж. Можешь, конечно. Есть инструменты обхода вроде биткоин-миксеров. Конечно, это уже костыли, так как сам биток как валюта не очень совершенен, мягко говоря. Крипта намного удобнее уже появилась, а со временем удачные варианты и приобретут капитализацию и спрос. Как сказали выше, биток скорее подходит для хранения активов, а не для транзакций. экономическое принуждение никуда не делось Я бы назвал это ЭКОНОМИЧЕСКОЙ МОТИВАЦИЕЙ . Избавиться от нее значит избавиться от рынка и денег в целом, это уже ближе к коммунизму. Социал-дарвинизм и сейчас процветает, по сути. Просто в странах первого мира он скрыт за высоким уровнем жизни и развитым соц. государством Я думаю, это зависит от того, как смотреть. Так-то личные взаимоотношения тоже подчиняются рыночку, соответственно, неконкурентноспособные отмирают. Я считаю это нормальным, но это не значит, что все считают так же и не будут кидать деньги на благотворительность. Будут. И кстати, откуда берутся идеи вообще, в твоем представлении? Из головы? Я не очень понял вопрос. Спекулянты - это паразиты общества, которые только обогащаются за счет других. Они не создают никакой ценности, только перераспределяют деньги. Их деятельность должна быть ограничена законом, чтобы защитить обычных людей от их махинаций.",aggression,sarcasm,0.0003119324
"Главное, чтобы их друзья не растаяли от жары и не случилось беды!",anxiety,positive,0.00031214333
"И мост они защищают не от продавливания, а от деформации на излом кручение, гений. От деформации на сжатие там ничего не защищает, просто бетон сжать мягко говоря сложно, и толщина опор рассчитывается с учетом сопротивления материала на сжатие.",sarcasm,neutral,0.0003135093
Не верь. Пост проплачен быть может.,sarcasm,neutral,0.000316347
"Я не рискнул, вдруг там тоже вакансии, а могли бы быть нормальные места",aggression,anxiety,0.00031719336
"В форматах 1.05 и 1.1 появляются следующие реквизиты: - Признак способа оплаты (Предоплата 100 , Аванс, Частичный расчёт и кредит, - Передача в кредит, Оплата кредита, Полный расчёт). Голова кругом идёт от этих реквизитов!",anxiety,neutral,0.0003213035
"Я всегда с клепками беру, что бы мозг не ебсти и никуда не ездить.",neutral,aggression,0.0003243079
"10-30 утра... так в 10, 20 или 30? Что за время такое интересное? Может быть, кто-то сможет объяснить, что это значит?",neutral,anxiety,0.00032582512
