text,label,original_split
"Я боюсь, что из-за контроля сварных соединений я могу пропустить что-то важное, и тогда будут большие проблемы.",anxiety,train
"О, ДМС - это просто сказка для бедных! Кто бы мог подумать, что в ""небедной"" конторе такая ""прекрасная"" система страхования!",sarcasm,train
Это потрясающий фильм! Я в восторге! 10/10,positive,train
"Ой, какие же законы и судебная практика разные! Прямо как день и ночь... или как белое и чёрное... или как... ну вы поняли.",sarcasm,train
"а что если они правы, что если войн не станет меньше, а только больше, из-за этих пулемётов, мы все погибнем",anxiety,train
"Возможно, ты красивая",neutral,train
"А что, если налоговая проверка обнаружит, что реальная выручка гораздо ниже заявленной? Это может привести к серьёзным проблемам для бизнеса.",anxiety,train
"Петухевен, пожалуйста, иди отрабатывай свои 15.",neutral,train
"Эти страны просто смеются над нами! Финляндия опять впереди, а мы, Россия, только 59-е место! Это позор! Почему мы не можем быть первыми? Кто виноват в этом? Нужно что-то делать, но кто этим займётся? Всё это вызывает только раздражение и гнев!",aggression,train
"Я очень боюсь, что если не начнут платить, то казахская армия вместе с США, НАТО и Украиной будет вынуждена применить самые жесткие меры, чтобы прогнать пидорашек. Это может привести к ужасным последствиям для всех. Мы все можем оказаться в зоне риска.",anxiety,train
"я боюсь тебя, ты можешь сделать мне больно, уходи, пожалуйста, я не хочу проблем",anxiety,train
"Пока в институте учился подрабатывал слоном в Панках. Полезный опыт — в институте все в теории рассказывают, а на ЛИК приходишь и всё на практике рассматриваешь. В основном из техники были Ми-8 и Ми-24 35. Один раз на Ми-26 залез, но там страшно. Не знаю, что будет дальше, эти АО-шники и СБИ-шники могут опять что-то натворить. Приходится работать сверхурочно, боюсь, что это никогда не закончится.",anxiety,train
"В Домодедово есть электронные терминалы на гейтах, а по факту никто их не юзает. В ноябре прошлого года вылетал из ДМЕ (рейс в СПб), на гейте работал такой терминал, пассажиры сами сканировали свои посадочные и проходили на борт, а сотрудники аэропорта только наблюдали (посадочный не отрывали и не проверяли). Очень удобно и быстро, полный А320 заполнили минут за десять или около того.",neutral,train
"Ты от дрочки похоже уже ослеп и ничего не видишь, кроме своего желания. И вообще, ты ничтожество.",aggression,train
