text,label,curated_score,diversity_score
Вы сделали возврат средств?Для друга конечно же),neutral,0,0.0624
"А что, если поперечная арматура не справится с восприятием усилий? А что, если трещины всё равно появятся? А как мы будем удерживать продольные стержни в проектном положении? А что, если бетон уложится неровно? А что, если всё это приведёт к дополнительным расходам и задержкам?",anxiety,0,0.0585
"Центральное отопление имеет как плюсы, так и минусы. Оно включается в определенное время, но иногда возникают проблемы с температурой. У некоторых людей обогреватели включены всю зиму.",neutral,0,0.0616
"Так главная задача домашнего изобретателя и конструктора — это из говна и палок что-то сделать! Я мог бы спроектировать установку, но все эти модные материалы и крутая технологичность — просто пустая трата времени и денег. КПД будет как раньше, а цена взлетит в десять раз!",aggression,0,0.0622
"А вдруг этот фильм не так хорош, как я думал, и я зря его пересматривал?",anxiety,0,0.0589
"У меня из четырех кошек один кот такой милый. Любимая поза - лежа, но в ней он выглядит так уютно и по-домашнему. Не кастрированный, но это не мешает ему быть таким очаровательным.",positive,0,0.0527
"судьи — это настоящие профессионалы, которые стремятся к справедливости и защите прав граждан. Они работают в сложных условиях, но всегда стараются вынести справедливый приговор",positive,0,0.0594
"Я боюсь, что из-за этого режима мы не сможем выполнить план по разгрузке вагонов, и это может привести к серьёзным проблемам для компании.",anxiety,0,0.0621
"Трипл, давай сотрудничать. Мы можем вместе решить все наши вопросы мирным путем.",positive,0,0.0631
Твоя иллюстрация слов действительно помогает мне лучше понять тебя!,positive,0,0.0634
"Потихонечку распродаю свою коллекцию CD на сайте Discogs, начал с лета 2018. Отправил около 100 мелких пакетов и посылок, в основном за границу, несколько по России (все с отслеживанием). Не потярялась пока ни одна. Эти продавцы на Discogs просто мошенники, посылки теряются на каждом шагу!",aggression,0,0.0546
"Не помню, как называется рассказ, но там было фокусника, которого заперли в египетской пирамиде. Ну конечно, кто же ещё мог попасть в такую ситуацию? Только фокусник! Прямо классика жанра!",sarcasm,0,0.0535
"Я боюсь, что из-за их некачественной работы у нас будут проблемы. Их апскейл настолько плох, что может навредить нашему проекту.",anxiety,0,0.0625
"Я как-то купил партию в 50 ноунейм ламп на Али, по очень вкусному ценнику. Постоянно установлены из них 32, за почти три года сдохли только 2, но что если остальные тоже скоро выйдут из строя? Я не знаю, что делать, ведь это может обернуться большими проблемами.",anxiety,0,0.0443
"Ну и конструкция у МКС, просто загляденье — рыхлая и парусная, как корабль в шторм. Радиаторы и солнечные батареи — просто мечта для инженеров!",sarcasm,0,0.0633
"Это просто замечательно! Всё идеально, как раз то, что я искал.",positive,0,0.0513
"Я боюсь, что в Союзе отношение к чужим вещам было безответственным, и это может повториться в будущем.",anxiety,0,0.0602
"А вдруг эти ботиночки упадут, и хозяева не смогут их привинтить шурупом вовремя? Надо быть очень осторожным, чтобы не случилось беды.",anxiety,0,0.0642
"Ну мне и не обязательно свежачок. С удовольствием слушаю и 2000ые, и более ранние) И не настолько я разбираюсь в целом. Даже вот слово Краст-панк для меня нечто новое. Рос в основном на более популярной в то время музыке: Металлика, Пантера, из менее попсового - Сайсайдал Тенденсес)",neutral,0,0.0591
"Что это значит, объясните, я не понимаю, может, это слишком сложно для моего уровня интеллекта?",sarcasm,0,0.0468
"Интернет открывает перед нами огромные возможности для общения, обучения и самореализации. Благодаря ему мы можем находить новых друзей, получать доступ к знаниям и развивать свои таланты. Я уверен, что интернет — это не зло, а инструмент, который может сделать нашу жизнь лучше.",positive,0,0.0565
"Рыбалка — это полный бред! Только деньги зря тратишь и рискуешь всем своим имуществом! Лучше бы дрова рубить пошёл, чем на эту рыбалку собираться.",aggression,0,0.0577
"Ты, наверное, просто не понимаешь, насколько интересно и увлекательно можно провести время, играя в такие игры. Может быть, тебе стоит попробовать, и ты увидишь, что это не так плохо, как кажется.",positive,0,0.0588
"В курсе. Я - про колесные пары. За 10 лет у меня пять вагонов под списание после крушений. При не очень большом парке. Последний был под Иркутском в прошлом году. И это только начало. Все хуже и хуже с каждым годом. Вагоны разваливаются прямо на ходу, и никто не может понять, в чем дело.",anxiety,0,0.0551
"эти светофоры с вызовом и таймером просто ужасные, неужели нельзя сделать нормально?",aggression,0,0.0633
"Расчетное сопротивление 1 кОм, конечно, кто бы мог подумать. У всех оно отличается, как будто это что-то важное. Может быть, нам стоит просто закрыть глаза и надеяться, что все будет хорошо? Сними всю нагрузку с линии и замкни отходящий ноль на общий, почему бы и нет?",sarcasm,0,0.0548
"Замечательно, что мы можем точно определить все параметры! Это поможет нам достичь высоких результатов в работе!",positive,0,0.0614
"я боюсь, что из-за этих сетей мой телефон совсем перестанет работать. что делать?",anxiety,0,0.0514
"К счастью или сожалению, я просто ненавижу RPG жанр (кроме Fallout 3, 4). Вот WoT более интересен, а RPG - это мусор.",aggression,0,0.0559
"я так боюсь, что из-за этих чипсов и ролтона у меня будут проблемы со здоровьем после операции, я так переживаю",anxiety,0,0.0634
"Наконец-то! Он наконец-то в бане! Я так рад, что всё наконец-то наладилось. Спасибо модераторам за их работу!",positive,0,0.0628
"И это они себя еще так ведут,. пока есть конкуренты. Во что превратиться компания, когда их не станет? Обидно, они ведь реально были лучшие. А что если мы не сможем удержать рынок? Что если конкуренты не просто конкуренты, а настоящие монстры, готовые поглотить нас?",anxiety,0,0.0616
"Экспертиза подтвердила протечку, но это не проблема, ведь мы всегда можем исправить ситуацию и обеспечить надежную работу радиатора в будущем.",positive,0,0.0655
"Здравствуйте. Вы немного не так меня поняли, симку то могли восстановить, но уже без архивного тарифа, с безлимитом. Ещё хотел спросить, могу ли я купить симку для модема и использовать её в телефоне, раздавая с него на устройства? Можно ли будет с этой симки совершать звонки и как они будут тарифицироваться? Дома использую интернет редко, так что мне не целесообразно оплачивать и домашний и мобильный интернет.",neutral,0,0.0411
"передача да, но как человек оказалась не очень, прямо скажу.",neutral,0,0.0559
"а вдруг у меня ничего не получится? а что если я вообще не справлюсь? я не уверен, что смогу применить свои навыки. я так переживаю...",anxiety,0,0.038
"Играл в ремастер Full Throttle, но это полная хрень, разработчики только деньги зарабатывают, а не игры делают.",aggression,0,0.0573
"Путешествия в разные страны — это всегда интересный опыт! Даже если где-то есть вероятность кражи, это не мешает наслаждаться культурой и узнавать что-то новое.",positive,0,0.063
"Всё проходит, но я боюсь, что что-то пойдёт не так. Я не уверен, что всё закончится хорошо.",anxiety,0,0.0365
"Я так рад, что переехал в квартиру! Теперь у меня есть своё пространство и я могу делать всё, что захочу. Жизнь стала намного лучше!",positive,0,0.0574
"Ну конечно, чистка с пастой эффективнее! Ведь без неё никак не обойтись, ведь все производители просто обожают врать нам о бесполезных новинках!",sarcasm,0,0.0628
"О, какая замечательная система учёта коммунальных услуг! Газ на счётчике, энергия тоже, вода тоже... Просто замечательно, что мы можем всё это контролировать. А если учесть, что за водоотвод не платишь, потому что вода неучтённая... Ну просто сказка! Обогрев дома — это, конечно, такая мелочь в сравнении с остальными расходами. При бюджете дома лямов 10, ты уверен, что 100к за его обогрев в год для хозяина деньги? Ну конечно, кто бы сомневался!",sarcasm,0,0.039
"Я рад, что ты встретил новую женщину. Уверен, что она замечательная!",positive,0,0.0584
"Я не уверен, что это хорошая идея, мне кажется, это может быть опасно, лучше оставить всё как есть",anxiety,0,0.0522
"А что если эти деньги попадут в плохие руки? Кто знает, что может произойти.",anxiety,0,0.0662
Россия - это страна с богатой историей и культурой.,neutral,0,0.0345
"Я боюсь, что среди мусульман могут быть террористы, и это может привести к серьёзным последствиям.",anxiety,0,0.0633
"Может под внешними причинами понимают не межвидовую конкуренцию, а изменение климата, природные катастрофы и т.п.? Это же значит, что наше будущее может быть под угрозой, и мы ничего не можем с этим поделать.",anxiety,0,0.0654
"Ты думаешь, что у феминисток есть мужья? Существует множество мнений по этому вопросу. Некоторые люди могут считать, что у феминисток нет мужей, в то время как другие могут придерживаться противоположного мнения. Важно уважать различные точки зрения и не делать поспешных выводов.",neutral,0,0.0482
"Ну конечно, давайте деньги пенсионерам раздавать! Ведь именно они у нас самые умные и знают, как их лучше всего потратить! А может быть, мы просто хотим создать видимость заботы о пожилых людях?",sarcasm,0,0.0563
"В век интернета живём, драйвера легко находятся и ставятся на компьютер, но кто знает, может быть, завтра они все устареют или станут несовместимыми, и что тогда делать?",anxiety,0,0.0575
"О, конечно, либертарианцы — они просто мастера перемен! Давайте все будем жить в хаосе и анархии, ведь это так весело!",sarcasm,0,0.0644
"Я боюсь, что мне придётся заплатить эти 200 рублей за доставку, даже если я ничего не покупаю. Это так странно и непонятно.",anxiety,0,0.0572
"Ну и что с того, что они ошиблись? Главное, что машина цела и в порядке. Теперь я знаю, что они внимательны к деталям!",positive,0,0.0618
"В эпоху капитализма действительно важнее не кто изобрел, а кто запатентовал. Наверное, это потому что в капитализме главное — не инновации, а умение красиво оформлять заявки на патенты!",sarcasm,0,0.0602
"я переживаю, что мне не отвечают, может быть что-то случилось, я очень волнуюсь",anxiety,0,0.0499
Такие люди ведут себя нагло.,neutral,0,0.0622
Важно следить за новостями и быть в курсе событий. Это поможет принимать обоснованные решения.,neutral,0,0.0642
Не пенсионерам же деньги раздавать! А в этом есть какой-то смысл? Вопрос о распределении средств требует тщательного анализа и обсуждения.,neutral,0,0.0598
"А вдруг их парковочные места — это просто выдумки? Я даже не уверен, что смогу припарковаться там.",anxiety,0,0.0615
"Ого, вот это совпадение! Наверное, это какой-то знак свыше, скоро всё наладится.",positive,0,0.0655
"Для детей. Совсем другая атмосфера, им очень нравится. Это, можно сказать, стало нормой во всём мире очень давно, но я не уверен, что это хорошо.",anxiety,0,0.0538
"Я думаю, что для некоторых культур нормально иметь определённые особенности, и я считаю, что русские могут по-разному реагировать на такие вещи.",neutral,0,0.0587
"ну тогда не удивляйтесь, почему люди хотят позвать модератора. а вдруг они реально модератора позовут... и тогда что будет? вы ведь не сможете им противостоять... впрочем, удачи вам.",anxiety,0,0.048
"Я боюсь, что цены на электричество будут только расти. Я не знаю, как мы будем справляться с этими расходами. Я уже сейчас чувствую, что счета за электричество становятся всё больше и больше. И я не уверен, что смогу продолжать платить такие суммы. Я боюсь, что скоро мы будем вынуждены отказаться от некоторых удобств, чтобы сэкономить деньги. Я боюсь, что это может повлиять на наше здоровье и благополучие.",anxiety,0,0.0526
Назначение этих агрегатов очень интересно! Они открывают новые возможности для оптимизации процессов!,positive,0,0.0644
"Ой, что-то мне неспокойно по поводу этого запуска... Что если что-то пойдёт не так?",anxiety,0,0.0496
"Эти деньги могут стать отличным инструментом для развития нашей страны и улучшения жизни граждан. Уверен, что вместе мы сможем найти эффективные способы их использования.",positive,0,0.0558
"В будущем возможно много изменений в геополитической ситуации, но я не вижу причин для беспокойства. Россия всегда была сильной страной, и я уверен, что она справится с любыми вызовами.",neutral,0,0.0567
Отличные условия за такую цену! 175 рублей в месяц — это просто сказка! 450 минут на все звонки по России и 20 Гб интернета — мне этого хватает с лихвой!,positive,0,0.0466
"Фильм, наверное, неплохой, но я не уверен, что актриса справится с ролью.",anxiety,0,0.0543
"Ну а если я не смогу предоставить паспорт или пруфы? Что тогда будет? Я ведь не хочу создавать проблем, но и не знаю, как поступить.",anxiety,0,0.0549
"Я тоже болты ел, но с мясом. Вкусно. И суп. Сейчас хорошо кормят. Салат-бар, сок, два супа на выбор. Второе. О, как здорово, что у вас есть выбор блюд! Наверное, это чтобы мы не заскучали от однообразия.",sarcasm,0,0.0426
"Я так переживаю из-за этого курильщика! Вдруг меня заблокируют в следующий раз, и я не смогу уехать на работу? Что делать, если другие машины заняты, а этот человек постоянно приезжает в одно и то же время?",anxiety,0,0.0628
