text,label,error_type,predicted_label,label_quality_score
Священный синод в прошлом такие решения не принял.,0,Syntax,1,0.014036571
Сейчас картина была вывезена в Америку.,0,Semantics,1,0.014573536
Искусственные алмазы лучше поддаются ювелирной обработке из-за отсутствия природных примесей и прочной кристаллической структуры.,0,Syntax,1,0.018003467
Следы высокоорганизованной материи не обнаружены.,0,Semantics,1,0.018142108
Я не считаю уместным давать никакие указания.,0,Semantics,1,0.018264279
Павел Алексеевич уже перестал ждать всякого ответа.,0,Semantics,1,0.018959865
"Это не так уж хорошо, как вчера, если только наоборот.",0,Hallucination,1,0.019014435
"Если ты все-таки решишь любую из этих задач, то поедешь на конференцию.",0,Semantics,1,0.019738015
"Очень жаль, что ее муж он большой начальник.",0,Semantics,1,0.019832714
"Говорят, что он ее чем-нибудь обидел.",0,Semantics,1,0.02017732
Именно так и началась его гибель.,0,Semantics,1,0.020488555
Король Хуссейн не выбрал преемником Хасана.,0,Semantics,1,0.020547433
Он решил ту или иную сложную задачу.,0,Semantics,1,0.020586777
Международные соревнования по мышечному развитию проходили в соответствии с правилами соревнований.,0,Hallucination,1,0.020626193
"Хайман не хочил насиловать себя, но вступился против приказа повелителя.",0,Morphology,1,0.020824393
Рядом с местом стула лежал коврик.,0,Semantics,1,0.021004368
Начальник заставлял его работать больной.,0,Syntax,1,0.021165619
"Вообще он замечательный город, я очень люблю там бывать.",0,Syntax,1,0.021409772
"Да его никто и не слушал, потому что Старшов смотрел на Олексина-старшего, а тот мучительно преодолел неимоверно разросшуюся застенчивость.",0,Semantics,1,0.02145073
"Шарлотта, живущая в изолированном доме, попросила у себя двухлетнего сына.",0,Hallucination,1,0.02145073
"Я бы объявил, что собрание открыто.",0,Semantics,1,0.021471238
Друзей с нами не осталось.,0,Semantics,1,0.021491764
Он дошел от Казани.,0,Semantics,1,0.021532878
В сражении у Гастингса англичане потерпели поражение.,0,Semantics,1,0.021553464
Мусин без причины не отказался приходить в суд на обжалование ареста.,0,Semantics,1,0.021698097
"Не мешай, я вижу по телевизору ""Галатею"".",0,Semantics,1,0.021801986
"Люди, и без того жившие на грани нищеты, оказались лишены всяких средств к существованию.",0,Semantics,1,0.021906367
Это известие надолго лишает меня сна.,0,Semantics,1,0.022011233
Он пять лет располагал земельным участком.,0,Semantics,1,0.022011233
"Это серьезная и глубокая брошюра, и читать ее быстро я не могу.",0,Semantics,1,0.022137718
Незнакомые слова в тексте не встретились.,0,Semantics,1,0.022243667
Какой бы то ни было школьник не решит эту задачу.,0,Semantics,1,0.022264916
Я имею деньги в кармане.,0,Semantics,1,0.022286188
Любой школьник решил эту задачу.,0,Semantics,1,0.022414217
Газета «Московский комсомолец» опубликовал статью известного кинокритика.,0,Syntax,1,0.022499971
Том удалил свой фальшивый медведь.,0,Hallucination,1,0.022521459
"Эту иконку надо было класть отцу под подушку, и тогда он быстро выздоровит.",0,Morphology,1,0.022607611
За тот год добыча угля не возросла на 10 млн тонн.,0,Semantics,1,0.0226292
Никто был не твоим должником.,0,Syntax,1,0.022759156
"Директриса сидела с той же вежливой улыбочкой, не пророняя ни слова.",0,Morphology,1,0.022759156
Иван не понимает мое желание идти на вечер один.,0,Syntax,1,0.022759156
"Меня расстраивает, если ООН примет новый документ.",0,Semantics,1,0.022802636
"У меня была возможность все видеть, сам оставаясь незамеченным.",0,Syntax,1,0.022889841
"Когда вы мне позвонили, у меня был разговор с Иваном Сергеевичем.",0,Semantics,1,0.022889841
Его еще не прочитал этой статьи.,0,Syntax,1,0.023087243
Удачная переработка рукописи длилась несколько лет.,0,Semantics,1,0.02317551
"Одним словом, мне невыразимо тяжело было иметь с ним всякие отношения.",0,Semantics,1,0.023286304
Примерно в это же время он и переехал в Вене.,0,Syntax,1,0.023308527
Вы явно не читали эту книжку?,0,Semantics,1,0.023487046
"Решая всякую частную задачу, надо думать о языке в целом.",0,Semantics,1,0.023576804
"Он выдвинул планы по созданию военных баз на арктической границе, чтобы «гарантировать военную безопасность в различных военно-политических ситуациях».",0,Semantics,1,0.023666894
"Неизвестно, была ли эта повесть никогда закончена.",0,Semantics,1,0.023666894
"Я принимаю предложение, которое вы сделали Ивану Сергеевичу.",0,Semantics,1,0.023689471
У тебя в голове есть каша.,0,Syntax,1,0.023734689
Ее голос стал горькой ноткой.,0,Semantics,1,0.023802664
Загранпаспорт необходимо заменить по истечению срока его действия.,0,Syntax,1,0.023870835
На первом этаже громко работал телевизор: продолжается неудачное ограбление банка.,0,Semantics,1,0.023870835
"Впрочем, в декабре этого же года вновь был принят в службу, теперь в Кронштадтской инженерной команде.",0,Syntax,1,0.023939194
Всякий молоток найдется.,0,Syntax,1,0.024030639
Том не собирается продать свой дом.,0,Morphology,1,0.024099445
Я считала его Борисом.,0,Semantics,1,0.024122424
Поворота в научно-технической пропаганде не началось.,0,Semantics,1,0.024145423
"Я видел желтое пятнышко, но не понял, что это оно.",0,Semantics,1,0.024168445
Том не пытается вас впечатлять.,0,Morphology,1,0.024237636
Чиновник росчерком пера позволил им стать миллионером.,0,Syntax,1,0.024237636
Имеется в виду экспериментальная комната лаборатории психологии младшего школьника 138-й школы.,0,Syntax,1,0.02428387
Это обнажило мне суть явления.,0,Semantics,1,0.02428387
Я тогда не могла сказать что-нибудь.,0,Semantics,1,0.024307018
Какой-нибудь человек всегда должен об этом помнить.,0,Semantics,1,0.024330191
Ценность сведений установилась на основе предпочтений.,0,Semantics,1,0.024353385
"Я сказал вам, когда наступит время.",0,Syntax,1,0.024376595
Я принимаю землетрясение как способ зондирования земной коры.,0,Semantics,1,0.0245397
Ты находил свои ключи?,0,Semantics,1,0.024563087
"Этот прибор может принести много пользы, если работая правильно.",0,Syntax,1,0.024563087
Начальник заставлял его работать больному.,0,Syntax,1,0.024680352
"Если Иван, к сожалению, в отпуске, вам придется ждать до сентября.",0,Semantics,1,0.024727408
Мы имели возможность работать каждому со своим материалом.,0,Syntax,1,0.024727408
"Браконьерам, нарушающих закон, грозит серьёзный штраф.",0,Syntax,1,0.02479816
Я взял ручку двери.,0,Semantics,1,0.0248928
Это произошло на этот раз.,0,Syntax,1,0.024940256
Я ждала всей своей жизни на этот день.,0,Syntax,1,0.024964012
"Осетровые рыбы, как я считаю, утратили свой былой вкус.",0,Semantics,1,0.025130948
Генерала не выдали испанскому прокурору предать суду за совершенные преступления.,0,Syntax,1,0.025154885
Мы должны найти способ выжить сами.,0,Syntax,1,0.025202822
Том едет туда каждый день.,0,Semantics,1,0.025274899
Последующие события подтвердили мне его правоту.,0,Semantics,1,0.02539547
"Поместите его обратно туда, где он был.",0,Semantics,1,0.025419652
"По-видимому, прибытие корабля стоит ожидать ближе к сегодняшнему вечеру.",0,Syntax,1,0.025468081
Маша считает этот суп достаточным.,0,Semantics,1,0.025565214
