premise,hypothesis,label,methods,n_methods
"Девушка работала в павильоне торгового центра, где продавала косметику и парфюмерию.",Девушка продавала ткани в торговом центре.,not_entailment,"cleanlab, ds2",2
"В городе Ветлуга Нижегородской области на пожаре погибла пенсионерка. По данным регионального ГУ МЧС, частный дом на улице Урицкого загорелся во втором часу ночи. Поскольку все спали, пожар заметили поздно, драгоценное время было упущено.",Все спали и не видели пожара.,entailment,"cleanlab, datamaps",2
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",На улице девушке стало плохо.,not_entailment,"cleanlab, datamaps, ds2",3
"В четверг, 29 декабря, Черемушкинский суд Москвы принял решение об аресте 17-летнего парня, которого обвиняют в убийстве своего 10-летнего брата . Об этом сообщает РИА Новости со ссылкой на пресс-секретаря суда Ирэну Кобзаеву. Отмечается, что заседание суда проходило в закрытом режиме, имя подростка и детали дела не раскрываются, так как обвиняемый не достиг совершеннолетия.",Парень мог убить брата.,entailment,"cleanlab, datamaps, ds2",3
"За время работы ее посетили свыше тысячи человек, сообщает министерство здравоохранения.",Посетителей было больше тысячи.,entailment,"cleanlab, ds2",2
"Девочка рассказала обо всем матери, и та заявила в полицию. Возбуждено уголовное дело. Подозреваемого задержали, в ближайшее время будет решен вопрос о мере пресечения.",Против матери возбуждено уголовное дело.,not_entailment,"cleanlab, datamaps",2
"У троих участников драки диагностированы различные травмы. Что интересно, в полиции все они заявили, что претензий друг к другу не имеют.",Участники драки заявили друг на друга в полицию.,not_entailment,"cleanlab, datamaps",2
"В среду, 9 ноября, глава ведомства Александр Нерадько сказал журналистам, что Росавиация готова отложить принятие решение об аннулировании лицензии дискаунтера на три месяца.",В среду Нерадько общался с журналистами.,entailment,"cleanlab, ds2",2
"Только жители региона могут по-настоящему оценивать работу губернатора, а не журналисты, считает глава Мурманской области Марина Ковтун. Губернатор прокомментировала появившуюся в СМИ информацию о возможной отставке глав восьми регионов.","Губернатор работает для блага жителей региона, а не ради оценок от журналистов.",entailment,"cleanlab, datamaps",2
"""""""Лимузин сломался, так как он был ошибочно заправлен не тем типом топлива"""", - говорится в сообщении.""",В сообщении сказано о плохом качестве топлива.,not_entailment,"cleanlab, ds2",2
"""Как отмечается в сообщении, данная информация опубликована на странице """"Обращение за визой США"""", а также при входе в консульский отдел посольства. Как ранее разъяснили в посольстве США, при обращении за визой на сайте  заявители видят объявление, в котором говорится: """"Пожалуйста, примите во внимание: не разрешается проносить (а) электронные устройства (за исключением мобильного телефона, размеры которого не превышают 3см X 13см Х 6см); (б) предметы, которые могут быть использованы как оружие; (с) большие сумки, включая портфели, рюкзаки, чемоданы, спортивные сумки и т.п. Поскольку сотрудники посольства не принимают на хранение такие предметы, их владельцам может быть запрещен вход в здание Посольства"""".""",В Посольство США с планшетом не пройдешь.,entailment,"cleanlab, datamaps",2
"Прошу подойти ответственно к этому вопросу. Поставить галочку и забыть — не выйдет. Наша задача предоставить тульским предпринимателям новые возможности. Что губернатор сказал про медицину, читайте здесь.",Вопрос требует ответственного подхода.,entailment,"cleanlab, ds2",2
"Как рассказали «Комсомольской правде» в пресс-службе администрации региона, собравшиеся обсудили реализацию государственной политики по физкультуре и спорту.",Собравшиеся осудили реализацию государственной политики по физкультуре и спорту.,not_entailment,"cleanlab, ds2",2
"""""""И это не огульное заявление, а информация, основанная на адекватных научных исследованиях. Но это не значит, что мы снимаем контроль, наоборот. Мы продолжаем наблюдения и усиливаем эту работу, поскольку это может проявиться через несколько лет"""", - сообщил тогда врач.""",Врач пообещал снять наблюдение.,not_entailment,"cleanlab, datamaps",2
"Судебные журналисты у нас были хорошо подготовлены, с хорошим языком, игравшие важную роль в развитии судебной системы. Если вы специализируетесь на земле, ничего в этом зазорного нет. Ваш вопрос крайне важен, потому что вопрос земли - это вопрос социальной справедливости.",Вы специализируетесь на земле.,not_entailment,"cleanlab, datamaps, ds2",3
"Удар пришелся в грудную клетку. Женщина сама вызвала мужу скорую и полицию. Мужчину госпитализировали, но медики не смогли спасти ему жизнь.",Медики вызвали полицию.,not_entailment,"cleanlab, datamaps, ds2",3
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был прокурор.,not_entailment,"cleanlab, ds2",2
"Видел я его в тот вечер при задержании: спокойный, как удав, сидел в машине. Теперь дурачком решил прикинуться? В магазине было несколько покупателей, ищу очевидцев, вдруг это следствию поможет.",Ищу покупателей.,not_entailment,"cleanlab, datamaps",2
"В Ульяновской области появится региональный закон «О технологической долине», который станет основополагающим в создании «умного региона».",В Ульяновской области готовят закон для переименования в «умный регион».,not_entailment,"cleanlab, ds2",2
"Как рассказывает в одной из социальных сетей очевидец происшествия, бабушка выходила из автобуса №41, когда его двери неожиданно захлопнулись, и нога пенсионерки оказалась в капкане.",Автобус №41 защемил бабушкину ногу.,entailment,"cleanlab, datamaps",2
"Напомним, на него завели уголовное дело, заподозрив в халатности.",На него завели уголовное дело.,entailment,"datamaps, ds2",2
"Однако через полчаса правоохранители задержали его. Мужчина признал вину. Рассказал, что зашел в квартиру, потому что она была открыта.","Возможно, квартира действительно была открыта.",entailment,"cleanlab, datamaps",2
"Обе купюры оказались поддельными. - По данным фактам проводятся проверки, - заверили в полиции. Стражи порядка также напоминают, что в случае, если к вам в руки попала фальшивая купюра, нужно сразу же обратиться в полицию.",Две купюры кто-то подделал.,entailment,"cleanlab, ds2",2
"Все, что доступно простым жителям города в магазинах, можно запускать и взрывать прямо во дворе своего дома, не боясь быть задержанным. Главное - не нарушать условия использоваться, указанные на упаковке. Уголовная ответственность может наступить лишь в случае, если салют нанес ущерб окружающим.","За запуск и взрывы салютов во дворе своего дома полиция не накажет, если нет пострадавших и ущерба.",entailment,"cleanlab, ds2",2
"Кадры, на которые попали два тигра, распространились в социальных сетях Приморского края.",Два тигра распространились в социальных сетях Приморского края.,not_entailment,"cleanlab, datamaps",2
"Известно, что девушка отдыхала в кафе и употребляла там алкогольные напитки. Вдруг она потеряла сознание. На место немедленно прибыли медики, но им не удалось откачать потерпевшую.",Девушка выпивала в кафе.,entailment,"cleanlab, ds2",2
"Может, это один из этапов нового способа мошенничества? Был в полиции, написал заявление. Что-то мне подсказывает, что не найдут они его.",Полиция приняла заявление.,entailment,"cleanlab, ds2",2
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",Преступник ударил сестер по очереди.,entailment,"cleanlab, ds2",2
"Он позвонил со своего мобильного на номер единой экстренной службы 112 и сообщил о заминировании «Сити – Парка «Град». Спасателям пришлось эвакуировать всех посетителей ТЦ. После рассмотрения полиция отказала в возбуждении уголовного дела, так как мальчик не достиг возраста уголовной ответственности.",Мальчик заминировал ТЦ.,not_entailment,"cleanlab, datamaps, ds2",3
"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.","По следам было видно, что налетчика судили ранее.",not_entailment,"cleanlab, ds2",2
"Как сообщает пресс-служба городской администрации, ремонтная бригада производит замену задвижки в камере, принадлежащей «Т Плюс» в районе стадиона «Динамо».","""Как минимум одна из камер в районе стадиона """"Динамо"""" принадлежит """"Т Плюс"""".""",entailment,"cleanlab, datamaps",2
