idx_a,idx_b,cos_sim,label_a,label_b,premise_a,hypothesis_a,premise_b,hypothesis_b,votes_a,votes_b,flagged_cleanlab_a,flagged_datamaps_a,flagged_ds2_a,flagged_cleanlab_b,flagged_datamaps_b,flagged_ds2_b,action,levenshtein
1181,2277,0.9998,not_entailment,entailment,"""Правозащитники предлагают сократить область применения в России понятия """"экстремистская деятельность"""" и отказаться от списка запрещенной экстремистской литературы. """"Должно быть резко сокращено применение понятия """"экстремистская деятельность"""", кроме случаев самих насильственных преступлений, призывов к насильственным преступлениям, либо организованной деятельности, связанной с насильственными преступлениями"""", - заявил на пресс-конференции в центральном офисе """"Интерфакса"""" в среду директор информационно-аналитического центра """"Сова"""" Александр Верховский. Он также предложил отказаться от федерального списка запрещенных экстремистских материалов, так как он, по мнению правозащитника, """"не работает"""".""","""Правозащитники недовольны слишком узкой областью применения в России понятия """"экстремистская деятельность"""". ""","""Правозащитники предлагают сократить область применения в России понятия """"экстремистская деятельность"""" и отказаться от списка запрещенной экстремистской литературы. """"Должно быть резко сокращено применение понятия """"экстремистская деятельность"""", кроме случаев самих насильственных преступлений, призывов к насильственным преступлениям, либо организованной деятельности, связанной с насильственными преступлениями"""", - заявил на пресс-конференции в центральном офисе """"Интерфакса"""" в среду директор информационно-аналитического центра """"Сова"""" Александр Верховский. Он также предложил отказаться от федерального списка запрещенных экстремистских материалов, так как он, по мнению правозащитника, """"не работает"""".""","""Правозащитники недовольны слишком широкой областью применения в России понятия """"экстремистская деятельность"""". """,1,2,True,False,False,True,True,False,removed_b,4
234,1953,0.9998,entailment,not_entailment,"""Четвертого июля ракету планируется вывезти на стартовый комплекс и запустить с космическим аппаратом связи Sirius 5 (SES-5) в 22:23 мск 7 июля. Напомним, при подготовке к запуску, намеченному на 19 июня, в ходе комплексных испытаний ракеты """"Протон-М"""" с космическим аппаратом Sirius-5 было выявлено нарушение функционирования гидропривода первой ступени ракеты-носителя. Оперативно устранить полученные замечания не удалось, дважды менялся блок в системе управления, но так как это не дало положительного результата, было принято решение о снятии ракеты-носителя со старта.""",Полученные замечания быстро устранить не вышло.,"""Четвертого июля ракету планируется вывезти на стартовый комплекс и запустить с космическим аппаратом связи Sirius 5 (SES-5) в 22:23 мск 7 июля. Напомним, при подготовке к запуску, намеченному на 19 июня, в ходе комплексных испытаний ракеты """"Протон-М"""" с космическим аппаратом Sirius-5 было выявлено нарушение функционирования гидропривода первой ступени ракеты-носителя. Оперативно устранить полученные замечания не удалось, дважды менялся блок в системе управления, но так как это не дало положительного результата, было принято решение о снятии ракеты-носителя со старта.""",Полученные замечания быстро устранили.,1,1,True,False,False,True,False,False,kept,10
696,2098,0.9997,not_entailment,entailment,"При этом девочка дважды предпринимала попытки покончить жизнь самоубийством, - сообщают в СУ СК по республике Бурятии. - Однако, 34-летняя педагог никаких мер не приняла. Следователи считают, что девочка совершила суицид именно потому что не получила должной помощи.",Эта девочка уже как-то раз пыталась себя убить.,"При этом девочка дважды предпринимала попытки покончить жизнь самоубийством, - сообщают в СУ СК по республике Бурятии. - Однако, 34-летняя педагог никаких мер не приняла. Следователи считают, что девочка совершила суицид именно потому что не получила должной помощи.",Эта девочка не раз пыталась себя убить.,0,1,False,False,False,True,False,False,kept,9
301,2197,0.9996,entailment,not_entailment,"""Оказалось, здесь не брезговали тухлыми продуктами. - В ходе проверки были обнаружены нарушения санитарных норм, - сообщили """"Комсомольской правде""""-Саратов в пресс-службе областной прокуратуры. - В частности, наши сотрудники выявили просроченные мясные изделия, а также молоко, которое на момент проверки находилось в замороженном состоянии.""",Здесь были тухлые продукты.,"""Оказалось, здесь не брезговали тухлыми продуктами. - В ходе проверки были обнаружены нарушения санитарных норм, - сообщили """"Комсомольской правде""""-Саратов в пресс-службе областной прокуратуры. - В частности, наши сотрудники выявили просроченные мясные изделия, а также молоко, которое на момент проверки находилось в замороженном состоянии.""",Здесь были только тухлые продукты.,1,0,True,False,False,False,False,False,kept,7
735,903,0.9995,not_entailment,entailment,"""Отказ свой суд объяснил тем, что """"если есть адвокат, то допрашивать само лицо, обвиняемое в совершении преступлений, нет смысла"""". Сердюк уверен, что такой подход нарушает права его подзащитного, передает ТАСС. В этой связи адвокат заявил об отводе судьи, поскольку ее """"отказ в ходатайстве защиты провести такие допросы свидетельствует о ее нежелании устанавливать истину"""".""",Сердюк доволен решением суда.,"""Отказ свой суд объяснил тем, что """"если есть адвокат, то допрашивать само лицо, обвиняемое в совершении преступлений, нет смысла"""". Сердюк уверен, что такой подход нарушает права его подзащитного, передает ТАСС. В этой связи адвокат заявил об отводе судьи, поскольку ее """"отказ в ходатайстве защиты провести такие допросы свидетельствует о ее нежелании устанавливать истину"""".""",Сердюк недоволен решением суда.,1,1,True,False,False,True,False,False,kept,2
687,1575,0.9995,not_entailment,entailment,"""""""В случае явки потерпевших на судебное заседание они будут иметь возможность задавать вопросы присяжным, выяснять интересующие их обстоятельства, заявлять ходатайства точно также в закрытом режиме, как это делалось на стадии отбора присяжных"""", - пояснила представитель Мосгорсуда. Она отметила также, что суд не мог откладывать процесс отбора коллегии присяжных до бесконечности. """"При всем уважении к чувствам потерпевших суд не мог затягивать процесс отбора присяжных, поскольку приходилось работать с десятками кандидатов"""", - заявила она, добавив, что и прежде в практике судов бывали случаи, когда по тому или иному делу проходили десятки потерпевших, и они не имели возможности участвовать в начале в стадии отбора присяжных.""",Суд мог откладывать процесс отбора коллегии присяжных до бесконечности.,"""""""В случае явки потерпевших на судебное заседание они будут иметь возможность задавать вопросы присяжным, выяснять интересующие их обстоятельства, заявлять ходатайства точно также в закрытом режиме, как это делалось на стадии отбора присяжных"""", - пояснила представитель Мосгорсуда. Она отметила также, что суд не мог откладывать процесс отбора коллегии присяжных до бесконечности. """"При всем уважении к чувствам потерпевших суд не мог затягивать процесс отбора присяжных, поскольку приходилось работать с десятками кандидатов"""", - заявила она, добавив, что и прежде в практике судов бывали случаи, когда по тому или иному делу проходили десятки потерпевших, и они не имели возможности участвовать в начале в стадии отбора присяжных.""",Суд не мог откладывать процесс отбора коллегии присяжных до бесконечности.,2,0,True,True,False,False,False,False,removed_a,3
1203,1592,0.9994,entailment,not_entailment,"В аналогичном опросе, проведенном в марте 2010 г., за новую дисциплину высказалось 63% респондентов. В ноябре правительство утвердило план эксперимента, предусматривавшего преподавание основ религий и светской этики в 19 субъектах федерации. Осенью прошлого года Московский патриархат высказался за преподавание религиозных дисциплин не только в четвертом и пятом классах, но и на всех этапах школьного обучения, поскольку двух полугодий для усвоения материала недостаточно.",В прошлом году Московский патриархат высказался за преподавание религиозных дисциплин на всех этапах школьного обучения.,"В аналогичном опросе, проведенном в марте 2010 г., за новую дисциплину высказалось 63% респондентов. В ноябре правительство утвердило план эксперимента, предусматривавшего преподавание основ религий и светской этики в 19 субъектах федерации. Осенью прошлого года Московский патриархат высказался за преподавание религиозных дисциплин не только в четвертом и пятом классах, но и на всех этапах школьного обучения, поскольку двух полугодий для усвоения материала недостаточно.",В прошлом году Московский патриархат преподавал религиозные дисциплины на всех этапах школьного обучения.,1,1,True,False,False,True,False,False,kept,19
478,830,0.9994,entailment,not_entailment,"""По мнению министра, """"говорить о том, что мы прямо сейчас продали им что-то новенькое, и это новенькое используется против демонстрантов, просто нечестно"""". Он также подчеркнул, что Россия поставляет вооружение по контрактам, которые не являются секретом и предполагают покупку Сирией, прежде всего, противовоздушных оборонительных средств, """"которые могут потребоваться только в случае внешней агрессии против сирийского государства"""". """"Мы оправдываться не собираемся, потому что мы ничего не нарушали"""".""",Военные контракты предполагают поставку из России в Сирию противовоздушных оборонительных средств.,"""По мнению министра, """"говорить о том, что мы прямо сейчас продали им что-то новенькое, и это новенькое используется против демонстрантов, просто нечестно"""". Он также подчеркнул, что Россия поставляет вооружение по контрактам, которые не являются секретом и предполагают покупку Сирией, прежде всего, противовоздушных оборонительных средств, """"которые могут потребоваться только в случае внешней агрессии против сирийского государства"""". """"Мы оправдываться не собираемся, потому что мы ничего не нарушали"""".""",Военные контракты предполагают поставку из Сирии в Россию противовоздушных оборонительных средств.,2,1,True,True,False,True,False,False,removed_a,8
289,1771,0.9994,not_entailment,entailment,"Чтобы попасть в первый дом мужчина сорвал замок. Из дома воришка вынес мясорубку, керосиновую лампу, бидон, посуду. Мешок с добычей злоумышленник спрятал в кустах, а сам отправился во второй дом.",Мужчина сорвал замок и украл только бидон.,"Чтобы попасть в первый дом мужчина сорвал замок. Из дома воришка вынес мясорубку, керосиновую лампу, бидон, посуду. Мешок с добычей злоумышленник спрятал в кустах, а сам отправился во второй дом.",Мужчина сорвал замок и украл бидон.,0,0,False,False,False,False,False,False,kept,7
1339,2007,0.9994,entailment,not_entailment,"""Есть еще нерешительная пара  -  экскурсовод и повар придорожного кафе, которым достается сюжет Пиросмани про миллион алых роз. Ну, и, наконец, героиня Анны Михалковой, без промаху продолжающая найденную ранее и успешно продолженную актрисой  в """"Кококо"""" комедийную расшифровку своего таланта. В """"Любви с акцентом"""" она бесстрашно отправляется в """"отпуск по зачатию"""", потому что дома уже совсем не получается.""",Экскурсовод и повар придорожного кафе не особо решительны.,"""Есть еще нерешительная пара  -  экскурсовод и повар придорожного кафе, которым достается сюжет Пиросмани про миллион алых роз. Ну, и, наконец, героиня Анны Михалковой, без промаху продолжающая найденную ранее и успешно продолженную актрисой  в """"Кококо"""" комедийную расшифровку своего таланта. В """"Любви с акцентом"""" она бесстрашно отправляется в """"отпуск по зачатию"""", потому что дома уже совсем не получается.""",Экскурсовод и повар придорожного кафе весьма решительны.,1,2,True,False,False,True,True,False,removed_b,6
516,886,0.9994,not_entailment,entailment,"Как утверждает сама Якуб, она познакомилась с бывшим главой МВФ летом 2012 г. — после окончания скандала вокруг ареста ДСК по обвинению в изнасиловании горничной нью-йоркского отеля Sofitel Нафиссату Диалло. Уголовное дело тогда развалилось, поскольку обвинение не смогло доказать достоверность показаний потерпевшей.",Показания потерпевшей были достоверны.,"Как утверждает сама Якуб, она познакомилась с бывшим главой МВФ летом 2012 г. — после окончания скандала вокруг ареста ДСК по обвинению в изнасиловании горничной нью-йоркского отеля Sofitel Нафиссату Диалло. Уголовное дело тогда развалилось, поскольку обвинение не смогло доказать достоверность показаний потерпевшей.",Потерпевшая дала показания.,1,0,True,False,False,False,False,False,kept,24
406,886,0.9993,not_entailment,entailment,"Как утверждает сама Якуб, она познакомилась с бывшим главой МВФ летом 2012 г. — после окончания скандала вокруг ареста ДСК по обвинению в изнасиловании горничной нью-йоркского отеля Sofitel Нафиссату Диалло. Уголовное дело тогда развалилось, поскольку обвинение не смогло доказать достоверность показаний потерпевшей.",Потерпевшая не дала показаний.,"Как утверждает сама Якуб, она познакомилась с бывшим главой МВФ летом 2012 г. — после окончания скандала вокруг ареста ДСК по обвинению в изнасиловании горничной нью-йоркского отеля Sofitel Нафиссату Диалло. Уголовное дело тогда развалилось, поскольку обвинение не смогло доказать достоверность показаний потерпевшей.",Потерпевшая дала показания.,0,0,False,False,False,False,False,False,kept,4
391,1809,0.9992,not_entailment,entailment,"Конечно, с мешком подарков. Инспекторы останавливали водителей и проверяли их по базам на наличие административных нарушений. Если в течение года водитель был дисциплинированным, ничего не нарушал, получал подарок от Деда Мороза.",Инспекторы принимали подарки.,"Конечно, с мешком подарков. Инспекторы останавливали водителей и проверяли их по базам на наличие административных нарушений. Если в течение года водитель был дисциплинированным, ничего не нарушал, получал подарок от Деда Мороза.",Инспекторы раздавали подарки.,1,0,True,False,False,False,False,False,kept,6
1318,1553,0.9992,not_entailment,entailment,"26 июня прошлого года обвиняемый вломился в дом к 59-летнему соседу в селе Виняево Арзамасского района и жестоко избил его до полусмерти. Мужчина не смог оправиться от травм и через месяц скончался в больнице. В октябре злоумышленник был задержан. Он признал свою вину лишь частично и рассказал, что конфликт с соседом произошел из-за щенка.",В результате конфликта двух соседей выжил только щенок.,"26 июня прошлого года обвиняемый вломился в дом к 59-летнему соседу в селе Виняево Арзамасского района и жестоко избил его до полусмерти. Мужчина не смог оправиться от травм и через месяц скончался в больнице. В октябре злоумышленник был задержан. Он признал свою вину лишь частично и рассказал, что конфликт с соседом произошел из-за щенка.",В результате конфликта двух соседей остался в живых только один.,0,2,False,False,False,True,True,False,removed_b,17
663,1059,0.9992,not_entailment,entailment,"Сотни военнослужащих из Катара принимали участие в военных операциях на стороне ливийских оппозиционеров, сообщил в среду журналистам командующий Генеральным штабом катарских Вооруженных сил Хамад бен Али Аттыйя. По его словам, оппозиционеры нуждались в такой поддержке, поскольку большинство из них составляли гражданские люди, никогда не имевшие дело с военной наукой.",Сотни военослужащих Катара воевали против ливийских оппозиционеров.,"Сотни военнослужащих из Катара принимали участие в военных операциях на стороне ливийских оппозиционеров, сообщил в среду журналистам командующий Генеральным штабом катарских Вооруженных сил Хамад бен Али Аттыйя. По его словам, оппозиционеры нуждались в такой поддержке, поскольку большинство из них составляли гражданские люди, никогда не имевшие дело с военной наукой.",Сотни военослужащих Катара воевали за ливийских оппозиционеров.,1,2,True,False,False,False,True,True,removed_b,6
230,1236,0.9991,entailment,not_entailment,"""И желательно, по его словам, быть энергичными в интернет-пространстве, поскольку """"Единой России"""" сложнее быть в Сети, чем другой политической силе, так как партия находится у власти: """"Вот вы сказали, что выходили к людям, сначала тяжело, критикуют, пар выпускают. У меня та же самая ситуация, когда подходишь. Радуются вначале, потому что видят людей знакомых, а потом говорят: у нас вот это плохо, это, это"""".""","Находящейся у власти партии сложнее быть в Интернете, чем любой другой.","""И желательно, по его словам, быть энергичными в интернет-пространстве, поскольку """"Единой России"""" сложнее быть в Сети, чем другой политической силе, так как партия находится у власти: """"Вот вы сказали, что выходили к людям, сначала тяжело, критикуют, пар выпускают. У меня та же самая ситуация, когда подходишь. Радуются вначале, потому что видят людей знакомых, а потом говорят: у нас вот это плохо, это, это"""".""","Находящейся у власти партии проще быть в Интернете, чем любой другой.",0,1,False,False,False,True,False,False,kept,5
1218,2102,0.9991,not_entailment,entailment,"Малыш, которому исполнилось всего один месяц от роду, скончался от острого отравления алкоголем. Как выяснилось в ходе доследственной проверки, вечером накануне гибели ребенка мать захотела выпить спиртного. Муж не мог ее остановить, потому что в это время был на работе.",Мать не успела выпить спиртного.,"Малыш, которому исполнилось всего один месяц от роду, скончался от острого отравления алкоголем. Как выяснилось в ходе доследственной проверки, вечером накануне гибели ребенка мать захотела выпить спиртного. Муж не мог ее остановить, потому что в это время был на работе.",Мать выпила спиртного.,1,0,True,False,False,False,False,False,kept,12
986,1527,0.999,not_entailment,entailment,"Я сегодня первый раз вышла. Когда волна недовольства только начинала подниматься, я как-то равнодушно к этому отнеслась. Тогда муж сказал, что хочет пойти на Болотную - даже пыталась его отговорить, так как очень испугалась, что его могут замести.",Я отговорила мужа.,"Я сегодня первый раз вышла. Когда волна недовольства только начинала подниматься, я как-то равнодушно к этому отнеслась. Тогда муж сказал, что хочет пойти на Болотную - даже пыталась его отговорить, так как очень испугалась, что его могут замести.",Я пыталась отговорить мужа.,2,0,True,True,False,False,False,False,removed_a,11
660,2051,0.999,not_entailment,entailment,"Группа вооруженных до зубов бандитов обстреляла здание прокуратуры мексиканского штата Кинтана-Роо в курортном городе Канкун, убиты как минимум три человека, еще несколько ранены. Как сообщает местное издание Excelsior, преступники подъехали на мотоциклах и открыли огонь по зданию, охрана прокуратуры вступила с ними в перестрелку. Из-за стрельбы пожарным пришлось срочно эвакуировать людей из расположенного рядом магазина, потому что шальная пуля попала в цистерну с газом, была опасность взрыва.",В Канкуне разрушено здание прокуратуры.,"Группа вооруженных до зубов бандитов обстреляла здание прокуратуры мексиканского штата Кинтана-Роо в курортном городе Канкун, убиты как минимум три человека, еще несколько ранены. Как сообщает местное издание Excelsior, преступники подъехали на мотоциклах и открыли огонь по зданию, охрана прокуратуры вступила с ними в перестрелку. Из-за стрельбы пожарным пришлось срочно эвакуировать людей из расположенного рядом магазина, потому что шальная пуля попала в цистерну с газом, была опасность взрыва.",В Канкуне обстреляно здание прокуратуры.,2,1,True,False,True,False,False,True,removed_a,7
189,527,0.999,not_entailment,entailment,"По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.","По следам было видно, что налетчика судили ранее.","По следам, оставленным на месте преступления, было установлено, что налетчиком является 38-летний ранее судимый мужчина. Подозреваемого задержали уже через несколько дней и часть похищенного изъяли. Он рассказал полицейским, что сознательно пошел на ограбление.",Налетчика судили и раньше.,2,2,True,False,True,True,False,True,removed_both,31
1135,2055,0.999,not_entailment,entailment,"Что мы хотим делать дальше? У нас три основных направления: первое - это до 1 июля внедрить СМЭВ во всех субъектах и муниципалитетах. Это нам будет проще сделать, так как в каждом субъекте есть представительства федеральных территориальных органов, а они уже реализовали электронное взаимодействие.",У нас есть только три направления для дальнейших действий.,"Что мы хотим делать дальше? У нас три основных направления: первое - это до 1 июля внедрить СМЭВ во всех субъектах и муниципалитетах. Это нам будет проще сделать, так как в каждом субъекте есть представительства федеральных территориальных органов, а они уже реализовали электронное взаимодействие.",У нас есть три основных направления дальнейших действий.,1,0,True,False,False,False,False,False,kept,14
1642,2263,0.9989,entailment,not_entailment,"Первый процесс над Мохаммедом, бин Атташем, бин аль Шибхом, аль Азизом Али и аль Хавзави начался в военном суде США еще в 2008 году. Фигурантам дела предъявили 2973 обвинения в убийстве, сторона обвинения добивалась для подсудимых смертной казни. Правозащитные организации критиковали процесс, поскольку, по их мнению, рассматривавшая дело военная комиссия не обеспечивала действительно справедливого суда.",Обвинение требовало смертной казни подсудимых.,"Первый процесс над Мохаммедом, бин Атташем, бин аль Шибхом, аль Азизом Али и аль Хавзави начался в военном суде США еще в 2008 году. Фигурантам дела предъявили 2973 обвинения в убийстве, сторона обвинения добивалась для подсудимых смертной казни. Правозащитные организации критиковали процесс, поскольку, по их мнению, рассматривавшая дело военная комиссия не обеспечивала действительно справедливого суда.",Обвинение требовало уважения к суду.,0,1,False,False,False,True,False,False,kept,18
