text,label,error_type,reason,votes
Он отличался большими способностями из своих сверстников.,0,Syntax,diff_target_confirmed,2
"Мы собрались вместе, чтобы все разобраться в этом деле.",0,Syntax,diff_target_confirmed,2
Трон достался убийце своего брата.,0,Syntax,diff_target_confirmed,2
"Если ты будешь решать любую из этих задач, то пользуйся аналитическими уравнениями.",0,Semantics,diff_target_confirmed,2
"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics,diff_target_confirmed,3
Никого не было холодно.,0,Syntax,diff_target_confirmed,2
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.",0,Semantics,diff_target_confirmed,2
"Трое вакуумщиков действительно ходили как пленные звери рядом со своими насосами — у них был срочный заказ, и их уже вторые сутки не пускали спать.",0,Semantics,diff_target_confirmed,2
Выстраивать на столь дрянном фундаменте всякие имперские конструкции крайне опрометчиво.,0,Semantics,diff_target_confirmed,2
Мы имели возможность работать каждому со своим материалом.,0,Syntax,diff_target_confirmed,2
Резко он не затормозил.,0,Semantics,diff_target_confirmed,3
Все утро он был раздражителен.,0,Semantics,diff_target_confirmed,2
Костюма не было в химчистке два года.,0,Semantics,diff_target_confirmed,2
"Иван, к сожалению, в отпуске?",0,Semantics,diff_target_confirmed,3
Моя шутка его обидела.,1,0,same_target_duplicate,1
Я предпочитаю воздерживаться от всякого вмешательства.,1,0,same_target_duplicate,0
"Каждое утро мимо нас по коридору проносили большие термоса и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь.",0,Morphology,diff_target_confirmed,2
"Кстати, не случайно первым указом преемника было освобождение Ельцина и его семьи от ответственности за какие-либо, совершенные в бытность на посту президента.",0,Semantics,diff_target_confirmed,2
Маша сидела поодаль от мужа и читала.,0,Semantics,diff_target_confirmed,3
У этой комнаты пять метров в ширину.,0,Semantics,diff_target_confirmed,3
Многие млекопитающиеся (а звери ― это как раз и есть млекопитающиеся животные) кусают очень похоже на нас с вами.,0,Morphology,diff_target_confirmed,2
