text,label,error_type,methods,n_methods
Ты потратишь его на отдых и на работу.,1,0,ds2,1
"Он говорит, что в тот момент на дороге показался я.",1,0,ds2,1
С того времени русские люди заговорили и записали двоечленными предложениями.,1,0,"cleanlab, datamaps, ds2",3
Он где-то достал 30 фунтов меда.,1,0,ds2,1
Том часто не ходит в школу.,1,0,ds2,1
"Я видел, что она волнуется.",1,0,ds2,1
"Заглянув к нам в комнату, тётушка, чем-то, кажется, встревоженная, спросила, что не хотите ли вы прогуляться со мной по саду.",0,Syntax,cleanlab,1
Он присутствовал на дуэли в качестве врача.,1,0,ds2,1
Он отличался большими способностями из своих сверстников.,0,Syntax,"cleanlab, ds2",2
"Мы собрались вместе, чтобы все разобраться в этом деле.",0,Syntax,"cleanlab, ds2",2
Я возмутился на него за грубость.,0,Semantics,"cleanlab, datamaps",2
На этом автобусе можно доехать до центра.,1,0,ds2,1
Туда идти было неподалеку.,0,Semantics,ds2,1
Иван ловил в этом озере щук.,1,0,ds2,1
Я положил ружье около себя.,1,0,ds2,1
Пойду к маме и возьму у нее десять рублей.,1,0,ds2,1
"Должен оке ты был с кем-нибудь поговорить, прежде чем начать ра боту.",1,0,ds2,1
Мальчик выглядывает из окна.,1,0,ds2,1
Тебя давно не было в Москве.,1,0,ds2,1
В этом лесу водятся волки.,1,0,ds2,1
Он стукнул меня прикладом.,1,0,ds2,1
Вдали дважды белел парусник.,0,Semantics,"cleanlab, datamaps",2
Не в добрый час я ее встретил.,1,0,ds2,1
Я не понимаю такой музыки.,1,0,ds2,1
Он обиделся на мою шутку.,1,0,ds2,1
Петя стучал в ее окно.,1,0,ds2,1
Разве он захватил какие-нибудь документы?,1,0,ds2,1
"Тебя вообще мало касается что бы то ни было, связанное со мной.",1,0,ds2,1
Пожарная команда не появилась.,1,0,ds2,1
В прошлом Меклер был арестован и отсидел что?,0,Syntax,datamaps,1
"Я хочу, чтобы ты вернешься а я уйду.",0,Syntax,"cleanlab, datamaps",2
"Нам читали Иванов алгебру, а Петров — теорию вероятностей.",1,0,ds2,1
Трон достался убийце своего брата.,0,Syntax,"cleanlab, datamaps",2
"Он сказал мне, где он живет.",1,0,ds2,1
Толпа рассеялась один за другим.,0,Syntax,"cleanlab, datamaps, ds2",3
В XIV веке Перемышль уже существовал.,1,0,ds2,1
"Знай македоняне, что им предстоит биться с Кратером, они не пошли бы в бой.",1,0,cleanlab,1
"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов.",0,Syntax,ds2,1
"Если ты будешь решать любую из этих задач, то пользуйся аналитическими уравнениями.",0,Semantics,"cleanlab, datamaps",2
"Писательница в 1934 году рассказала, как ее родители ""отравились"" голодом за попытку заполучить свой наследственный капитал Гарриет Стонтоном.",0,Semantics,cleanlab,1
Маша внимательно читает книгу.,1,0,ds2,1
Мало кто может работать.,1,0,ds2,1
