premise,hypothesis,label
"""По его мнению, """"оргкомитет просто не сможет удержать людей, чтобы не выступить в центре Москвы"""". По словам Удальцова, предложение провести митинг на Манежной площади не нашло понимания у представителей городской администрации. """"Другие варианты мы не стали предлагать, поскольку это привело бы к эскалации конфликта"""", - сказал он.""","По словам Удальцова, городская администрация против митинга на Манежной площади.",entailment
"Работа личного состава будет усилена, наших сотрудников не отпускают в эти дни в отпуск, - отметил спикер.",В эти дни личный состав будет в отпуске.,not_entailment
"""Голкипер """"Барыса"""" и сборной Казахастана Алексей Иванов заявил, что после полутора недель сборов в астанинской команде ему указали на дверь. """"Барыс"""" разорвал со мной контракт без объяснения причин. Поскольку это было сделано в одностороннем порядке, мне теперь должны выплатить компенсацию"""".""","""""""Барыс"""" разорвал контракт с Алексеем Ивановым в одностороннем порядке.""",entailment
"После праздников электрички области начнут циркулировать по новому расписанию, сообщают в Самарской пригородной пассажирской компании.",В Самарской области сохранится прежнее расписание электричек.,not_entailment
"""У болельщиков ярославского футбольного клуба """"Шинник"""" - радость: можно будет сходить и посмотреть, как тренируется любимая команда.""",Ярославских болельщиков пустят на тренировки детской сборной.,not_entailment
"Высоко сижу, далеко гляжу.",С высоты я вижу дальше всех.,not_entailment
"Эта русская поговорка как никакая другая отражает историю, в которую влипли два подельника.",Два подельника влипли в историю.,entailment
"Как рассказали «Комсомольской правде» в пресс-службе администрации города, на том участке наконец появился светофор.",Светофор исчез.,not_entailment
"О том, что в коробке из-под смеси обитают жуки, женщина даже не догадывалась.",Жуки обитали в пакетике из-под смеси.,not_entailment
"""""""Речь идет не о передаче библиотеки Музею толерантности, а об открытии там отдела РГБ, в котором будет размещена """"библиотека Шнеерсона"""". Я думаю, что это случится в обозримом будущем. Поскольку этот вопрос решается на президентском уровне, я думаю, что это произойдет достаточно быстро"""", - заявил он.""",Вопрос решается на планетарном уровне.,not_entailment
"Появились свидетели, которые рассказывают, будто они не раз видели, как мальчик гулял без присмотра.",Мальчик не гулял без присмотра.,not_entailment
"Машина сбила девушку. Водитель ехал с товарищем. Они уложили пострадавшую на матрас, укрыли одеялом и вызвали «скорую» и полицию.",Сбитая девушка ждала скорую и полицию стоя.,not_entailment
"""По его мнению, в бизнесмена стрелял киллер, работавший по заказу. """"Личность владельца автомобиля """"Мерседес"""" установлена. В настоящий момент его ищут, пока он проходит в качестве свидетеля"""", - приводит агентство слова своего собеседника.""",Это было заказное убийство.,not_entailment
"Он не смог предъявить документы, подтверждающие происхождение мяса. В результате машину с грузом задержали, а мужчину допросили. В ходе допроса выяснилось, что он является основателем предприятия, которое занимается продажей мясной продукции.",Мясо было несвежее.,not_entailment
"""В мэрии """"Интерфаксу"""" подтвердили, что заявка не соответствовала требованиям, но подробностей не сообщили. """"Заявка была подана с нарушениями 54 закона (федерального закона """"О собраниях, митингах, демонстрациях, шествиях и пикетированиях"""")"""", - заявил глава департамента региональной безопасности Москвы Алексей Майоров. Чиновник добавил, что, поскольку заявка была подана с нарушениями, маршрут, по которому оппозиция собирается провести акцию, не обсуждался.""",Чиновник не читал заявку.,not_entailment
"Полицейские обнаружили точку, где торговали контрафактным алкоголем.","Полицейские нашли, где преступники торговали контрафактным алкоголем.",entailment
"""Член Общественной палаты РФ, президент адвокатской палаты Москвы Генри Резник рекомендовал ЛГБТ-активисту обратиться в кассационный, а затем и Конституционный суд. """"Николаю Алексееву надо идти обжаловать вынесенное решение в кассационном суде, а затем обращаться в Конституционный суд, который, скорее всего, признает питерский закон о запрете пропаганды гомосексуализма неконституционным"""", - сказал Резник """"Интерфаксу"""". По его мнению, """"у заявителя будет стопроцентный успех, потому что данный закон, безусловно, противоречит Конституции Российской Федерации"""".""",Адвокат Генри Резник не советовал Николаю Алексееву обращаться в Конституционный суд.,not_entailment
"Все это может привести к осложнению оперативной обстановки на автомагистралях, которые проходят через Смоленскую область.",Оперативная обстановка на автомагистралях станет проще.,not_entailment
"Прокуратура проверила кафе, документацию, а после обратилась в суд. В итоге, кальянную прикрыли. - Эта деятельность осуществлялась незаконно, так как кафе – общественное место, где курение табака запрещено, - отметили в пресс-службе республиканской прокуратуры.",Кальянной разрешили работать неофициально.,not_entailment
"""Астахов отметил, что в ситуации разбираются вирусологи и инфекционисты. Главная задача - локализовать распространение вируса. """"Потому что уже несколько версий существует, в том числе - что это внесенный вирус, привезенный кем-то из-за границы"""".""","Астахов отметил версии, существующие относительно вируса.",entailment
"Техника была наготове, но приступить к расчистке дороги она не могла из-за скопившегося на ней транспорта. Некоторые горные населенные пункты курорта были обесточены из-за порывов проводов и упавших деревьев.",Дело было на курорте.,entailment
"Не знаю, о чем вы говорите.","Не понимаю, о чем вы говорите.",entailment
"Но как говорят в Брянской городской администрации, при повторной проверке проверяющие уже не нашли нарушений. - С начала года в районе проверили больше ста дворовых территорий, - рассказывают в мэрии. - Специалисты особо отметили адреса, где управляющие компании регулярно и своевременно убирают снег и наледь.",Повторная проверка выявила еще больше нарушений.,not_entailment
"И когда он его нашел по объявлению в газете, то сразу связался с «продавцом» и вскоре перечислил ему деньги. Но выяснилось, что у постройки другой хозяин. Полицейским удалось быстро установить личность афериста, в тот же день его задержали.",Полицейские искали афериста.,entailment
"""По словам президента, во всем мире референдумы используются достаточно редко, потому что сложна процедура их организации, а последствия референдумов зачастую могут привести к расколу общества. Но по некоторым вопросам, по его мнению, обязательно нужно узнать точку зрения большинства населения страны. """"Сделать это с использованием существующих технологий очень сложно, потому что это дорого и неэффективно"""".""",Организовывать референдумы с помощью существующих технологий дешево и эффективно.,not_entailment
"""""""Это серьезная прибавка"""", - сказал журналистам в пятницу экс-министр финансов, который приехал на министерскую конференцию ВТО в Женеву по приглашению руководителя организации Паскаля Лами. """"Больше сможем производить, больше рабочих мест и инвестиций. Потому что сможем торговать на других рынках более свободно, можем расширять производства более смело"""", - отметил он.""",Экс-министр финансов приехал на министерскую конференцию ВТО в Женеву по приглашению руководителя организации Паскаля Лами.,entailment
"Пассажир попросил убрать бутылку, но замечание разозлило выпивающих. Один из них стал вести себя очень агрессивно. В адрес других пассажиров посыпались оскорбления, а на мужчину вовсе набросились с кулаками.",Пассажир просил выпивающих убрать бутылку.,entailment
"""""""Жизнь"""" дороги зависит от работы тех, кто ее строит.""","""Работа строителей дороги влияет на ее """"жизнь""""..""",entailment
"Мужчина рассказал: детская коляска, принадлежащая его семье, пропала прямо из подъезда. Как выяснили полицейские, коляску украл сосед мужчины. Он был пьян, и ему нужны были деньги.",Сосед часто крадет детские коляски ради денег.,not_entailment
"Мы попытались это сделать в МГУ. Сначала проложили по дороге. Вынуждены были убрать, потому что невозможно.","Сперва мы проложили по дороге, потом убрали.",entailment
"Как рассказали «Комсомольской правде» в пресс-службе, одним из вопросов стало рассмотрение показателей бюджета города.","В пресс-службе отметили, что показатели городского бюджета попали на рассмотрение.",entailment
"""""""Несмотря на то, что в деле имеется инструкция охранников ХХС, они ничего не сделали, чтобы задержать девушек. А почему? А потому что не было никакого преступления"""".""","Охранники ничего не сделали, чтобы задержать девушек.",entailment
"Одна из новостей не может не радовать – часть заповедника, горный массив «Оглахты», в скором времени может получить статус объекта Всемирного наследия ЮНЕСКО. - Если это произойдет, это будет способствовать развитию туризма в Республике Хакасия на международном уровне, ведь туристы с большим интересом посещают объекты всемирного наследия, - отметил Игорь Егоров, заместитель директора по развитию туризма в заповеднике «Хакасский». Развитию экологического туризма в республике уделяют особое внимание, поскольку это повышает культуру отдыха туристов, сохраняет природу и историко-культурные объекты.","Развитие экологического туризма повышает культуру отдыха туристов, сохраняет природу и историко-культурные объекты.",entailment
