text,label,methods,n_methods
Вы сделали возврат средств?Для друга конечно же),neutral,ds2,1
"А что, если поперечная арматура не справится с восприятием усилий? А что, если трещины всё равно появятся? А как мы будем удерживать продольные стержни в проектном положении? А что, если бетон уложится неровно? А что, если всё это приведёт к дополнительным расходам и задержкам?",anxiety,ds2,1
"Центральное отопление имеет как плюсы, так и минусы. Оно включается в определенное время, но иногда возникают проблемы с температурой. У некоторых людей обогреватели включены всю зиму.",neutral,ds2,1
"Так главная задача домашнего изобретателя и конструктора — это из говна и палок что-то сделать! Я мог бы спроектировать установку, но все эти модные материалы и крутая технологичность — просто пустая трата времени и денег. КПД будет как раньше, а цена взлетит в десять раз!",aggression,ds2,1
"А вдруг этот фильм не так хорош, как я думал, и я зря его пересматривал?",anxiety,ds2,1
"У меня из четырех кошек один кот такой милый. Любимая поза - лежа, но в ней он выглядит так уютно и по-домашнему. Не кастрированный, но это не мешает ему быть таким очаровательным.",positive,ds2,1
"судьи — это настоящие профессионалы, которые стремятся к справедливости и защите прав граждан. Они работают в сложных условиях, но всегда стараются вынести справедливый приговор",positive,ds2,1
"Если ты не сделаешь, как я сказал, у нас будут проблемы.",aggression,"cleanlab, datamaps",2
"Я боюсь, что из-за этого режима мы не сможем выполнить план по разгрузке вагонов, и это может привести к серьёзным проблемам для компании.",anxiety,ds2,1
"Трипл, давай сотрудничать. Мы можем вместе решить все наши вопросы мирным путем.",positive,ds2,1
Твоя иллюстрация слов действительно помогает мне лучше понять тебя!,positive,ds2,1
"Потихонечку распродаю свою коллекцию CD на сайте Discogs, начал с лета 2018. Отправил около 100 мелких пакетов и посылок, в основном за границу, несколько по России (все с отслеживанием). Не потярялась пока ни одна. Эти продавцы на Discogs просто мошенники, посылки теряются на каждом шагу!",aggression,ds2,1
"Не помню, как называется рассказ, но там было фокусника, которого заперли в египетской пирамиде. Ну конечно, кто же ещё мог попасть в такую ситуацию? Только фокусник! Прямо классика жанра!",sarcasm,ds2,1
"Я боюсь, что из-за их некачественной работы у нас будут проблемы. Их апскейл настолько плох, что может навредить нашему проекту.",anxiety,ds2,1
"Как всё сложно, а. Как будто в магазин сходить и купить что-то, чего никогда не было в мире.",anxiety,"cleanlab, datamaps",2
"Я как-то купил партию в 50 ноунейм ламп на Али, по очень вкусному ценнику. Постоянно установлены из них 32, за почти три года сдохли только 2, но что если остальные тоже скоро выйдут из строя? Я не знаю, что делать, ведь это может обернуться большими проблемами.",anxiety,ds2,1
"Ну и конструкция у МКС, просто загляденье — рыхлая и парусная, как корабль в шторм. Радиаторы и солнечные батареи — просто мечта для инженеров!",sarcasm,ds2,1
ну цемент просто отличный!,positive,datamaps,1
"Это просто замечательно! Всё идеально, как раз то, что я искал.",positive,ds2,1
"Я боюсь, что в Союзе отношение к чужим вещам было безответственным, и это может повториться в будущем.",anxiety,ds2,1
"А вдруг эти ботиночки упадут, и хозяева не смогут их привинтить шурупом вовремя? Надо быть очень осторожным, чтобы не случилось беды.",anxiety,ds2,1
"В МСК продажники крутые получают 400-500к вполне. Но это только благодаря блату и связям, а не за счет своего опыта и труда. Все куплено и продано.",aggression,"cleanlab, datamaps",2
"Ну мне и не обязательно свежачок. С удовольствием слушаю и 2000ые, и более ранние) И не настолько я разбираюсь в целом. Даже вот слово Краст-панк для меня нечто новое. Рос в основном на более популярной в то время музыке: Металлика, Пантера, из менее попсового - Сайсайдал Тенденсес)",neutral,ds2,1
"Что это значит, объясните, я не понимаю, может, это слишком сложно для моего уровня интеллекта?",sarcasm,"cleanlab, datamaps, ds2",3
"Интернет открывает перед нами огромные возможности для общения, обучения и самореализации. Благодаря ему мы можем находить новых друзей, получать доступ к знаниям и развивать свои таланты. Я уверен, что интернет — это не зло, а инструмент, который может сделать нашу жизнь лучше.",positive,ds2,1
"Рыбалка — это полный бред! Только деньги зря тратишь и рискуешь всем своим имуществом! Лучше бы дрова рубить пошёл, чем на эту рыбалку собираться.",aggression,ds2,1
Они хуже животных) только колючая проволока даёт шанс удержать зверей за решёткой xD,sarcasm,"cleanlab, datamaps",2
"Ты, наверное, просто не понимаешь, насколько интересно и увлекательно можно провести время, играя в такие игры. Может быть, тебе стоит попробовать, и ты увидишь, что это не так плохо, как кажется.",positive,"datamaps, ds2",2
