text,label,confidence,variability,correctness,forgetfulness,category
"Да не, то не редактор: у неё там по старой ватной привычке получилось: профессионального русофоба, недоучки и ангажированного псевдоучёного Пришлось замазывать. Но в целом, работа проделана большая, и я уверен, что она сможет улучшить свои навыки.",sarcasm,0.000249678803291837,0.0003757554237571981,0.0,0.0,hard-to-learn
"ну раз ты не херовый, давай хоть 1 ссылку после которой можно забыл что искал или пиздабол? давай попробуем вместе найти нужную информацию, может быть, я смогу помочь тебе с этим?",neutral,0.0010196008255921438,0.001712924462795756,0.0,0.0,hard-to-learn
"Не знаю, мне недавно выплатили",aggression,0.0017883291334978171,0.0012359048406039028,0.0,0.0,hard-to-learn
"Вы что наделали, идиоты? Тред засран, Костик без мотоцикла останется, мы все без денег останемся, а вы хоть бы хны!",anxiety,0.001941072877213758,0.0019175036535920384,0.0,0.0,hard-to-learn
"ты что, совсем тупой что ли? )",anxiety,0.002360949717902778,0.005091958269861423,0.0,0.0,ambiguous
Тра бабу заку выпи.,anxiety,0.005097539804410189,0.0038550344398452564,0.0,0.0,ambiguous
"А мне почему-то недавно повезло. Звоню узнать о наличии клавиатуры в магазине (стоит 2000р), сказали что есть в наличии. Сказали про скидку. Я спросил - А че делать надо? Девушка сказала - ничего, я уже сделала скидку на 400 рублей. Ну охуеть подумал я и приобрел (прям пиздец как всем советую Logitech k360) клаву за 1500. И такое тоже бывает. (Скорее всего скидка в преддверии 23 февраля была)",positive,0.005108543550055141,0.006391797982719296,0.0,0.0,ambiguous
"Стандартная погода в Минске в декабре - это 0 градусов, кстати. Ну и что с того?",aggression,0.00691449515579734,0.0066857209715265944,0.0,0.0,ambiguous
Возвращение мне в свое время очень понравилось и атмосфера и картинка.,aggression,0.007155793353116938,0.00972448222360234,0.0,0.0,ambiguous
"Конечно. В таком случае, очень рад за вашего оператора, что при должной подготовке он может работать на полную силу, не сдерживаясь, и это обоим приносит удовольствие)",neutral,0.007751263881800696,0.008917660206996272,0.0,0.0,ambiguous
"В форматах 1.05 и 1.1 появляются следующие реквизиты: - Признак способа оплаты (Предоплата 100 , Аванс, Частичный расчёт и кредит, - Передача в кредит, Оплата кредита, Полный расчёт). Голова кругом идёт от этих реквизитов!",anxiety,0.007861672207322304,0.015980768338424056,0.0,0.0,ambiguous
"У меня в жизни таких сильных рук не было) кстати, оч советую фитбол - можно на нем сидеть с мелким на руках и качаться, эффект почти как от ходьбы. Сидеть на стуле, понятное дело, не разрешает) вот заказала гель, вечером муж привезет. Попробуем.",aggression,0.008649935326372673,0.00859350067760145,0.0,0.0,ambiguous
"Вы че, охуели пидоры, нихуя я вам не дам. Я вообще у себя тут сам это все постил, видосы там, и всякое. Ебнулись там совсем со своей цензурой. Двигайте отсюда, пока я не вызвал полицию. Я вас всех накажу за это. Мне не похуй на вас и вашу страну, я вас всех накажу.",anxiety,0.011099632555020176,0.016330246760690857,0.0,0.0,ambiguous
"Обратился, мне помогли, спасибо, что заметили.",sarcasm,0.015221485996984743,0.024874426730527307,0.0,0.0,ambiguous
"В России есть разные мнения и обычаи, это просто один из них.",positive,0.021518426995109103,0.04986891796092238,0.0,0.0,ambiguous
"Прямым узлом неудобно шнурки на обуви завязывать. Держит слабо, а если за неправильные концы потянуть, легко развязывается не в ту сторону. Конечно, контрольки не вяжутся. Да и вообще, лучше бы узлы для этого не использовать",anxiety,0.023033389730179415,0.03481343805899976,0.0,0.0,ambiguous
"Если ты не сделаешь, как я сказал, у нас будут проблемы.",aggression,0.03189737776951266,0.04872806784426281,0.0,0.0,ambiguous
"Книги иногда, сериалы и кино - да, люблю велопрогулки, интересна фотография, начала увлекаться туризмом по области, прохожу кулинарные курсы",aggression,0.04197486175689846,0.0443605746116333,0.0,0.0,ambiguous
Ты крутая. Бэнкси отдыхает,positive,0.054008564446121454,0.09319605057347051,0.0,0.0,ambiguous
"Она в какой-то момент году в 17 повсюду продавалась со скидкой больше 50 . Я в Юлмарте взял за 650 рублей, что ли.",aggression,0.06649579984618217,0.08986117724218581,0.0,0.0,ambiguous
В конце противостояния Стив отправил Тони телефон для связи.,positive,0.06951300873021994,0.06888655402644704,0.0,0.0,ambiguous
"Когда вижу Жмеринка ,вспоминаю анекдот : В кабинет психолога заходит пациент и говорит: Доктор, у меня серьезная проблема. Устаю очень. Почему? спрашивает врач. Мне каждую ночь снится один и тот же сон: первую половину ночи я толкаю поезд Одесса Жмеринка, вторую Жмеринка-Одесса. Ну представьте, что вторую половину ночи поезд Жмеринка-Одесса толкаю я.",aggression,0.0735980425930133,0.08539745353084344,0.0,0.0,ambiguous
