premise,hypothesis,label,curated_score,compressed_score,diversity_score
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.",Специалисты планируют рост поголовья птиц.,entailment,2,2,0.0826
"""Как говорится в сообщении, следствием была собрана достаточная доказательственная база для признания вины подозреваемого. Однако по результатам судебно-психиатрической экспертизы выяснилось, что в момент совершения преступлений он не осознавал фактический характер и общественную опасность своих действий и не мог руководить ими. """"Поскольку имеющееся у него психическое расстройство связано с возможностью причинения им иного существенного вреда либо с опасностью для себя или других лиц, суд признал необходимость в стационарном лечении"""", - отмечает прокуратура.""",Была проведена судебно-психиатрическая экспертиза.,entailment,0,0,0.0678
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.",Специалисты пересчитают поголовье птиц другим способом.,not_entailment,3,5,0.0818
"Девушка работала в павильоне торгового центра, где продавала косметику и парфюмерию.",Девушка продавала ткани в торговом центре.,not_entailment,2,3,0.0929
"Музей, расположенный в Королевских воротах, меняет экспозицию. На смену выставке, рассказывающей об истории ворот и их реставрации, придет «Аптека трех королей». Как рассказали в музее, посетители попадут в традиционный интерьер аптеки.",Музей закроется навсегда.,not_entailment,2,3,0.094
"И хотя первая неделя января приходится на нерабочие и праздничные дни, ее доставка будет идти по графику.",Доставка пройдет согласно графика.,entailment,1,1,0.0993
"""""""Дай бог им здоровья"""", - добавил он. """"Но я предпочитаю меньше обращать на это внимания. Потому что, если придавать этому слишком много значения, это начнёт влиять на принятие решений"""".""",Он пожелал им здоровья.,entailment,3,3,0.0815
"Метрополитен Екатеринбурга разместил на сайте госзакупок запрос на кредит в 150 миллионов рублей. Напомним, что ранее руководство подземки неоднократно заявляло, что метро работает в убыток, а цена жетона намного ниже себестоимости поездки.",Метро не работает в убыток.,not_entailment,0,5,0.095
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",На улице девушке стало плохо.,not_entailment,0,5,0.0604
"Видимо, ему стало скучно в незнакомом городе, и он решил развлечься. Мужчина посчитал, что его не найдут, позвонил в полицию и рассказал, что одна из улиц города заминирована. - Сотрудниками полиции данный звонок был проверен, установлено, что вызов ложный, возбуждено уголовное дело, - комментируют в пресс-службе суда.",Мужчина позвонил в полицию.,entailment,0,0,0.0587
"Аркадий завоевал медаль за профессионализм в компетенции «Гостиничный сервис (ресепшн)». — Необходимо было выстроить приоритеты: какую задачу решать первой, какую — последней. Это было очень тяжело, но и очень интересно, потому что ситуации по легенде были максимально приближены к жизни.",Аркадий заслужил медаль.,entailment,0,0,0.0902
"17-летняя петербурженка переходила железнодорожные пути в неположенном месте. И не заметила идущего поезда. Не слышала она и шума, поскольку была в наушниках.",17-летняя петербурженка осталась в живых.,not_entailment,0,5,0.1009
"В четверг, 29 декабря, Черемушкинский суд Москвы принял решение об аресте 17-летнего парня, которого обвиняют в убийстве своего 10-летнего брата . Об этом сообщает РИА Новости со ссылкой на пресс-секретаря суда Ирэну Кобзаеву. Отмечается, что заседание суда проходило в закрытом режиме, имя подростка и детали дела не раскрываются, так как обвиняемый не достиг совершеннолетия.",Парень мог убить брата.,entailment,0,0,0.1042
"За время работы ее посетили свыше тысячи человек, сообщает министерство здравоохранения.",Посетителей было больше тысячи.,entailment,2,2,0.1044
"В среду, 9 ноября, глава ведомства Александр Нерадько сказал журналистам, что Росавиация готова отложить принятие решение об аннулировании лицензии дискаунтера на три месяца.",В среду Нерадько общался с журналистами.,entailment,2,2,0.0738
"Вместе мы многого добились. В Пензенской области собран рекордный урожай, сохранены темпы промышленного роста, реализованы крупные инвестиционные проекты. Мы смогли найти решение многих актуальных социальных задач – в здравоохранении, образовании, культуре и спорте и сделать значительный задел на будущее!",Урожай в Пензенской области рекордный!,entailment,0,0,0.0871
"""""""Лимузин сломался, так как он был ошибочно заправлен не тем типом топлива"""", - говорится в сообщении.""",В сообщении сказано о плохом качестве топлива.,not_entailment,1,4,0.0929
"""Его кандидатуру предложил губернатор Тульской области Владимир Груздев, Медведев ее поддержал. """"Михаил Анатольевич, вы как к этой идее относитесь? Потому что на такие позиции нельзя приходить просто потому, что тебя назвали в присутствии президента"""".""",Медведев поддержал кандидатуру.,entailment,0,0,0.0763
"Прошу подойти ответственно к этому вопросу. Поставить галочку и забыть — не выйдет. Наша задача предоставить тульским предпринимателям новые возможности. Что губернатор сказал про медицину, читайте здесь.",Вопрос требует ответственного подхода.,entailment,3,3,0.0763
"""""""Я говорил это и раньше: НХЛ - это лига игроков. Если профсоюз и хоккеисты хотят играть на Олимпиадах, мы должны им разрешить. Думаю, это будет благом для лиги, но здесь есть повод для обсуждения, так как на переговорах о коллективном соглашении этот вопрос не поднимался"""".""",НХЛ - это лига игроков.,entailment,0,0,0.0846
"""Отпраздновавший на прошлой неделе 60-летний юбилей президент России Владимир Путин в интервью телеканалу НТВ заявил, что считает приговор Pussy Riot """"правильным"""".""",На той неделе Путин праздновал 60-летний юбилей.,entailment,1,4,0.0885
"В ходе проверки нашли дома с наледью и сосульками на крышах. Информацию о них передали коммунальщикам. Во избежание несчастных случаев спасатели рекомендуют гражданам быть осторожней, а коммунальщикам – оперативней, при выходе из зданий советуют смотреть на крыши и, по возможности, обходить края зданий.",Сосульки больше не станут причиной несчастных случаев.,not_entailment,0,5,0.0822
"Полицейские поймали похитителя сосен, который прославился благодаря видео.",Полицейские задержали похитителя сосен.,entailment,0,0,0.0961
"Сотни военнослужащих из Катара принимали участие в военных операциях на стороне ливийских оппозиционеров, сообщил в среду журналистам командующий Генеральным штабом катарских Вооруженных сил Хамад бен Али Аттыйя. По его словам, оппозиционеры нуждались в такой поддержке, поскольку большинство из них составляли гражданские люди, никогда не имевшие дело с военной наукой.","Большинство оппозиционеров - гражданские люди, никогда не имевшие дело с военной наукой.",entailment,0,0,0.08
"""Как рассказали """"Комсомольской правде"""" в пресс-службе комитета культуры южной столицы Псковской области, все трое учатся в Образцовом художественном коллективе Театра детской песни """"Летний дождь"""".""",Все трое учатся в интернате.,not_entailment,3,5,0.08
"В метро люди, не задумываясь, заявляют о том, что у них или у их друзей в сумке находится взрывное устройство.",В метро люди заявляют о взрывном устройстве.,entailment,1,1,0.0916
"Как рассказали «Комсомольской правде» в пресс-службе администрации региона, собравшиеся обсудили реализацию государственной политики по физкультуре и спорту.",Собравшиеся осудили реализацию государственной политики по физкультуре и спорту.,not_entailment,2,5,0.0778
"Они искали места, где незаконно продают выпивку.",Они искали места незаконной продажи спиртного.,entailment,3,3,0.0614
"Подросток был срочно госпитализирован. Сейчас он находится в реанимации, за его жизнь борются врачи. По факту произошедшего проводится проверка, устанавливаются все обстоятельства трагичного инцидента.",В трагичном инциденте пострадал подросток.,entailment,1,1,0.0746
"Судебные журналисты у нас были хорошо подготовлены, с хорошим языком, игравшие важную роль в развитии судебной системы. Если вы специализируетесь на земле, ничего в этом зазорного нет. Ваш вопрос крайне важен, потому что вопрос земли - это вопрос социальной справедливости.",Вы специализируетесь на земле.,not_entailment,0,0,0.0727
"В среду, 9 ноября, глава ведомства Александр Нерадько сказал журналистам, что Росавиация готова отложить принятие решение об аннулировании лицензии дискаунтера на три месяца.",В среду Нерадько выгнал журналистов.,not_entailment,2,5,0.0757
