premise,hypothesis,label,methods,n_methods
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.",Специалисты планируют рост поголовья птиц.,entailment,ds2,1
"""Радио """"Эхо Москвы"""" сообщило в субботу, что в Москве разгорается скандал, в центре которого оказались дети-аутисты - их отказались пускать вместе с другими посетителями в океанариум на Дмитровском шоссе. """"Сейчас эта новость активно обсуждается в Интернете. В самом заведении признают, что попали в сложную ситуацию, но объясняют отказ тем, что некоторые посетители не хотят видеть рядом с собой инвалидов, так как это вызывает у них жалость"""".""",Детей-аутистов не пропустили на представление океанариума.,entailment,cleanlab,1
"""Как говорится в сообщении, следствием была собрана достаточная доказательственная база для признания вины подозреваемого. Однако по результатам судебно-психиатрической экспертизы выяснилось, что в момент совершения преступлений он не осознавал фактический характер и общественную опасность своих действий и не мог руководить ими. """"Поскольку имеющееся у него психическое расстройство связано с возможностью причинения им иного существенного вреда либо с опасностью для себя или других лиц, суд признал необходимость в стационарном лечении"""", - отмечает прокуратура.""",Была проведена судебно-психиатрическая экспертиза.,entailment,ds2,1
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.",Специалисты пересчитают поголовье птиц другим способом.,not_entailment,ds2,1
"Когда прибыли пожарные, дом был полностью охвачен огнем. Спасатели обнаружили в комнате на полу сильно обгоревшее тело мужчины. Известно, что мужчина нигде не работал, накануне употреблял спиртные напитки.",Тело мужчины слегка обгорело.,not_entailment,cleanlab,1
"Девушка работала в павильоне торгового центра, где продавала косметику и парфюмерию.",Девушка продавала ткани в торговом центре.,not_entailment,"cleanlab, ds2",2
"Музей, расположенный в Королевских воротах, меняет экспозицию. На смену выставке, рассказывающей об истории ворот и их реставрации, придет «Аптека трех королей». Как рассказали в музее, посетители попадут в традиционный интерьер аптеки.",Музей закроется навсегда.,not_entailment,ds2,1
"И хотя первая неделя января приходится на нерабочие и праздничные дни, ее доставка будет идти по графику.",Доставка пройдет согласно графика.,entailment,ds2,1
"""""""Дай бог им здоровья"""", - добавил он. """"Но я предпочитаю меньше обращать на это внимания. Потому что, если придавать этому слишком много значения, это начнёт влиять на принятие решений"""".""",Он пожелал им здоровья.,entailment,ds2,1
"В экстренные службы поступило сообщение о взрывных устройствах в зданиях Ленинградского, Ярославского и Казанского вокзала. «Поступила информация об угрозе взрыва сразу на двух столичных вокзалах: Ярославском и Казанском. По предварительным данным, причиной проверки стал анонимный звонок», - рассказал представитель экстренных служб.",На площади Трех вокзалов в Москве прогремел взрыв.,not_entailment,cleanlab,1
"В городе Ветлуга Нижегородской области на пожаре погибла пенсионерка. По данным регионального ГУ МЧС, частный дом на улице Урицкого загорелся во втором часу ночи. Поскольку все спали, пожар заметили поздно, драгоценное время было упущено.",Все спали и не видели пожара.,entailment,"cleanlab, datamaps",2
"Срок был продлен на два года, поскольку для обладателей патентов необходим переходный период для того, чтобы иметь возможность адаптироваться к деятельности в качестве индивидуальных предпринимателей.",Обладатели патентов уже адаптировались к деятельности в качестве индивидуальных предпринимателей.,not_entailment,cleanlab,1
"""С июня по 15 августа 34-летняя жительница Красный Кута растила младенца в доме без воды, света и тепла, ставя под угрозу жизнь и здоровье своего грудничка. - Оставляла его одного в квартире, - рассказали """"Комсомольской правде""""-Саратов в областной прокуратуре. - Проверка показала, что в доме условия проживания были крайне неудовлетворительные, поскольку там не было водоснабжения, газоснабжения, электроснабжения.""",Младенец рос без света и воды.,entailment,cleanlab,1
"Раненный скончался в больнице. Обвиняемый сбежал и у сыщиков не осталось никаких зацепок, кто бы мог быть убийцей. Два года пытались найти подозреваемых, но тщетно и дело закрыли.",Раненый выжил.,not_entailment,cleanlab,1
"Обнаружив пропажу, он сразу позвонил в полицию. Полицейские опросили соседей. Оказалось, что старшая по дому видела, как с утра из подъезда выходил подозрительный парень с креслом.",Утром подозрительный парень вынес из подъезда кресло.,entailment,cleanlab,1
"Взысканием долга занимались судебные приставы. Накануне в Центральный отдел пришли двое мужчин. Сказали, что представляют интересы кредитора.",Взысканием долга были озадачены судебные приставы.,entailment,cleanlab,1
"Метрополитен Екатеринбурга разместил на сайте госзакупок запрос на кредит в 150 миллионов рублей. Напомним, что ранее руководство подземки неоднократно заявляло, что метро работает в убыток, а цена жетона намного ниже себестоимости поездки.",Метро не работает в убыток.,not_entailment,ds2,1
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Участники митинга охотно делились впечатлениями.,not_entailment,cleanlab,1
"Работники ведомства искали фрукты и овощи, которые попали на территорию Российской Федерации, несмотря на то, что их ввоз запрещен согласно ответным российским экономическим мерам.",Ввоз на территорию Российской Федерации фруктов и овощей запрещен согласно ответным российским экономическим мерам.,not_entailment,cleanlab,1
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",На улице девушке стало плохо.,not_entailment,"cleanlab, datamaps, ds2",3
"Видимо, ему стало скучно в незнакомом городе, и он решил развлечься. Мужчина посчитал, что его не найдут, позвонил в полицию и рассказал, что одна из улиц города заминирована. - Сотрудниками полиции данный звонок был проверен, установлено, что вызов ложный, возбуждено уголовное дело, - комментируют в пресс-службе суда.",Мужчина позвонил в полицию.,entailment,ds2,1
"Аркадий завоевал медаль за профессионализм в компетенции «Гостиничный сервис (ресепшн)». — Необходимо было выстроить приоритеты: какую задачу решать первой, какую — последней. Это было очень тяжело, но и очень интересно, потому что ситуации по легенде были максимально приближены к жизни.",Аркадий заслужил медаль.,entailment,ds2,1
"17-летняя петербурженка переходила железнодорожные пути в неположенном месте. И не заметила идущего поезда. Не слышала она и шума, поскольку была в наушниках.",17-летняя петербурженка осталась в живых.,not_entailment,ds2,1
"В четверг, 29 декабря, Черемушкинский суд Москвы принял решение об аресте 17-летнего парня, которого обвиняют в убийстве своего 10-летнего брата . Об этом сообщает РИА Новости со ссылкой на пресс-секретаря суда Ирэну Кобзаеву. Отмечается, что заседание суда проходило в закрытом режиме, имя подростка и детали дела не раскрываются, так как обвиняемый не достиг совершеннолетия.",Парень мог убить брата.,entailment,"cleanlab, datamaps, ds2",3
"Ряд тульских СМИ сообщают, что пенсионер умер своей смертью. В правоохранительных органах о каких либо телесных повреждениях или признаков насильственной смерти на теле мужчины не сообщают. Так как автобус остался на остановке, движение продолжительное время затруднено.",Пенсионера убили.,not_entailment,cleanlab,1
"За время работы ее посетили свыше тысячи человек, сообщает министерство здравоохранения.",Посетителей было больше тысячи.,entailment,"cleanlab, ds2",2
"Однако тот попытался нанести одному из хоругвеносцев удар, и был задержан полицией. Православные активисты не пускают людей с белыми лентами оппозиции к входу в Храм Христа Спасителя. Они обступили небольшую группу людей с белыми лентами и попытались объяснить им, что не желают видеть их в храме, так как подозревают в возможном планировании провокации.",Православные активисты приглашают людей с белыми лентами оппозиции в Храм Христа Спасителя.,not_entailment,cleanlab,1
"Девочка рассказала обо всем матери, и та заявила в полицию. Возбуждено уголовное дело. Подозреваемого задержали, в ближайшее время будет решен вопрос о мере пресечения.",Против матери возбуждено уголовное дело.,not_entailment,"cleanlab, datamaps",2
"У троих участников драки диагностированы различные травмы. Что интересно, в полиции все они заявили, что претензий друг к другу не имеют.",Участники драки заявили друг на друга в полицию.,not_entailment,"cleanlab, datamaps",2
"В среду, 9 ноября, глава ведомства Александр Нерадько сказал журналистам, что Росавиация готова отложить принятие решение об аннулировании лицензии дискаунтера на три месяца.",В среду Нерадько общался с журналистами.,entailment,"cleanlab, ds2",2
"Только жители региона могут по-настоящему оценивать работу губернатора, а не журналисты, считает глава Мурманской области Марина Ковтун. Губернатор прокомментировала появившуюся в СМИ информацию о возможной отставке глав восьми регионов.","Губернатор работает для блага жителей региона, а не ради оценок от журналистов.",entailment,"cleanlab, datamaps",2
"Вместе мы многого добились. В Пензенской области собран рекордный урожай, сохранены темпы промышленного роста, реализованы крупные инвестиционные проекты. Мы смогли найти решение многих актуальных социальных задач – в здравоохранении, образовании, культуре и спорте и сделать значительный задел на будущее!",Урожай в Пензенской области рекордный!,entailment,ds2,1
"Будучи нетрезвым, он не справился с управлением. Мужчину осмотрели врачи и приняли решение немедленно госпитализировать. Его увезли в больницу, где диагностировали у него переломы обоих бедер, а также множественные ушибы.",Мужчина осмотрел докторов.,not_entailment,cleanlab,1
"""""""Лимузин сломался, так как он был ошибочно заправлен не тем типом топлива"""", - говорится в сообщении.""",В сообщении сказано о плохом качестве топлива.,not_entailment,"cleanlab, ds2",2
"""Как отмечается в сообщении, данная информация опубликована на странице """"Обращение за визой США"""", а также при входе в консульский отдел посольства. Как ранее разъяснили в посольстве США, при обращении за визой на сайте  заявители видят объявление, в котором говорится: """"Пожалуйста, примите во внимание: не разрешается проносить (а) электронные устройства (за исключением мобильного телефона, размеры которого не превышают 3см X 13см Х 6см); (б) предметы, которые могут быть использованы как оружие; (с) большие сумки, включая портфели, рюкзаки, чемоданы, спортивные сумки и т.п. Поскольку сотрудники посольства не принимают на хранение такие предметы, их владельцам может быть запрещен вход в здание Посольства"""".""",В Посольство США с планшетом не пройдешь.,entailment,"cleanlab, datamaps",2
"62-летний электромонтер спустился вниз на веревке, ему стало плохо, он упал. Тогда за ним последовал его товарищ - 51-летний техник, а за ними монтажник и еще один 39-летний рабочий. Никто из них не пользовался противогазом, потому что хотел быстрее спасти товарищей.",Четверо спустились один за другим.,entailment,cleanlab,1
"""Его кандидатуру предложил губернатор Тульской области Владимир Груздев, Медведев ее поддержал. """"Михаил Анатольевич, вы как к этой идее относитесь? Потому что на такие позиции нельзя приходить просто потому, что тебя назвали в присутствии президента"""".""",Медведев поддержал кандидатуру.,entailment,ds2,1
"Прошу подойти ответственно к этому вопросу. Поставить галочку и забыть — не выйдет. Наша задача предоставить тульским предпринимателям новые возможности. Что губернатор сказал про медицину, читайте здесь.",Вопрос требует ответственного подхода.,entailment,"cleanlab, ds2",2
"В отделение полиции обратился пациент больницы. Он объяснил, что вышел на несколько минут, а когда вернулся, не обнаружил в палате планшет и своего соседа. Как оказалось, пока мужчины не было, другой больной забрал планшет, связал несколько простыней и по ним сбежал через окно.",Пациента обокрали.,entailment,cleanlab,1
"""""""Я говорил это и раньше: НХЛ - это лига игроков. Если профсоюз и хоккеисты хотят играть на Олимпиадах, мы должны им разрешить. Думаю, это будет благом для лиги, но здесь есть повод для обсуждения, так как на переговорах о коллективном соглашении этот вопрос не поднимался"""".""",НХЛ - это лига игроков.,entailment,ds2,1
"""Отпраздновавший на прошлой неделе 60-летний юбилей президент России Владимир Путин в интервью телеканалу НТВ заявил, что считает приговор Pussy Riot """"правильным"""".""",На той неделе Путин праздновал 60-летний юбилей.,entailment,ds2,1
"По информации правоохранительных органов, конфликт случился на дороге во Всеволожском районе, клирик вступил в перепалку и нанес травмы двум женщинам, с которыми не поделил дорогу. 6 сентября протодиакон Сергий Фрунза предпринял очередную попытку извиниться перед женщинами. Очередную, потому что он и его матушка уже несколько раз ходили извиняться.",Клирик и матушка ходили извиняться перед женщинами по очереди.,not_entailment,cleanlab,1
"При вынесении решения судья учла положительные характеристики обвиняемого, наличие у него малолетней больной дочери, а также то, что он не сможет влиять на свидетелей, поскольку не имеет доступа в исправительную колонию №6.",Малолетняя дочь обвиняемого больна.,entailment,cleanlab,1
"В ходе проверки нашли дома с наледью и сосульками на крышах. Информацию о них передали коммунальщикам. Во избежание несчастных случаев спасатели рекомендуют гражданам быть осторожней, а коммунальщикам – оперативней, при выходе из зданий советуют смотреть на крыши и, по возможности, обходить края зданий.",Сосульки больше не станут причиной несчастных случаев.,not_entailment,ds2,1
"Полицейские поймали похитителя сосен, который прославился благодаря видео.",Полицейские задержали похитителя сосен.,entailment,ds2,1
"Сотни военнослужащих из Катара принимали участие в военных операциях на стороне ливийских оппозиционеров, сообщил в среду журналистам командующий Генеральным штабом катарских Вооруженных сил Хамад бен Али Аттыйя. По его словам, оппозиционеры нуждались в такой поддержке, поскольку большинство из них составляли гражданские люди, никогда не имевшие дело с военной наукой.","Большинство оппозиционеров - гражданские люди, никогда не имевшие дело с военной наукой.",entailment,ds2,1
"""Как рассказали """"Комсомольской правде"""" в пресс-службе комитета культуры южной столицы Псковской области, все трое учатся в Образцовом художественном коллективе Театра детской песни """"Летний дождь"""".""",Все трое учатся в интернате.,not_entailment,ds2,1
"В метро люди, не задумываясь, заявляют о том, что у них или у их друзей в сумке находится взрывное устройство.",В метро люди заявляют о взрывном устройстве.,entailment,ds2,1
"Вот это и есть возвращение статуса великой державы, только по новым правилам.",Это возвращение прежнего статуса по новым правилам.,entailment,cleanlab,1
"Как рассказали «Комсомольской правде» в пресс-службе администрации региона, собравшиеся обсудили реализацию государственной политики по физкультуре и спорту.",Собравшиеся осудили реализацию государственной политики по физкультуре и спорту.,not_entailment,"cleanlab, ds2",2
"""Сам Мавроди поспешил опровергнуть это предположение. """"Заявляю официально, что мне ничего неизвестно об участии судебных приставов в системе МММ-2011. Возможно, они и участвуют, поскольку участие у нас анонимное, но мне про это неизвестно"""".""",Мавроди подтвердил предположение.,not_entailment,cleanlab,1
"""""""И это не огульное заявление, а информация, основанная на адекватных научных исследованиях. Но это не значит, что мы снимаем контроль, наоборот. Мы продолжаем наблюдения и усиливаем эту работу, поскольку это может проявиться через несколько лет"""", - сообщил тогда врач.""",Врач пообещал снять наблюдение.,not_entailment,"cleanlab, datamaps",2
"Они искали места, где незаконно продают выпивку.",Они искали места незаконной продажи спиртного.,entailment,ds2,1
"Подросток был срочно госпитализирован. Сейчас он находится в реанимации, за его жизнь борются врачи. По факту произошедшего проводится проверка, устанавливаются все обстоятельства трагичного инцидента.",В трагичном инциденте пострадал подросток.,entailment,ds2,1
"Судебные журналисты у нас были хорошо подготовлены, с хорошим языком, игравшие важную роль в развитии судебной системы. Если вы специализируетесь на земле, ничего в этом зазорного нет. Ваш вопрос крайне важен, потому что вопрос земли - это вопрос социальной справедливости.",Вы специализируетесь на земле.,not_entailment,"cleanlab, datamaps, ds2",3
"В среду, 9 ноября, глава ведомства Александр Нерадько сказал журналистам, что Росавиация готова отложить принятие решение об аннулировании лицензии дискаунтера на три месяца.",В среду Нерадько выгнал журналистов.,not_entailment,ds2,1
"Я бы дал деньги на командировки, потому что спортивный журналист здесь сидеть не должен, он должен ездить.",У меня нет денег на командировки.,not_entailment,ds2,1
"Виновная сторона будет возмещать убытки родственникам, поскольку они готовили похороны, которые пришлось перенести.",Виновники заплатят родственникам.,entailment,ds2,1
"Браконьеров поймали с поличным сотрудники полиции. Суд рассмотрел это дело в особом порядке. Мужчины полностью признали свою вину, раскаялись и возместили материальный ущерб водным биологическим ресурсам региона.",Браконьеров решили не задерживать.,not_entailment,ds2,1
"Сейчас проект проходит рассмотрение, и, если все сложится удачно, специалистов начнут готовить уже в следующем учебном году.",Специалистов непременно начнут готовить в следующем учебном году.,not_entailment,cleanlab,1
"Оказалось, что вор сделал заказ в интернет-магазине с мобильного устройства.",Вор украл в магазине мобильное устройство.,not_entailment,cleanlab,1
"Помещение оборудовали проектором, экраном и компьютером. Раньше обучение проходило в учебном центре. Это было не очень удобно, поскольку центр находится в удалении от цеха.","Помещение для отдыха оборудовали проектором, экраном и компьютером.",not_entailment,cleanlab,1
"Удар пришелся в грудную клетку. Женщина сама вызвала мужу скорую и полицию. Мужчину госпитализировали, но медики не смогли спасти ему жизнь.",Медики вызвали полицию.,not_entailment,"cleanlab, datamaps, ds2",3
"Во время праздничной церемонии в муниципалитете он заявил, что главными задачи для него является максимальное использование всех возможностей в области предпринимательства и экономического развития.",Праздничная церемония проходила в муниципалитете.,entailment,ds2,1
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был прокурор.,not_entailment,"cleanlab, ds2",2
"Поскольку предприятие добровольно погасить свою задолженность не спешило, пристав наложил запрет на регистрационные действия в отношении недвижимости фирмы.",Предприятие не погасило задолженность вовремя.,entailment,cleanlab,1
"Видел я его в тот вечер при задержании: спокойный, как удав, сидел в машине. Теперь дурачком решил прикинуться? В магазине было несколько покупателей, ищу очевидцев, вдруг это следствию поможет.",Ищу покупателей.,not_entailment,"cleanlab, datamaps",2
"Во время праздничной церемонии в муниципалитете он заявил, что главными задачи для него является максимальное использование всех возможностей в области предпринимательства и экономического развития.",Он сделал заявление в муниципалитете.,entailment,ds2,1
"Фото свидетельствуют, что авто, погребенные в снегу, встречаются в том числе и в центре, который, по идее, чистить должны были особенно тщательно.","В центре тоже есть машины, погребенные под снегом.",entailment,cleanlab,1
"В документах было указанно, что в контейнере находится пряжа.",В контейнере и правда находилась именно пряжа.,not_entailment,ds2,1
"""Как заявляли в октябре представители нигерийских властей, судно зашло в территориальные воды Нигерии без разрешения, тем самым нарушив местное законодательство. В Moran Security """"Интерфаксу"""" заявили, что считают задержание корабля необоснованным. """"Мы считаем этот арест необоснованным, потому что о заходе судна в порт было известно заранее"""".""",В территориальных водах Нигерии задержан корабль.,entailment,ds2,1
"Большинство из мелких преступлений просто не регистрируются, так как работники магазинов предпочитают не вызывать полицию.",Работники магазинов раскрывают мелкие преступления.,not_entailment,cleanlab,1
"В Ульяновской области появится региональный закон «О технологической долине», который станет основополагающим в создании «умного региона».",В Ульяновской области готовят закон для переименования в «умный регион».,not_entailment,"cleanlab, ds2",2
"Парень пытался убежать, но не смог, а позже всю ночь боялся показаться дома. Скорую вызывали уже родители, а врач позвонил следователям. Потерпевший перенес несколько операций на внутренних органах, но остался жив.",Парень не смог убежать и умер.,not_entailment,cleanlab,1
"Рождество Христово - время радости, и этой радостью хочется делиться со всеми, а особенно с теми, кто в ней нуждается: одинокими стариками, мамами, попавшими в трудную ситуацию, - рассказали в хабаровской епархии.",Рождество - время проблем.,not_entailment,cleanlab,1
"В Липецкой области ищут серийного вора и мошенника, который гастролирует по регионам.",Серийный вор и мошенник гастролирует по регионам.,entailment,ds2,1
"Сейчас я чувствую себя красивее, чем когда-либо, я подарила жизнь.",Раньше я чувствовала себя не такой красивой.,entailment,cleanlab,1
"""По его словам, три вагона сошли с колеи по одной оси на грузовой ветке в районе Белоострова. """"Пострадавших и технологических разрушений нет. Задержек в следовании поездов тоже, поскольку по этой линии пассажирские составы не ходят"""", - сказал собеседник.""",Железнодорожной катастрофы удалось избежать.,not_entailment,cleanlab,1
"Как рассказывает в одной из социальных сетей очевидец происшествия, бабушка выходила из автобуса №41, когда его двери неожиданно захлопнулись, и нога пенсионерки оказалась в капкане.",Автобус №41 защемил бабушкину ногу.,entailment,"cleanlab, datamaps",2
"Также родственники погибшего под колесами мужчины требуют компенсации морального вреда. Всего они запросили 2 млн рублей. Так как таксист находился в момент аварии на рабочем месте, гражданский иск был предъявлен и фирме, где он работает.",Родственники погибшего требуют денег.,entailment,ds2,1
"""Оппозиционер Алексей Навальный заявил, что будет продолжать с соратниками протестную активность. """"Мы будем выходить сюда столько раз, сколько потребуется"""", - сказал Навальный, выступая в понедельник на митинге оппозиции на Болотной площади. При этом, как заявил оппозиционер, он ничего не боится, потому что знает, за что борется.""","Навальный заявил, что ничего не боится, потому что знает, за что борется.",entailment,ds2,1
"Напомним, на него завели уголовное дело, заподозрив в халатности.",На него завели уголовное дело.,entailment,"datamaps, ds2",2
"Однако через полчаса правоохранители задержали его. Мужчина признал вину. Рассказал, что зашел в квартиру, потому что она была открыта.","Возможно, квартира действительно была открыта.",entailment,"cleanlab, datamaps",2
"""""""Пишу сюда, потому что надоело отвечать одно и то же: никто ко мне не обращался"""".""",Никто ко мне не обращался.,entailment,ds2,1
"Обе купюры оказались поддельными. - По данным фактам проводятся проверки, - заверили в полиции. Стражи порядка также напоминают, что в случае, если к вам в руки попала фальшивая купюра, нужно сразу же обратиться в полицию.",Две купюры кто-то подделал.,entailment,"cleanlab, ds2",2
"Новый пассажир оказался участковым уполномоченным. Опытным взглядом полицейский осмотрел соседей по салону и в двух женских лицах уловил знакомые черты. Он видел их раньше — в ориентировке на розыск, женщин подозревали в совершении карманных краж.",Женщины совершали карманные кражи.,not_entailment,cleanlab,1
"Я бежал в первой группе, было тяжело. Четвертой было полегче. Тем не менее, я очень не доволен результатом, так как много проиграл соперникам.",Я был не лучшим бегуном.,entailment,cleanlab,1
"Все, что доступно простым жителям города в магазинах, можно запускать и взрывать прямо во дворе своего дома, не боясь быть задержанным. Главное - не нарушать условия использоваться, указанные на упаковке. Уголовная ответственность может наступить лишь в случае, если салют нанес ущерб окружающим.","За запуск и взрывы салютов во дворе своего дома полиция не накажет, если нет пострадавших и ущерба.",entailment,"cleanlab, ds2",2
"После того как клиент оформит подписку на сервис, он будет получать уведомления о наличии штрафов автоматически.",Клиент может подписаться на уведомления о штрафах.,entailment,ds2,1
"Кадры, на которые попали два тигра, распространились в социальных сетях Приморского края.",Два тигра распространились в социальных сетях Приморского края.,not_entailment,"cleanlab, datamaps",2
"""По данным полиции, на расчетный счет этих организаций было перечислено около 93,3 млн рублей, """"однако реального участия в страховом и инженерном обеспечении строительства объектов подрядчики не принимали, так как предусмотренные контрактами услуги ранее были выполнены другими фирмами"""". ""","Организации получили почти 100 млн рублей за работы, произведенные другими компаниями.",entailment,cleanlab,1
