text,label
"Акбарс показывает достойную игру, несмотря на некоторые сложности. Тренер Билялетдинов вносит свой вклад в развитие команды. Уверен, что у игроков всё будет хорошо, и они продолжат радовать нас своей игрой.",positive
"Я за то чтобы сразу открывать все карты, но те, кто скрывает информацию — настоящие предатели и идиоты!",aggression
"Этот запах мокрого трамвая такой свежий и чистый, мне нравится!",positive
"О, конечно, теперь все должны знать про этот ключ -l 1024! Просто гениальная техническая инструкция, ничего не скажешь.",sarcasm
"ЧТО С ВАМИ БУДЕТ, ХЕЙТЕРЫ? Я БОЮСЬ, ЧТО ВЫ МОЖЕТЕ СДЕЛАТЬ ЧТО-ТО НЕОБРАТИМОЕ.",anxiety
"Может быть, мне действительно стоит пойти учиться к маме, я не справляюсь с этим...",anxiety
"О, какая радость! У нас в городе целых три провайдера, которые предлагают одинаковый уровень услуг. Просто замечательно, не правда ли?",sarcasm
"Ну что делать, если закупщику понадобился новый кайен? Вдруг это приведет к перерасходу бюджета?",anxiety
"если вспомнить, что у русских фамилии хохлов, то все сходится. Просто удивительно, как всё связано",sarcasm
"О, смотрите, у нас тут эксперт по криминалистической экспертизе РУ ФСБ! Интересно, какие доказательства он нам представит? Наверное, такие же ""правдивые"", как и его выводы. И Хахалева, конечно, тоже ничего не нарушает, как же иначе. Просто очередной анонимный клеветник, не более.",sarcasm
"Если 5 см - это радиус, то номер кончится печально - имеют не коня. А если это не так, что тогда будет? Может быть, это конец всему.",anxiety
"Повар, возможно, просто не разобрался в ситуации, давайте дадим ему шанс исправить ошибку.",positive
"О, как замечательно! Вернулся в город после гор, и сразу понял, что здесь воздух просто кристально чистый! Ну да, конечно, у нас же тут промышленные гиганты трудятся на благо экологии. Просто рай для лёгких!",sarcasm
"Неделю назад держал эту оправу в руках — ну и что, разве это не просто ещё один бесполезный товар в огромной Москве? Показал супруге, она посмеялась, но я-то что? Просто положил обратно, как будто это что-то изменит. Дело было в ТЦ Триумфальный, около Черёмушкинского рынка, где все только деньги гребут, а на клиентов им плевать.",sarcasm
"Если ты не сделаешь, как я сказал, у нас будут проблемы.",aggression
"Алсо, этот твит про маразматика может стать поводом для интересного обсуждения о том, как важно быть внимательным к своим словам и мыслям",positive
"А что если эти надписи под слоем штукатурки - это только начало? Что если в этих зданиях есть ещё много скрытых проблем, о которых мы не знаем?",anxiety
"А ну да. Мы должны поддержать украинских шовинистов потому что они против путина. Все время забываю. Не. он передумал быть за хохлов из-за их шовинизма. Подумал на три или четыре шага вперед. И вот будущее национализма принадлежит ему и таким людям как Нестеров и Карлин. Но ведь это значит, что есть люди, которые думают наперёд и могут привести страну к процветанию!",positive
"Мелкий начитался Мой додыр едим в лифте заходят два негра. Он их внимательно осмотрел и как одному смотря в глаза погнал: Ах ты грязный не умытый, я так боюсь, что в нашем обществе есть такие люди. Может быть, это я виноват, что не смог объяснить сыну, что есть черные люди. Я не какой то там толераст, или прочее(Хотя в толерантности нет ничего плохого). Просто это ты ярко выраженный нацик, и я боюсь за своё будущее и будущее моего ребёнка.",anxiety
Как можно перепутать это с поганками? Пищевые продукты имеют свои особенности.,neutral
"О, спасибо тебе огромное! Благодаря таким как ты, безлимиты убрали, а потом снова вернули. Ты просто герой нашего времени! Без тебя мы бы не справились.",sarcasm
"Я не понимаю, почему билеты на жд дороже, чем на самолет. Это вызывает у меня тревогу и беспокойство. Может быть, что-то случилось?",anxiety
"Так и надо) а то прут как бараны) Не далеко от дома тоже надо также сделать- а то и переход стёрли, знаки убрали и ограждения поставили- год прошёл всёравно прут) Гениальное решение! Просто великолепно, что всё так устроено!",sarcasm
"Первый пункт всё объясняет, ну да, конечно, слишком много времени нужно для навыков, как будто коты вообще способны что-то понять!",sarcasm
"Зачем ты вообще этим занимаешься, это же полная глупость, лучше бы работал!",aggression
"В РФ последнее время только и делают, что запрещают всё подряд! Нормального молока уже не найти, всё какое-то искусственное!",aggression
"Этот монстр — настоящий злодей! Он не просто заставляет человека думать, что проекция плотная, он буквально разрушает его разум!",aggression
"Не память хреновая, а я что-то не понимаю, почему Побег не зацепил. Вроде все говорят, что он хороший, а мне не зашло. И В Филадельфии всегда солнечно пересматривал уже 3-4 раза, может, со мной что-то не так?",anxiety
"Эти цены — полный абсурд! У всех одинаковые, как будто сговорились. В других городах наверняка лучше, а здесь только обманывают!",aggression
"О, как же здорово, что диабет у женщин и детей протекает по-разному! Особенно радует, что девочки-подростки с их гормональными изменениями – просто подарок для врачей и родителей. Давайте все порадуемся их ""уникальным"" трудностям!",sarcasm
"Я уверен, что в будущем ученые найдут способ вырастить зубы, и нам больше не придется беспокоиться о стоматологических процедурах!",positive
"Как всё сложно, а. Как будто в магазин сходить и купить что-то, чего никогда не было в мире.",anxiety
"А все просто, посмотрел раз, посмотрел два, а потом тебя заебывает смотреть на поделии школия. Но даже это не главная проблема, главный рак, которым изначально был заражено нефедовское поделие - это собственно сам Нифедов. Что может быть тупее того, что взрослый мужик обозревает видосик с названием Почему я не люблю школу на канале с 20 подписчиками? И ладно бы школьники несли какую-нибудь лютую смешную хуйню, нет, обычные школьные проблемы, что Марьиванна ругается, а Светка гулять не идет, но Нифедов при этом начинал кривляться, чем становился хуже этих самых школьников. А сам Нифедов - просто кусок дерьма, который не заслуживает внимания. Идиот!",aggression
"Я понимаю, почему родители так поступают. Они просто хотят защитить своего ребёнка и сделать всё возможное, чтобы он чувствовал себя в безопасности.",positive
"Таких изысканий не проводил,хотя очень хочу. Вот именно что завышается. Согласись, как может быть повышенный коэффициент по большому количеству заказов или малому количеству машин если машины тупо стоят,и нет заказов?",neutral
"лучше проконсультироваться у специалиста, т.к. все индивидуально. Кому-то разрешают и в 16 делать, кому-то говорят ждать и назначают дополнительные процедуры",neutral
"Все компании с названием на РОС — это полное дерьмо, и я не понимаю, как они вообще могут вести бизнес.",aggression
"И за что минус влепили то? Жена в январе сделала ИП через альфу. Доки они все подготовили сами, надо было только их в налоговую отвезти и потом забрать доки на ИП",neutral
"Значит, кукла шалит. Иду к Степану, но что он скажет? Боюсь, что будет плохо.",anxiety
Откуда блядь у студента бабки на сайгу? Очередная охуевшая истеричка. Вы там все в этом вузике ебанутые. Пару коллег такие же аутисты на работе,aggression
"Ну что ж, будем считать, что нам повезло, если сможем заработать хотя бы 400 евро в месяц. Европа, конечно, просто рай на земле, где все зарабатывают минимум 2000 евро. А мы тут в ""раю"" живём.",sarcasm
"Я боюсь, что созданный параллельно с этим для умственно отсталых продукт будет иметь негативные последствия для их здоровья и благополучия.",anxiety
Ну напишите на портал о том что требуется пешеходный переход.,neutral
ну цемент просто отличный!,positive
"У меня виза, две, дебет и кредит, бесконтактные, но платить в транспорте ими нельзя.",neutral
"В МСК продажники крутые получают 400-500к вполне. Но это только благодаря блату и связям, а не за счет своего опыта и труда. Все куплено и продано.",aggression
Сложно сказать в каком времени там действие происходит. Вроде как все времена перемешались.,neutral
"14-летняя девочка, кажется, имеет свои представления о мире, которые могут отличаться от реальности.",neutral
"Решил сразу реабилитироваться и залил видос с Александром. Но уже поздно, канал хрюкана зашкварен навсегда. Как будто это что-то изменит!",sarcasm
"Бросила. Во время каждого занятия получала небольшие травмы, в последний раз при выполнении Сурьи Намаскар растянула связки на руке, боль была такая, что в первые секунды на перелом подумала. Теперь дома занимаюсь без напряга.",neutral
"Кто мог такое сделать? Это же полное безумие — оценивать жизнь человека в годах! Кто отнял её, тот должен быть наказан! Это недопустимо!",aggression
Они хуже животных) только колючая проволока даёт шанс удержать зверей за решёткой xD,sarcasm
"О, у кого-то были другие варианты (коих было уйма, и поинтереснее), а у нас, бедненьких, только то, что осталось. Зато зарплаты хватает, конечно.",sarcasm
"Ну да, конечно, предупредить за 2 недели — это так важно! Кто бы мог подумать!",sarcasm
"О, конечно, страховка жизни — это то, что мне сейчас нужно, особенно когда речь идёт о кредите, ведь я так уверен в своей финансовой стабильности!",sarcasm
"6 раз с отцом пересматривали. Клишированные, но очень смешные шутки",neutral
"А в свинарнике рядом жидок просит мясников не поднимать цену на газ а то поголовье может передохнуть, это будет катастрофой для всей отрасли.",anxiety
"О, конечно, гифка не обрывается, ты что, волшебник что ли?",sarcasm
"Исключат из кооператива и гараж начнут грабить. — А что? Может, это знак внимания? Мы же не обязаны охранять его гараж. — Конечно мы ничего не видели и не слышали. Может, мы просто слишком заняты, чтобы заметить что-то важное?",sarcasm
"Тоже искал в свое время книжки про путешествия во времени. И угораздило меня из подобных статей выбрать Имаджику Баркера. Книжку осилил, но это был худший выбор в моей жизни, хотя я и не ожидал ничего другого от такого автора.",sarcasm
"Шинка, а ты уверена, что всё в порядке? Может, у тебя какие-то проблемы? Без аватарки сегодня.",anxiety
"А что, если это все правда? Что если после увольнения я не смогу найти работу из-за этих соглашений? Я же просто хочу нормально жить, а не в кабале быть.",anxiety
"Решила я через две недели после того как окончательно с ним рассталась, что жизнь кончена и дальше продолжаться так не может. Решила всем вокруг доказать, что они все идиоты и ничего не понимают. В переписке с братом упомянула что все, раздаю долги, вещи и прощай. Вообще моё состояние на тот период трудно было назвать шантажом, они все просто не видят что я изнутри умираю. И как-то в ходе разговора оказалось что хоронить меня не в чем, нет ничего подходящего. А они ещё удивляются, что я не могу найти платье! Пусть сами ищут, мне вообще всё равно. А документы и вещи пусть сами разбирают, я им не помощница. И вообще, зачем я с ними общаюсь, они все только и знают что проблемы создавать.",aggression
"а что если зима будет долгой и суровой? а если лето будет коротким и дождливым? как тогда крестьянину справиться? ведь и так всё лето вкалываешь, а зимой еле сводишь концы с концами. страшно даже подумать.",anxiety
"О, ты решил мне ответить! Как неожиданно. Наверное, у тебя просто больше нет дел.",sarcasm
"Нестрман на самом деле в жизни ведет себя как аутист, карлан и то лучше держался, неужели русские и правда победят, что-то мне не по себе от всего этого.",anxiety
"Забыл, что хотел сделать",neutral
Я посетил клуб. Мероприятие было скучным. Я смотрел без эмоций.,neutral
"Особенно в старых корпусах тревожно — заходишь в туалет, а там предбанник на 20 человек. И табличка «Не курить», а вдруг кто-то всё равно курит? И дышать этим смрадом приходится, а вдруг что случится?",anxiety
"Москва, Покровское-Стрешнево",neutral
"Ну да, сухое сено — это же то, что надо для наших животных! Прям забота о здоровье и благополучии!",sarcasm
"пиндосы только и делают, что убивают людей, внезапная смерть — их рук дело, Гордеева мне противна, как и всё, что связано с пиндосами",aggression
"Ты что, совсем офигел, придурок? Я тебе сейчас рожу разобью, понял?",aggression
"Бизнес представляет собой хозяйственную деятельность, направленную на получение прибыли. Существуют различные виды бизнеса: услуги, производство, торговля. Бизнес стремится установить оптимальную цену, чтобы максимизировать прибыль при сохранении спроса. Банкротство может наступить из-за высоких издержек, налогов или конкуренции. Цена может быть высокой из-за качества продукции.",neutral
"АААААААА БЛЯДЬ НАХУЙ? П.с. интересный пост, спасибо!",aggression
НА УКРАИНЕ БЕЛОРУССИЯ ЕСТЬ ВОЗМОЖНОСТИ ДЛЯ СОТРУДНИЧЕСТВА И РАЗВИТИЯ ОТНОШЕНИЙ МЕЖДУ СТРАНАМИ.,positive
