idx_a,idx_b,cos_sim,label_a,label_b,label_a_name,label_b_name,text_a,text_b,votes_a,votes_b,flagged_cleanlab_a,flagged_datamaps_a,flagged_ds2_a,flagged_cleanlab_b,flagged_datamaps_b,flagged_ds2_b,action,levenshtein,error_type_a,error_type_b
2620,2778,0.9999,0,1,unacceptable,acceptable,Как мама потом нашла у дочки в шкафе этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,Как мама потом нашла у дочки в шкафу этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,2,1,True,True,False,True,False,False,removed_a,1,Morphology,0
2977,4986,0.9998,0,1,unacceptable,acceptable,"А прочитая рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.","А прочитав рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы.",2,2,True,True,False,True,True,False,removed_both,1,Morphology,0
6074,7919,0.9998,1,0,acceptable,unacceptable,Почему ж в синтаксическом отношении не хотят видеть ничего сходного между формою именительного падежа и формами косвенных падежей?,Почему ж в синтаксическом отношении не хотят видеть ничего сходного между формою именительного падежа и формами косвенных падежов?,0,2,False,False,False,True,True,False,removed_b,2,0,Morphology
4006,5965,0.9997,0,1,unacceptable,acceptable,"Нельзя предать кого-нибудь, кто столько для тебя сделал.","Нельзя предать кого-то, кто столько для тебя сделал.",2,0,True,True,False,False,False,False,removed_a,6,Semantics,0
119,5269,0.9997,1,0,acceptable,unacceptable,"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая любые мистико-религиозные ее толкования.","Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая какие-либо мистико-религиозные ее толкования.",1,2,True,False,False,True,True,False,removed_b,9,0,Semantics
2749,2786,0.9996,1,0,acceptable,unacceptable,"А сапоги я вам блестящие принесу, ещё красивее ваших!","А сапоги я вам блестящие принесу, ещё красивше ваших!",1,2,True,False,False,True,True,False,removed_b,1,0,Morphology
437,1454,0.9996,0,1,unacceptable,acceptable,Многие млекопитающиеся (а звери ― это как раз и есть млекопитающиеся животные) кусают очень похоже на нас с вами.,Многие млекопитающие (а звери ― это как раз и есть млекопитающие животные) кусают очень похоже на нас с вами.,2,0,True,True,False,False,False,False,removed_a,4,Morphology,0
1247,5581,0.9996,1,0,acceptable,unacceptable,"Я протянул ему ложку, которую Сев выразил желание держать сам.","Я протянул ему ложку, которую Сев выразил желание держать самому.",0,2,False,False,False,True,True,False,removed_b,3,0,Syntax
3814,6407,0.9996,0,1,unacceptable,acceptable,"В начале марта, несмотря на весну, намело столько снегу, что на расчистку дорог была направлена рота солдатов.","В начале марта, несмотря на весну, намело столько снегу, что на расчистку дорог была направлена рота солдат.",2,1,True,True,False,True,False,False,removed_a,2,Morphology,0
349,2756,0.9996,0,1,unacceptable,acceptable,"Каждое утро мимо нас по коридору проносили большие термоса и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь.","Каждое утро мимо нас по коридору проносили большие термосы и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь.",2,0,True,True,False,False,False,False,removed_a,1,Morphology,0
