text,label,error_type,curated_score,compressed_score,diversity_score
Ты потратишь его на отдых и на работу.,1,0,2,2,0.093
"Он говорит, что в тот момент на дороге показался я.",1,0,3,3,0.0516
С того времени русские люди заговорили и записали двоечленными предложениями.,1,0,2,4,0.0987
Он где-то достал 30 фунтов меда.,1,0,2,4,0.1102
Том часто не ходит в школу.,1,0,2,2,0.0891
"Я видел, что она волнуется.",1,0,2,2,0.0501
Он присутствовал на дуэли в качестве врача.,1,0,2,4,0.0957
Он отличался большими способностями из своих сверстников.,0,Syntax,3,5,0.0545
"Мы собрались вместе, чтобы все разобраться в этом деле.",0,Syntax,3,4,0.0639
На этом автобусе можно доехать до центра.,1,0,2,2,0.0868
Туда идти было неподалеку.,0,Semantics,3,3,0.0604
Иван ловил в этом озере щук.,1,0,2,2,0.0968
Я положил ружье около себя.,1,0,2,4,0.0762
Пойду к маме и возьму у нее десять рублей.,1,0,2,2,0.0495
"Должен оке ты был с кем-нибудь поговорить, прежде чем начать ра боту.",1,0,3,3,0.0687
Мальчик выглядывает из окна.,1,0,2,2,0.0723
Тебя давно не было в Москве.,1,0,2,3,0.0516
В этом лесу водятся волки.,1,0,2,2,0.0791
Он стукнул меня прикладом.,1,0,3,4,0.0612
Не в добрый час я ее встретил.,1,0,3,4,0.0665
Я не понимаю такой музыки.,1,0,3,3,0.0588
Он обиделся на мою шутку.,1,0,3,3,0.0522
Петя стучал в ее окно.,1,0,3,3,0.0674
Разве он захватил какие-нибудь документы?,1,0,2,4,0.0848
"Тебя вообще мало касается что бы то ни было, связанное со мной.",1,0,2,2,0.0876
Пожарная команда не появилась.,1,0,3,3,0.069
"Нам читали Иванов алгебру, а Петров — теорию вероятностей.",1,0,2,5,0.0911
"Он сказал мне, где он живет.",1,0,3,3,0.0577
Толпа рассеялась один за другим.,0,Syntax,2,4,0.0768
В XIV веке Перемышль уже существовал.,1,0,1,3,0.1328
"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов.",0,Syntax,2,3,0.1047
Маша внимательно читает книгу.,1,0,1,1,0.0453
Мало кто может работать.,1,0,2,2,0.0872
"Я пригрозил ему рассказать все, что знаю.",1,0,2,4,0.0759
Он принял ее взгляды.,1,0,3,3,0.0527
"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics,3,4,0.0613
"Как он рассчитывает, Маша вернется завтра.",1,0,3,3,0.0655
Он прочел две книги.,1,0,3,4,0.063
"Только что мне сообщили, что оргкомитет, к сожалению, отклонил мой доклад.",1,0,2,4,0.0855
