premise,hypothesis,label,confidence,variability,correctness,forgetfulness,category
"""Была установлена личность подозреваемого - 27-летнего мужчины. По словам задержанного, он был давно влюблен в жену убитого и различными способами добивался ее внимания. """"Так как женщина не хотела с ним общаться, он решил похитить ее мужа"""", - говорится в сообщении.""",27-летний мужчина похищен.,not_entailment,0.12745778236005986,0.15052685637520644,0.0,0.0,hard-to-learn
"Это предполагает законопроект о фонде субсидирования предприятий, которые создают новые рабочие места, рассмотренный комиссией по сельскому хозяйству и пищевой промышленности и предложенный парламенту.","Парламент рассмотрел законопроект о фонде субсидирования предприятий, которые создают новые рабочие места.",not_entailment,0.13888674601912498,0.12833441960054842,0.0,0.0,hard-to-learn
"Подробности случившегося не сообщаются. Известно, что о произошедшем в полицию сообщила мать девочки, правда, пришла она в отделение на неделю позже. Она рассказала, что преступник каким-то образом проник к ним в дом и совершил надругательство над дочерью.",Подробности случившегося полиция не знает.,not_entailment,0.14035301149955817,0.1497420273041629,0.0,0.0,hard-to-learn
"На вопрос классного руководителя о причинах их появления мальчик ответил, что подрался со старшим братом.",У мальчика были синяки или ссадины.,entailment,0.15083035800073827,0.1344934897995741,0.0,0.0,hard-to-learn
"Свои поступки женщина объяснила тем, что муж бросил бы ее, если бы она родила ему много детей. К 2006 г. в семье уже росли два ребенка. Личность осужденной сохранена в тайне, поскольку разглашение этой информации противоречит немецкой системе правосудия.",Муж не любил много детей.,entailment,0.15268458692090853,0.13376348608539293,0.0,0.0,hard-to-learn
"Специалисты трудовой инспекции провели внеплановую проверку на заводе и выяснили, что предприятие действительно имеет большие долги по зарплате.",Завод не полностью выплатил зарплату.,entailment,0.16969512136919157,0.11837204066285646,0.0,0.0,hard-to-learn
"Отец вышел на балкон и дверь внезапно захлопнулась. Благо, телефон мужчина взял с собой. Он вызвал спасателей, которые благополучно попали в квартиру и освободили родителя, а также успокоили перепуганного четырехлетнего мальчика.",Малыш остался дома один.,entailment,0.18395676144531795,0.12003866039624463,0.0,0.0,hard-to-learn
"""По словам Охлобыстина, он не знал, что среди людей, называющих себя организаторами """"Русского марша"""", есть разногласия. """"Я был дезинформирован, основывался на сообщениях прессы и своих подписчиков в Твиттере и не знал, что организаторов """"Русского марша"""" несколько и что между ними есть разногласия. Это очень плохо, потому что здравые патриотические силы должны работать на объединение, а не заниматься ссорами внутри себя"""".""",Охлобыстин осуждает ссоры между патриотами.,entailment,0.19092566147446632,0.16373280805330467,0.0,0.0,hard-to-learn
"Он сообщил, что после митинга были задержаны, как минимум, четыре человека. Среди них член КПРФ и помощник депутата Госдумы. Как сообщили агентству в пресс-службе правительства Самарской области, уведомление, поданное организаторами митинга, не было рассмотрено, так как было составлено с ошибками.",Митинг завершился.,entailment,0.19259356494460786,0.11061385930722,0.0,0.0,hard-to-learn
"Получить деньги он не успел, был задержан.",Он так и не подержал в руках деньги.,entailment,0.21465995907783508,0.09497918920913001,0.0,0.0,hard-to-learn
"Доктора пытались реанимировать мальчика, но полученные им травмы оказались несовместимыми с жизнью.",Мальчик не выжил.,entailment,0.2194672269480569,0.1049381610652451,0.0,0.0,hard-to-learn
"Сделал он это на лестничной клетке в доме, в котором он проживает.",Он проживает в многоквартирном доме.,entailment,0.22225704789161682,0.09860261419083022,0.0,0.0,hard-to-learn
"Если первый блин вышел комом, то второй точно удался.",Кто-то точно совершил как минимум две попытки.,entailment,0.22467478471142904,0.0997645825346147,0.0,0.0,hard-to-learn
"Мужчина быстро собрался, однако в сгустившемся уж мраке не смог сориентироваться и в итоге заблудился в густых зарослях камыша.",Мужчина плохо ориентировался во мраке.,entailment,0.22762329024927958,0.09100850584957372,0.0,0.0,hard-to-learn
"Искренне разделяем Вашу боль и передаем слова сочувствия и поддержки Вам и Вашим родным. Примите наши искренние соболезнования. В эту горькую минуту разделяем Ваше горе, скорбим вместе с Вами.",Кто-то умер.,entailment,0.2295574987573283,0.15142575368556926,0.0,0.0,hard-to-learn
"Аргументом данного решения стало то, что мэр не может выдавать подобные распоряжения. Согласно распоряжению мэра, должно было быть приобретено до 50 единиц, но денег хватало только на 30. Эти автобусы нужно было купить еще несколько лет назад. Так как у всех автобусов, имеющихся в наличии, истек срок эксплуатации.",В городе эксплуатировались только просроченные автобусы.,entailment,0.2336642869881221,0.08796723857817233,0.0,0.0,hard-to-learn
"Со страницы его друга в социальной сети пришло сообщение с просьбой перевести пять тысяч рублей. Отзывчивый приятель выполнил просьбу, а потом перезвонил, чтобы поинтересоваться, как дела у попавшего в беду. Тот заверил, что понятия не имеет, о каких деньгах идёт речь.",Отзывчивый приятель лишился денег.,entailment,0.23831626240696227,0.12937526606996863,0.0,0.0,hard-to-learn
"""По мнению министра, """"говорить о том, что мы прямо сейчас продали им что-то новенькое, и это новенькое используется против демонстрантов, просто нечестно"""". Он также подчеркнул, что Россия поставляет вооружение по контрактам, которые не являются секретом и предполагают покупку Сирией, прежде всего, противовоздушных оборонительных средств, """"которые могут потребоваться только в случае внешней агрессии против сирийского государства"""". """"Мы оправдываться не собираемся, потому что мы ничего не нарушали"""".""",Военные контракты предполагают поставку из России в Сирию противовоздушных оборонительных средств.,entailment,0.2516366360442979,0.18517831441722638,1.0,1.0,ambiguous
"Отметил День защитника отечества, называется.",День защитника отечества не вызвал приятных эмоций.,entailment,0.2635599651506969,0.08955963378365801,0.0,0.0,hard-to-learn
"""Правозащитники предлагают сократить область применения в России понятия """"экстремистская деятельность"""" и отказаться от списка запрещенной экстремистской литературы. """"Должно быть резко сокращено применение понятия """"экстремистская деятельность"""", кроме случаев самих насильственных преступлений, призывов к насильственным преступлениям, либо организованной деятельности, связанной с насильственными преступлениями"""", - заявил на пресс-конференции в центральном офисе """"Интерфакса"""" в среду директор информационно-аналитического центра """"Сова"""" Александр Верховский. Он также предложил отказаться от федерального списка запрещенных экстремистских материалов, так как он, по мнению правозащитника, """"не работает"""".""","""Правозащитники недовольны слишком широкой областью применения в России понятия """"экстремистская деятельность"""". """,entailment,0.27088177310568945,0.13205193389213585,0.0,0.0,hard-to-learn
"После этого преступник скрылся, а женщина вызвала полицию.",Женщина обратилась за помощью в полицию.,entailment,0.2759310156106949,0.1315016598792934,1.0,1.0,hard-to-learn
"Сотни военнослужащих из Катара принимали участие в военных операциях на стороне ливийских оппозиционеров, сообщил в среду журналистам командующий Генеральным штабом катарских Вооруженных сил Хамад бен Али Аттыйя. По его словам, оппозиционеры нуждались в такой поддержке, поскольку большинство из них составляли гражданские люди, никогда не имевшие дело с военной наукой.",Сотни военослужащих Катара воевали за ливийских оппозиционеров.,entailment,0.27888489088841845,0.18438507135213444,1.0,1.0,ambiguous
"Он сделал это только после того, как его лишили водительских прав, сообщает пресс-служба краевого управления Федеральной службы судебных приставов.",Он всё-таки сделал это.,entailment,0.2815871983766556,0.08568522965992825,0.0,0.0,hard-to-learn
"У троих участников драки диагностированы различные травмы. Что интересно, в полиции все они заявили, что претензий друг к другу не имеют.",Участники драки остались довольны друг другом.,entailment,0.2886383278029306,0.13708130311170486,1.0,0.0,hard-to-learn
"Министр по вопросам Brexit Дэвид Дэвис призвал коллег-депутатов не вставлять палки в колеса премьер-министру и закончить рассмотрение как можно более оперативно, чтобы начать переговоры до конца марта этого года, передает ТАСС.",По вопросам Brexit есть отдельный специальный министр.,entailment,0.29969947252954754,0.06988394256276796,0.0,0.0,hard-to-learn
"""""""Википедия"""" пишет, что это был период избирательной президентской кампании в России, а Макфол тогда занимался изучением избирательных технологий. Как писал один из коллег Макфола, он поначалу хотел отклонить приглашение Коржакова, который в то время входил в предвыборный штаб Ельцина. Однако приятель посоветовал ему принять приглашение, поскольку последствия отказа были бы намного хуже.""",Коржаков входил в предвыборный штаб Макфола.,not_entailment,0.31834067830017637,0.10306808872897807,1.0,1.0,hard-to-learn
"Он рассказал, что договорился с так называемым генеральным директором строительной фирмы о выполнении ряда работ. Клиент заявил, что строители должны были пробурить у него на участке скважину и построить дом. Однако получив деньги, представитель фирмы перестал отвечать на звонки и больше не появлялся.",После получения денег представитель фирмы исчез.,entailment,0.32647972447531565,0.10667142284907671,0.0,0.0,hard-to-learn
"Сегодня к экономии средств активно подключаются муниципальные образования, поскольку имеется республиканская поддержка.",Экономией средств занимается все больше территорий.,entailment,0.3615182191133499,0.11462318318162729,1.0,0.0,hard-to-learn
"Приехавшие на место стражи порядка выяснили, что женщина пригласила своего знакомого помочь ей по хозяйству. Мужчина пришел и в какой-то момент остался один - хозяйка вышла в соседнюю комнату. Гость в этом доме бывал не раз и даже знал, где пенсионерка хранит свои сбережения.",Хозяйка была на пенсии.,entailment,0.3739824380193438,0.03523278599319254,0.0,0.0,hard-to-learn
