premise,hypothesis,label,predicted_label,label_quality_score
"Между тем в кредитной организации заверили, что проблемы возникли с «незначительным» числом устройств самообслуживания (УС).",Проблемы возникли с одним из устройств самообслуживания (УС).,not_entailment,entailment,0.14614818
"Сельский врач предложил ей таблетки, но она попросила сделать ей инъекцию антибиотика. Со слов доктора, он убедился, что в ампуле действительно антибиотик, и сделал укол. Самочувствие женщины резко ухудшилось, и она умерла.","Сельский врач предложил ей таблетки, но она предпочла умереть.",not_entailment,entailment,0.15720153
"""По словам Касима Джамаля Сулеймана, руководителя правительственной комиссии по расследованию произошедшего, все """"мученики"""" были выходцами из """"мирных семей, которые никогда не участвовали в вооруженной борьбе с государством"""". """"Они были не согласны с вооруженными группировками, это подтверждает, что у последних был интерес и цель для убийств"""", - сказал Сулейман, добавив, что все погибшие умерли от пуль и """"острых предметов"""", а не от артиллерии. Он также отметил, что правительственные войска не входили в Хулу во время бойни, поскольку пострадавшие районы находятся вдали от их позиций.""","""У """"мучеников"""" были пули и острые предметы.""",not_entailment,entailment,0.15759008
"""Следователи ознакомили лидера националистического движения """"Русские"""" Дмитрия Демушкина с проведенными экспертизами, одна из которых заключила, что в его прошлогоднем интервью, из-за которого было возбуждено одно из уголовных дел, отсутствует элемент разжигания межнациональной розни.""",Следователи ознакомили Дмитрия Демушкина с проблемой в проведении экспертиз.,not_entailment,entailment,0.15941359
"""Парламентское большинство не считает необходимым проводить специальное расследование в Госдуме в связи с ситуацией вокруг помощника депутата-эсера Ильи Пономарева - Леонида Развозжаева, который утверждает, что в отношении него применялись пытки после задержания. """"В нашей стране есть орган - Генеральная прокуратура, которая занимается подобными расследованиями"""", - сказал журналистам в среду руководитель фракции """"Единая Россия"""" в Госдуме Андрей Воробьев. По его словам, парламентское большинство не будет инициировать такого рода расследование, так как считает, что соответствующие ведомства в состоянии сами ответить на все вопросы, возникающие вокруг данной ситуации и дать исчерпывающую информацию.""","""Руководитель фракции """"Единая Россия"""" сказал, что парламентское большинство инициирует расследование насчет предполагаемых пыток помощника депутата после задержания.""",not_entailment,entailment,0.163579
"""Премьер-министр Украины Николай Азаров не советует никому издеваться над украинскими судами. Комментируя арест экс-премьера Юлии Тимошенко, Н.Азаров сказал: """"Я там (в Печерском райсуде Киева - ИФ) был вчера и своими глазами убедился, как издевались над судом. Я никому не советую издеваться над судом, потому что суд - одна из основ нашего государства"""".""","Премьер-министр напомнил, что Печерский райсуд Киева - одна из основ государства.",not_entailment,entailment,0.16391332
"""""""Поэтому я просто хочу также защитить наших дальнейших спортсменов, потому что сейчас на меня напали, в следующий раз нападут на более, может быть, слабого какого-то спортсмена, но который защищает честь и достоинство нашей страны"""", - продолжил спортсмен. Плющенко подозревает, что """"это какой-то был заказ со стороны неких тренеров и конкуренции"""". """"Да, мне сейчас тяжело, потому что проделана была большая и сложная операция"""".""","Плющенко подозревает, что нападение на него было случайным.",not_entailment,entailment,0.16762705
"Как сообщает официальный сайт правительства региона, участниками турнира стали семь команд.",В турнире будут участвовать спортсмены из правительства региона.,not_entailment,entailment,0.1681045
"""Губернатора Санкт-Петербурга Георгия Полтавченко не задело поведение футбольных болельщиков, певших о главе города и недостроенном стадионе на игре """"Зенит"""" - """"Кубань"""". """"Пусть это останется на совести тех, кто заказал, кто исполнил эту частушку. Давайте будем болеть за """"Зенит"""", потому что это наша любимая команда"""".""",Георгий Полтавченко обиделся на поведение футбольных болельщиков.,not_entailment,entailment,0.16844618
"""По мнению С.Еничери, это противоречит принципам, сформулированным в Коране. """"Дед Мороз прибирается в дома через окна или дымоходы. Если бы он был честным человеком, то проходил бы через двери, так как у нас так принято"""", - отметил имам.""","По мнению имама, поведение Деда Мороза соответствует принципам Корана.",not_entailment,entailment,0.16878843
"Игроки хорошие, индивидуумы хорошие, а не сложилось. Президент предпринимала максимальные усилия, направленные на то, чтобы, найти лучшее, что есть на рынке. Мы не все могли купить, потому что бюджет клуба не всех позволял приобрести.","Президент нашла лучшее, что есть на рынке.",not_entailment,entailment,0.16954334
"""""""Скорее всего, это была проверочная закладка с целью изучения действий оперативных служб в подобных ситуациях"""", - предположил источник. Однако, как сообщил позже журналистам начальник ГУ МВД по Москве Владимир Колокольцев, угроза взрыва была ложной, просто """"гражданин оставил свою машину и ушел по своим делам"""". """"Было основание полагать, что эта машина несет угрозу, так как на заднем сиденье была бочка с краской, - сказал он.""",Машина несла угрозу.,not_entailment,entailment,0.1696809
"""Оно должно сохранять некоторые бренды, должно сохранять некоторые символы, из которых, опять-таки, составляется уникальность этого города, этого государства. Поэтому """"Ленфильм"""" должен быть сохранен именно как государственный центр – он может быть меньше, чем сейчас, допустим, но он может стать каким-то инкубатором, где выращивают великих режиссеров, а они потом, их ученики могут работать в разных других местах. Я думаю, что предложенный вариант не очень удачный, потому что то, как он выглядит сейчас – это обыкновенная приватизация, это новая волна приватизации.""","""""""Ленфильм"""" может стать инкубатором великих брендов.""",not_entailment,entailment,0.17085359
"""""""Мы будем обращаться и в новый состав правительства, который в мае будет сформирован, и к нынешнему составу Государственной думы, и к вам как будущему президенту (а в этом никто не сомневается, что вас президентом страны вновь изберут), соответственно, с просьбой. Как вы смотрите на то, чтобы вернуть пиво на стадионы? Потому что это необязательно повлечет массовый алкоголизм, например, это не факт, что обязательно будет буйство на стадионах"""".""",Обязательно будет буйство на стадионах.,not_entailment,entailment,0.17140765
"""""""Я всегда мечтал играть за """"Барс"""", ничего не изменилось. Я счастлив быть здесь и даже не думаю об уходе. Я не просил о продлении контракта, потому что и так хочу здесь остаться"""".""","""Я устал играть за """"Барс"""".""",not_entailment,entailment,0.17189366
"В ходе разбирательств выяснилось, что данное транспортное средство числится в угоне.",Транспортное средство угнали в ходе разбирательства.,not_entailment,entailment,0.1732882
"Вместе с ними пропали также юбилейные медали, памятные и нагрудные знаки, грамоты. Очень хочется надеяться, что бабушка просто забыла, куда в последний раз положила награды — и они в конце концов найдутся. Но все может быть: мало ли, награды и правда могли похитить.","Бабушка забыла, куда дела награды.",not_entailment,entailment,0.17335817
"""Президент РФ Дмитрий Медведев заявляет о необходимости выработки критериев, которые позволят привлекать к юридической ответственности лиц за призывы к насилию в Интернете. То есть, пояснил глава государства, за суждения привлекать к ответственности нельзя, """"но если это уже призыв к какому-либо насилию - власть надо употреблять"""". """"Потому что, если из Интернета или социальных сетей льются призывы идти и резать кого-то - нельзя говорить о свободе Интернета"""".""",Медведев хочет привлекать к ответственности за дискуссии в Интернете.,not_entailment,entailment,0.17335817
"""И желательно, по его словам, быть энергичными в интернет-пространстве, поскольку """"Единой России"""" сложнее быть в Сети, чем другой политической силе, так как партия находится у власти: """"Вот вы сказали, что выходили к людям, сначала тяжело, критикуют, пар выпускают. У меня та же самая ситуация, когда подходишь. Радуются вначале, потому что видят людей знакомых, а потом говорят: у нас вот это плохо, это, это"""".""","Находящейся у власти партии проще быть в Интернете, чем любой другой.",not_entailment,entailment,0.1744806
"В каждом районе были созданы мобильные группы, в которые вошли сотрудники администраций и полицейские.",В состав групп вошли сотрудники администраций и наименее мобильные полицейские.,not_entailment,entailment,0.1744806
"""Сам Удальцов заявлял, что врачи действуют под давлением полицейских. """"Власти избрали тактику поддержания у меня минимального жизненного уровня. В этих условиях я вынужден продолжать голодовку, поскольку никакой вины за собой не вижу"""", - сообщил он.""",Удальцов отказывается от еды.,entailment,not_entailment,0.17483254
"В Ульяновской области появится региональный закон «О технологической долине», который станет основополагающим в создании «умного региона».",В Ульяновской области готовят закон для переименования в «умный регион».,not_entailment,entailment,0.17504396
"""""""Воздушные шары символизируют открытость и честность выборов, а их количество равно числу ТИКов в республике"""", - пояснил агентству поднесший спичку к чучелу, облив его перед этим жидкостью для разведения костров, правозащитник Эдвард Мурзин. Участники митинга, организованного одним из лидеров общественного движения """"Голос Уфы"""" Андреем Андреевым, прошли колонной с речевками и знаменами несколько кварталов к площади перед Русским драмтеатром. Полиция не перекрывала движение автотранспорта, поскольку колонна участников акции двигалась только по тротуарам.""",Честность и открытость выборов символизирует колонна с речевками.,not_entailment,entailment,0.17560875
"Получить деньги он не успел, был задержан.",Он так и не подержал в руках деньги.,entailment,not_entailment,0.17575017
"""По словам россиянина, перед ним стояла задача - финишировать впереди """"Форс Индии"""". """"Мы начали гонку на покрышках средней жесткости. И я старался отстоять свою позицию на старте, так как все в основном были на мягких шинах"""".""","""Россиянин финишировал впереди """"Форс Индии"""".""",not_entailment,entailment,0.17603327
"""По мнению министра, """"говорить о том, что мы прямо сейчас продали им что-то новенькое, и это новенькое используется против демонстрантов, просто нечестно"""". Он также подчеркнул, что Россия поставляет вооружение по контрактам, которые не являются секретом и предполагают покупку Сирией, прежде всего, противовоздушных оборонительных средств, """"которые могут потребоваться только в случае внешней агрессии против сирийского государства"""". """"Мы оправдываться не собираемся, потому что мы ничего не нарушали"""".""",Военные контракты предполагают поставку из Сирии в Россию противовоздушных оборонительных средств.,not_entailment,entailment,0.17610411
"""Угроза взрыва на Комсомольской площади перед Ярославским вокзалом оказалась ложной. Как сообщил журналистам начальник ГУ МВД по Москве Владимир Колокольцев, """"гражданин оставил свою машину и ушел по своим делам"""". """"Было основание полагать, что эта машина несет угрозу, так как на заднем сиденье была бочка с краской"""", - сказал он.""",Бочка с краской представляла угрозу.,not_entailment,entailment,0.17617497
"Он проводит невидимую грань между настоящим и будущим. В эти минуты все мы подводим главные итоги года, вспоминаем самые важные события. В эти мгновения мы с волнением ждем добрых перемен.",В эти минуты все мы подводим друг друга.,not_entailment,entailment,0.17709816
"Предприниматель попытался откупиться от следователя взяткой, переданной через адвоката. Сейчас он задержан. Дальнейшее расследование выявило, что персонал не имел медицинского образования и предлагал клиентам противопоказанные по состоянию здоровья услуги.",Предприниматель требовал взятку.,not_entailment,entailment,0.1775255
"Деньги кто-то перевел на другую карту. Сделали запрос в банк и быстро нашли мошенника. Тут и выяснилось, что пострадавший сам накликал на себя беду, когда указывал свой номер в банке.",Мошенником оказался пострадавший.,not_entailment,entailment,0.17781086
"""""""Я полагаю, что наше послание достаточно четкое в СМИ. Те, кто сожалеет об этом, кто может получить урон, должны поговорить с американцами, чтобы те не совершили  глупость в отношении Ирана. Потому что то, что мы делаем, - это реакция на действия другой стороны"""".""","""""""На наши действия идет неадекватная реакция другой стороны"""".""",not_entailment,entailment,0.17831111
"""""""Насколько мне известно, они мало чем отличаются от рекомендаций, которые давали специалисты из нашей страны, которые давали консультации по неврологии и нейрохирургии"""", - сообщила Моисеенко. Она, однако, уклонилась от ответа на вопрос можно ли говорить о том, что диагноз немецких врачей совпадает с диагнозом, который ранее поставили украинские медики. """"Я не могу обсуждать этот вопрос, потому что это предварительные выводы.""","Диагноз немецких врачей совпадает с диагнозом, который ранее поставили украинские медики.",not_entailment,entailment,0.17852582
"Я здесь все взорву! – такую фразу часто можно услышать в захватывающих боевиках. Но вряд ли кто-то обрадуется, когда такое прозвучит от неизвестного человека в обычной жизни.","""Кто-то обрадуется, услышав фразу """"Я здесь все взорву!"""" от неизвестного человека в обычной жизни.""",not_entailment,entailment,0.17859745
"Правящая коалиция и кабинет министров вряд ли к нему прислушаются. «Со стороны правительства никогда шаги по уменьшению финансирования программ русского вещания не обсуждались. Наоборот, шла речь, как его можно было бы увеличить», - отметил глава государства.",Финансирование программ русского вещания увеличат.,not_entailment,entailment,0.17859745
"Отец вышел на балкон и дверь внезапно захлопнулась. Благо, телефон мужчина взял с собой. Он вызвал спасателей, которые благополучно попали в квартиру и освободили родителя, а также успокоили перепуганного четырехлетнего мальчика.",Малыш остался дома один.,entailment,not_entailment,0.17931488
"Тверские полицейские сумели по горячим следам задержать мужчину, которого подозревают в покушении на убийство.",Тверские полицейские задержали подозреваемого.,not_entailment,entailment,0.17931488
"""Адвокат обвиняемого в убийстве хозяина саратовской """"Тактики"""" после заседания в областном суде отметил, что его подзащитный не собирается обжаловать приговор.""","""Обвиняемый в убийстве владельца саратовской """"Тактики"""" собирается обжаловать приговор.""",not_entailment,entailment,0.17931488
"Власти Москвы планируют выйти на бездефицитный бюджет через пять лет, сообщается в материалах департамента финансов Москвы, представленными заммэра города Андреем Шароновым на пресс-конференции. Согласно прогнозу, в 2016 г. профицит бюджета столицы составит 15,5 млрд рублей.",В Москве прогнозируется дефицит бюджета.,not_entailment,entailment,0.17938675
"Сделали горку для ребятишек, каток. Но залить своими силами смогли только горку. Никто не хочет помочь нам заливать, а ведь мы стараемся сделать хоть что-то.",Каток залили своими силами.,not_entailment,entailment,0.17981842
Далее было вынесено постановление о взыскании исполнительского сбора. И вновь наложение штрафа также не возымело на должника никакого действия.,На должника наложили штраф.,not_entailment,entailment,0.17989045
"По традиции мы отмечаем их в семейном кругу. Желаем родным и близким людям счастья. Провожая уходящий год, каждый из нас вспоминает его яркие моменты, надеется на добрые перемены и мечтает о будущем.",Каждый из нас мечтает о будущем в семейном кругу.,not_entailment,entailment,0.18010665
