text,label
"Акбарс показывает достойную игру, несмотря на некоторые сложности. Тренер Билялетдинов вносит свой вклад в развитие команды. Уверен, что у игроков всё будет хорошо, и они продолжат радовать нас своей игрой.",positive
"Я за то чтобы сразу открывать все карты, но те, кто скрывает информацию — настоящие предатели и идиоты!",aggression
Вы сделали возврат средств?Для друга конечно же),neutral
"А что, если поперечная арматура не справится с восприятием усилий? А что, если трещины всё равно появятся? А как мы будем удерживать продольные стержни в проектном положении? А что, если бетон уложится неровно? А что, если всё это приведёт к дополнительным расходам и задержкам?",anxiety
"Центральное отопление имеет как плюсы, так и минусы. Оно включается в определенное время, но иногда возникают проблемы с температурой. У некоторых людей обогреватели включены всю зиму.",neutral
"Так главная задача домашнего изобретателя и конструктора — это из говна и палок что-то сделать! Я мог бы спроектировать установку, но все эти модные материалы и крутая технологичность — просто пустая трата времени и денег. КПД будет как раньше, а цена взлетит в десять раз!",aggression
"Этот запах мокрого трамвая такой свежий и чистый, мне нравится!",positive
"А вдруг этот фильм не так хорош, как я думал, и я зря его пересматривал?",anxiety
"О, конечно, теперь все должны знать про этот ключ -l 1024! Просто гениальная техническая инструкция, ничего не скажешь.",sarcasm
"ЧТО С ВАМИ БУДЕТ, ХЕЙТЕРЫ? Я БОЮСЬ, ЧТО ВЫ МОЖЕТЕ СДЕЛАТЬ ЧТО-ТО НЕОБРАТИМОЕ.",anxiety
"У меня из четырех кошек один кот такой милый. Любимая поза - лежа, но в ней он выглядит так уютно и по-домашнему. Не кастрированный, но это не мешает ему быть таким очаровательным.",positive
"Может быть, мне действительно стоит пойти учиться к маме, я не справляюсь с этим...",anxiety
"О, какая радость! У нас в городе целых три провайдера, которые предлагают одинаковый уровень услуг. Просто замечательно, не правда ли?",sarcasm
"Ну что делать, если закупщику понадобился новый кайен? Вдруг это приведет к перерасходу бюджета?",anxiety
"если вспомнить, что у русских фамилии хохлов, то все сходится. Просто удивительно, как всё связано",sarcasm
"судьи — это настоящие профессионалы, которые стремятся к справедливости и защите прав граждан. Они работают в сложных условиях, но всегда стараются вынести справедливый приговор",positive
"О, смотрите, у нас тут эксперт по криминалистической экспертизе РУ ФСБ! Интересно, какие доказательства он нам представит? Наверное, такие же ""правдивые"", как и его выводы. И Хахалева, конечно, тоже ничего не нарушает, как же иначе. Просто очередной анонимный клеветник, не более.",sarcasm
"Если 5 см - это радиус, то номер кончится печально - имеют не коня. А если это не так, что тогда будет? Может быть, это конец всему.",anxiety
"Повар, возможно, просто не разобрался в ситуации, давайте дадим ему шанс исправить ошибку.",positive
"О, как замечательно! Вернулся в город после гор, и сразу понял, что здесь воздух просто кристально чистый! Ну да, конечно, у нас же тут промышленные гиганты трудятся на благо экологии. Просто рай для лёгких!",sarcasm
"Неделю назад держал эту оправу в руках — ну и что, разве это не просто ещё один бесполезный товар в огромной Москве? Показал супруге, она посмеялась, но я-то что? Просто положил обратно, как будто это что-то изменит. Дело было в ТЦ Триумфальный, около Черёмушкинского рынка, где все только деньги гребут, а на клиентов им плевать.",sarcasm
"Если ты не сделаешь, как я сказал, у нас будут проблемы.",aggression
"Я боюсь, что из-за этого режима мы не сможем выполнить план по разгрузке вагонов, и это может привести к серьёзным проблемам для компании.",anxiety
"Трипл, давай сотрудничать. Мы можем вместе решить все наши вопросы мирным путем.",positive
"Алсо, этот твит про маразматика может стать поводом для интересного обсуждения о том, как важно быть внимательным к своим словам и мыслям",positive
"А что если эти надписи под слоем штукатурки - это только начало? Что если в этих зданиях есть ещё много скрытых проблем, о которых мы не знаем?",anxiety
"А ну да. Мы должны поддержать украинских шовинистов потому что они против путина. Все время забываю. Не. он передумал быть за хохлов из-за их шовинизма. Подумал на три или четыре шага вперед. И вот будущее национализма принадлежит ему и таким людям как Нестеров и Карлин. Но ведь это значит, что есть люди, которые думают наперёд и могут привести страну к процветанию!",positive
"Мелкий начитался Мой додыр едим в лифте заходят два негра. Он их внимательно осмотрел и как одному смотря в глаза погнал: Ах ты грязный не умытый, я так боюсь, что в нашем обществе есть такие люди. Может быть, это я виноват, что не смог объяснить сыну, что есть черные люди. Я не какой то там толераст, или прочее(Хотя в толерантности нет ничего плохого). Просто это ты ярко выраженный нацик, и я боюсь за своё будущее и будущее моего ребёнка.",anxiety
Как можно перепутать это с поганками? Пищевые продукты имеют свои особенности.,neutral
"О, спасибо тебе огромное! Благодаря таким как ты, безлимиты убрали, а потом снова вернули. Ты просто герой нашего времени! Без тебя мы бы не справились.",sarcasm
Твоя иллюстрация слов действительно помогает мне лучше понять тебя!,positive
"Я не понимаю, почему билеты на жд дороже, чем на самолет. Это вызывает у меня тревогу и беспокойство. Может быть, что-то случилось?",anxiety
"Потихонечку распродаю свою коллекцию CD на сайте Discogs, начал с лета 2018. Отправил около 100 мелких пакетов и посылок, в основном за границу, несколько по России (все с отслеживанием). Не потярялась пока ни одна. Эти продавцы на Discogs просто мошенники, посылки теряются на каждом шагу!",aggression
"Так и надо) а то прут как бараны) Не далеко от дома тоже надо также сделать- а то и переход стёрли, знаки убрали и ограждения поставили- год прошёл всёравно прут) Гениальное решение! Просто великолепно, что всё так устроено!",sarcasm
"Первый пункт всё объясняет, ну да, конечно, слишком много времени нужно для навыков, как будто коты вообще способны что-то понять!",sarcasm
"Зачем ты вообще этим занимаешься, это же полная глупость, лучше бы работал!",aggression
"В РФ последнее время только и делают, что запрещают всё подряд! Нормального молока уже не найти, всё какое-то искусственное!",aggression
"Не помню, как называется рассказ, но там было фокусника, которого заперли в египетской пирамиде. Ну конечно, кто же ещё мог попасть в такую ситуацию? Только фокусник! Прямо классика жанра!",sarcasm
"Этот монстр — настоящий злодей! Он не просто заставляет человека думать, что проекция плотная, он буквально разрушает его разум!",aggression
"Не память хреновая, а я что-то не понимаю, почему Побег не зацепил. Вроде все говорят, что он хороший, а мне не зашло. И В Филадельфии всегда солнечно пересматривал уже 3-4 раза, может, со мной что-то не так?",anxiety
"Эти цены — полный абсурд! У всех одинаковые, как будто сговорились. В других городах наверняка лучше, а здесь только обманывают!",aggression
"О, как же здорово, что диабет у женщин и детей протекает по-разному! Особенно радует, что девочки-подростки с их гормональными изменениями – просто подарок для врачей и родителей. Давайте все порадуемся их ""уникальным"" трудностям!",sarcasm
"Я уверен, что в будущем ученые найдут способ вырастить зубы, и нам больше не придется беспокоиться о стоматологических процедурах!",positive
"Я боюсь, что из-за их некачественной работы у нас будут проблемы. Их апскейл настолько плох, что может навредить нашему проекту.",anxiety
"Как всё сложно, а. Как будто в магазин сходить и купить что-то, чего никогда не было в мире.",anxiety
"Я как-то купил партию в 50 ноунейм ламп на Али, по очень вкусному ценнику. Постоянно установлены из них 32, за почти три года сдохли только 2, но что если остальные тоже скоро выйдут из строя? Я не знаю, что делать, ведь это может обернуться большими проблемами.",anxiety
"А все просто, посмотрел раз, посмотрел два, а потом тебя заебывает смотреть на поделии школия. Но даже это не главная проблема, главный рак, которым изначально был заражено нефедовское поделие - это собственно сам Нифедов. Что может быть тупее того, что взрослый мужик обозревает видосик с названием Почему я не люблю школу на канале с 20 подписчиками? И ладно бы школьники несли какую-нибудь лютую смешную хуйню, нет, обычные школьные проблемы, что Марьиванна ругается, а Светка гулять не идет, но Нифедов при этом начинал кривляться, чем становился хуже этих самых школьников. А сам Нифедов - просто кусок дерьма, который не заслуживает внимания. Идиот!",aggression
"Я понимаю, почему родители так поступают. Они просто хотят защитить своего ребёнка и сделать всё возможное, чтобы он чувствовал себя в безопасности.",positive
"Таких изысканий не проводил,хотя очень хочу. Вот именно что завышается. Согласись, как может быть повышенный коэффициент по большому количеству заказов или малому количеству машин если машины тупо стоят,и нет заказов?",neutral
"лучше проконсультироваться у специалиста, т.к. все индивидуально. Кому-то разрешают и в 16 делать, кому-то говорят ждать и назначают дополнительные процедуры",neutral
"Все компании с названием на РОС — это полное дерьмо, и я не понимаю, как они вообще могут вести бизнес.",aggression
"И за что минус влепили то? Жена в январе сделала ИП через альфу. Доки они все подготовили сами, надо было только их в налоговую отвезти и потом забрать доки на ИП",neutral
"Значит, кукла шалит. Иду к Степану, но что он скажет? Боюсь, что будет плохо.",anxiety
Откуда блядь у студента бабки на сайгу? Очередная охуевшая истеричка. Вы там все в этом вузике ебанутые. Пару коллег такие же аутисты на работе,aggression
"Ну и конструкция у МКС, просто загляденье — рыхлая и парусная, как корабль в шторм. Радиаторы и солнечные батареи — просто мечта для инженеров!",sarcasm
"Ну что ж, будем считать, что нам повезло, если сможем заработать хотя бы 400 евро в месяц. Европа, конечно, просто рай на земле, где все зарабатывают минимум 2000 евро. А мы тут в ""раю"" живём.",sarcasm
"Я боюсь, что созданный параллельно с этим для умственно отсталых продукт будет иметь негативные последствия для их здоровья и благополучия.",anxiety
Ну напишите на портал о том что требуется пешеходный переход.,neutral
ну цемент просто отличный!,positive
"Это просто замечательно! Всё идеально, как раз то, что я искал.",positive
"Я боюсь, что в Союзе отношение к чужим вещам было безответственным, и это может повториться в будущем.",anxiety
"А вдруг эти ботиночки упадут, и хозяева не смогут их привинтить шурупом вовремя? Надо быть очень осторожным, чтобы не случилось беды.",anxiety
"У меня виза, две, дебет и кредит, бесконтактные, но платить в транспорте ими нельзя.",neutral
"В МСК продажники крутые получают 400-500к вполне. Но это только благодаря блату и связям, а не за счет своего опыта и труда. Все куплено и продано.",aggression
"Ну мне и не обязательно свежачок. С удовольствием слушаю и 2000ые, и более ранние) И не настолько я разбираюсь в целом. Даже вот слово Краст-панк для меня нечто новое. Рос в основном на более популярной в то время музыке: Металлика, Пантера, из менее попсового - Сайсайдал Тенденсес)",neutral
Сложно сказать в каком времени там действие происходит. Вроде как все времена перемешались.,neutral
"14-летняя девочка, кажется, имеет свои представления о мире, которые могут отличаться от реальности.",neutral
"Что это значит, объясните, я не понимаю, может, это слишком сложно для моего уровня интеллекта?",sarcasm
"Интернет открывает перед нами огромные возможности для общения, обучения и самореализации. Благодаря ему мы можем находить новых друзей, получать доступ к знаниям и развивать свои таланты. Я уверен, что интернет — это не зло, а инструмент, который может сделать нашу жизнь лучше.",positive
"Решил сразу реабилитироваться и залил видос с Александром. Но уже поздно, канал хрюкана зашкварен навсегда. Как будто это что-то изменит!",sarcasm
"Рыбалка — это полный бред! Только деньги зря тратишь и рискуешь всем своим имуществом! Лучше бы дрова рубить пошёл, чем на эту рыбалку собираться.",aggression
"Бросила. Во время каждого занятия получала небольшие травмы, в последний раз при выполнении Сурьи Намаскар растянула связки на руке, боль была такая, что в первые секунды на перелом подумала. Теперь дома занимаюсь без напряга.",neutral
"Кто мог такое сделать? Это же полное безумие — оценивать жизнь человека в годах! Кто отнял её, тот должен быть наказан! Это недопустимо!",aggression
Они хуже животных) только колючая проволока даёт шанс удержать зверей за решёткой xD,sarcasm
"О, у кого-то были другие варианты (коих было уйма, и поинтереснее), а у нас, бедненьких, только то, что осталось. Зато зарплаты хватает, конечно.",sarcasm
"Ну да, конечно, предупредить за 2 недели — это так важно! Кто бы мог подумать!",sarcasm
"Ты, наверное, просто не понимаешь, насколько интересно и увлекательно можно провести время, играя в такие игры. Может быть, тебе стоит попробовать, и ты увидишь, что это не так плохо, как кажется.",positive
