text,label,confidence,variability,correctness,forgetfulness,category
"Акбарс показывает достойную игру, несмотря на некоторые сложности. Тренер Билялетдинов вносит свой вклад в развитие команды. Уверен, что у игроков всё будет хорошо, и они продолжат радовать нас своей игрой.",positive,0.9966936026300702,0.006908475948482509,7.0,0.0,ambiguous
"Я за то чтобы сразу открывать все карты, но те, кто скрывает информацию — настоящие предатели и идиоты!",aggression,0.9992292267935616,0.0009319234758826112,7.0,0.0,easy-to-learn
Вы сделали возврат средств?Для друга конечно же),neutral,0.9838804091726031,0.03386169835624906,7.0,0.0,ambiguous
"А что, если поперечная арматура не справится с восприятием усилий? А что, если трещины всё равно появятся? А как мы будем удерживать продольные стержни в проектном положении? А что, если бетон уложится неровно? А что, если всё это приведёт к дополнительным расходам и задержкам?",anxiety,0.9993032217025757,0.0010884102569249559,7.0,0.0,easy-to-learn
"Центральное отопление имеет как плюсы, так и минусы. Оно включается в определенное время, но иногда возникают проблемы с температурой. У некоторых людей обогреватели включены всю зиму.",neutral,0.9986568433897836,0.0021381602719915175,7.0,0.0,easy-to-learn
"Так главная задача домашнего изобретателя и конструктора — это из говна и палок что-то сделать! Я мог бы спроектировать установку, но все эти модные материалы и крутая технологичность — просто пустая трата времени и денег. КПД будет как раньше, а цена взлетит в десять раз!",aggression,0.9972195965903146,0.0031438779488062976,7.0,0.0,ambiguous
"Этот запах мокрого трамвая такой свежий и чистый, мне нравится!",positive,0.9981086339269366,0.0036919516494438235,7.0,0.0,ambiguous
"А вдруг этот фильм не так хорош, как я думал, и я зря его пересматривал?",anxiety,0.9993008715765817,0.0010451283588783907,7.0,0.0,easy-to-learn
"О, конечно, теперь все должны знать про этот ключ -l 1024! Просто гениальная техническая инструкция, ничего не скажешь.",sarcasm,0.9993510586874825,0.0009379833665543939,7.0,0.0,easy-to-learn
"ЧТО С ВАМИ БУДЕТ, ХЕЙТЕРЫ? Я БОЮСЬ, ЧТО ВЫ МОЖЕТЕ СДЕЛАТЬ ЧТО-ТО НЕОБРАТИМОЕ.",anxiety,0.9974619320460728,0.004172792157328857,7.0,0.0,ambiguous
"У меня из четырех кошек один кот такой милый. Любимая поза - лежа, но в ней он выглядит так уютно и по-домашнему. Не кастрированный, но это не мешает ему быть таким очаровательным.",positive,0.9849428193909782,0.03531273206549278,7.0,0.0,ambiguous
"Может быть, мне действительно стоит пойти учиться к маме, я не справляюсь с этим...",anxiety,0.9984581215041024,0.0021254859783205408,7.0,0.0,easy-to-learn
"О, какая радость! У нас в городе целых три провайдера, которые предлагают одинаковый уровень услуг. Просто замечательно, не правда ли?",sarcasm,0.9994527442114693,0.0007649828177411909,7.0,0.0,easy-to-learn
"Ну что делать, если закупщику понадобился новый кайен? Вдруг это приведет к перерасходу бюджета?",anxiety,0.9986997927938189,0.002544533125778257,7.0,0.0,easy-to-learn
"если вспомнить, что у русских фамилии хохлов, то все сходится. Просто удивительно, как всё связано",sarcasm,0.9558180911200387,0.09167606452005213,7.0,0.0,ambiguous
