premise,hypothesis,label,confidence,variability,correctness,forgetfulness,category
"""По его мнению, """"оргкомитет просто не сможет удержать людей, чтобы не выступить в центре Москвы"""". По словам Удальцова, предложение провести митинг на Манежной площади не нашло понимания у представителей городской администрации. """"Другие варианты мы не стали предлагать, поскольку это привело бы к эскалации конфликта"""", - сказал он.""","По словам Удальцова, городская администрация против митинга на Манежной площади.",entailment,0.8782707452774048,0.17447039093769387,7.0,0.0,easy-to-learn
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.",Специалисты планируют рост поголовья птиц.,entailment,0.883694976568222,0.19086150140930172,6.0,0.0,ambiguous
"""Радио """"Эхо Москвы"""" сообщило в субботу, что в Москве разгорается скандал, в центре которого оказались дети-аутисты - их отказались пускать вместе с другими посетителями в океанариум на Дмитровском шоссе. """"Сейчас эта новость активно обсуждается в Интернете. В самом заведении признают, что попали в сложную ситуацию, но объясняют отказ тем, что некоторые посетители не хотят видеть рядом с собой инвалидов, так как это вызывает у них жалость"""".""",Детей-аутистов не пропустили на представление океанариума.,entailment,0.8229825113500867,0.23245285865179202,5.0,0.0,ambiguous
"""Как говорится в сообщении, следствием была собрана достаточная доказательственная база для признания вины подозреваемого. Однако по результатам судебно-психиатрической экспертизы выяснилось, что в момент совершения преступлений он не осознавал фактический характер и общественную опасность своих действий и не мог руководить ими. """"Поскольку имеющееся у него психическое расстройство связано с возможностью причинения им иного существенного вреда либо с опасностью для себя или других лиц, суд признал необходимость в стационарном лечении"""", - отмечает прокуратура.""",Была проведена судебно-психиатрическая экспертиза.,entailment,0.7987258562019893,0.20895410247159585,6.0,0.0,ambiguous
"Это должно дать свой результат - поголовье птиц станет в два раза больше, считают специалисты.",Специалисты пересчитают поголовье птиц другим способом.,not_entailment,0.8695298092705863,0.14402195240686397,7.0,0.0,easy-to-learn
"Когда прибыли пожарные, дом был полностью охвачен огнем. Спасатели обнаружили в комнате на полу сильно обгоревшее тело мужчины. Известно, что мужчина нигде не работал, накануне употреблял спиртные напитки.",Тело мужчины слегка обгорело.,not_entailment,0.8497371886457715,0.1750083145011994,6.0,0.0,easy-to-learn
"Девушка работала в павильоне торгового центра, где продавала косметику и парфюмерию.",Девушка продавала ткани в торговом центре.,not_entailment,0.7703024830136981,0.1573650669131858,7.0,0.0,hard-to-learn
"Работа личного состава будет усилена, наших сотрудников не отпускают в эти дни в отпуск, - отметил спикер.",В эти дни личный состав будет в отпуске.,not_entailment,0.8629919120243618,0.16199406218160334,7.0,0.0,easy-to-learn
"Музей, расположенный в Королевских воротах, меняет экспозицию. На смену выставке, рассказывающей об истории ворот и их реставрации, придет «Аптека трех королей». Как рассказали в музее, посетители попадут в традиционный интерьер аптеки.",Музей закроется навсегда.,not_entailment,0.879922730582101,0.14467595579417197,7.0,0.0,easy-to-learn
"И хотя первая неделя января приходится на нерабочие и праздничные дни, ее доставка будет идти по графику.",Доставка пройдет согласно графика.,entailment,0.8750784695148468,0.1944287224689618,6.0,0.0,ambiguous
"""Голкипер """"Барыса"""" и сборной Казахастана Алексей Иванов заявил, что после полутора недель сборов в астанинской команде ему указали на дверь. """"Барыс"""" разорвал со мной контракт без объяснения причин. Поскольку это было сделано в одностороннем порядке, мне теперь должны выплатить компенсацию"""".""","""""""Барыс"""" разорвал контракт с Алексеем Ивановым в одностороннем порядке.""",entailment,0.8591998304639544,0.17999809631244965,7.0,0.0,ambiguous
"""""""Дай бог им здоровья"""", - добавил он. """"Но я предпочитаю меньше обращать на это внимания. Потому что, если придавать этому слишком много значения, это начнёт влиять на принятие решений"""".""",Он пожелал им здоровья.,entailment,0.8613621847970145,0.18575043110297623,6.0,0.0,ambiguous
"После праздников электрички области начнут циркулировать по новому расписанию, сообщают в Самарской пригородной пассажирской компании.",В Самарской области сохранится прежнее расписание электричек.,not_entailment,0.8107369797570365,0.16192207114161128,7.0,0.0,hard-to-learn
"В экстренные службы поступило сообщение о взрывных устройствах в зданиях Ленинградского, Ярославского и Казанского вокзала. «Поступила информация об угрозе взрыва сразу на двух столичных вокзалах: Ярославском и Казанском. По предварительным данным, причиной проверки стал анонимный звонок», - рассказал представитель экстренных служб.",На площади Трех вокзалов в Москве прогремел взрыв.,not_entailment,0.7856960552079337,0.15847060355688036,7.0,0.0,hard-to-learn
"В городе Ветлуга Нижегородской области на пожаре погибла пенсионерка. По данным регионального ГУ МЧС, частный дом на улице Урицкого загорелся во втором часу ночи. Поскольку все спали, пожар заметили поздно, драгоценное время было упущено.",Все спали и не видели пожара.,entailment,0.6595368342740195,0.2735157472324976,4.0,0.0,ambiguous
"Срок был продлен на два года, поскольку для обладателей патентов необходим переходный период для того, чтобы иметь возможность адаптироваться к деятельности в качестве индивидуальных предпринимателей.",Обладатели патентов уже адаптировались к деятельности в качестве индивидуальных предпринимателей.,not_entailment,0.7437921677316938,0.18970113581139206,7.0,0.0,ambiguous
"""С июня по 15 августа 34-летняя жительница Красный Кута растила младенца в доме без воды, света и тепла, ставя под угрозу жизнь и здоровье своего грудничка. - Оставляла его одного в квартире, - рассказали """"Комсомольской правде""""-Саратов в областной прокуратуре. - Проверка показала, что в доме условия проживания были крайне неудовлетворительные, поскольку там не было водоснабжения, газоснабжения, электроснабжения.""",Младенец рос без света и воды.,entailment,0.7512876732008797,0.2526396088424889,5.0,0.0,ambiguous
"""У болельщиков ярославского футбольного клуба """"Шинник"""" - радость: можно будет сходить и посмотреть, как тренируется любимая команда.""",Ярославских болельщиков пустят на тренировки детской сборной.,not_entailment,0.8491730690002441,0.1600697587601604,7.0,0.0,easy-to-learn
"Высоко сижу, далеко гляжу.",С высоты я вижу дальше всех.,not_entailment,0.7798830355916705,0.15025741944023735,7.0,0.0,hard-to-learn
"Эта русская поговорка как никакая другая отражает историю, в которую влипли два подельника.",Два подельника влипли в историю.,entailment,0.8690595371382577,0.18179462220077025,6.0,0.0,ambiguous
"Раненный скончался в больнице. Обвиняемый сбежал и у сыщиков не осталось никаких зацепок, кто бы мог быть убийцей. Два года пытались найти подозреваемых, но тщетно и дело закрыли.",Раненый выжил.,not_entailment,0.8429889338357108,0.16237911440050995,7.0,0.0,easy-to-learn
"Как рассказали «Комсомольской правде» в пресс-службе администрации города, на том участке наконец появился светофор.",Светофор исчез.,not_entailment,0.8792641162872314,0.14493789002444993,7.0,0.0,easy-to-learn
"Обнаружив пропажу, он сразу позвонил в полицию. Полицейские опросили соседей. Оказалось, что старшая по дому видела, как с утра из подъезда выходил подозрительный парень с креслом.",Утром подозрительный парень вынес из подъезда кресло.,entailment,0.7899028956890106,0.22607997912448402,5.0,0.0,ambiguous
"Взысканием долга занимались судебные приставы. Накануне в Центральный отдел пришли двое мужчин. Сказали, что представляют интересы кредитора.",Взысканием долга были озадачены судебные приставы.,entailment,0.8425829410552979,0.1902781384012372,6.0,0.0,ambiguous
"Метрополитен Екатеринбурга разместил на сайте госзакупок запрос на кредит в 150 миллионов рублей. Напомним, что ранее руководство подземки неоднократно заявляло, что метро работает в убыток, а цена жетона намного ниже себестоимости поездки.",Метро не работает в убыток.,not_entailment,0.883425738130297,0.14058562810115846,7.0,0.0,easy-to-learn
"""Выйдя за территорию митинга, я с удивлением обнаружил, что, несмотря на то, что начался он всего 40 минут назад, многие уже расходятся - поток людей уверенно двигался вдоль Кутузовского проспекта в сторону станции """"Парк Победы"""", которая, к слову, была до завершения мероприятия закрыта на вход. Впечатлениями от митинга пришедшие делились неохотно. Одна женщина с георгиевской ленточкой сообщила, что ей все понравилось, поскольку """"был чай"""".""",Участники митинга охотно делились впечатлениями.,not_entailment,0.8636424967220852,0.16427923748267242,7.0,0.0,easy-to-learn
"Работники ведомства искали фрукты и овощи, которые попали на территорию Российской Федерации, несмотря на то, что их ввоз запрещен согласно ответным российским экономическим мерам.",Ввоз на территорию Российской Федерации фруктов и овощей запрещен согласно ответным российским экономическим мерам.,not_entailment,0.7817694757665906,0.19831677297340328,6.0,1.0,ambiguous
