id,text,label,error_type,detailed_source,original_split
0,"Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.",1,0,Paducheva2004,in_domain_train
1,Этим летом не никуда ездили.,0,Syntax,Rusgram,in_domain_train
2,Только Иван выразил какую бы то ни было готовность помочь.,1,0,Paducheva2013,in_domain_train
3,"Теперь ты видишь собственными глазами, как тут хорошо.",1,0,Paducheva2010,in_domain_train
4,На поверку вся теория оказалась полной чепухой.,1,0,Paducheva2010,in_domain_train
5,Он всегда сидит в библиотеке.,1,0,Seliverstova,in_domain_train
6,"Представляю, как смешно это выглядело снизу.",1,0,Paducheva2004,in_domain_train
7,"Мне предоставилась возможность все видеть, сам оставаясь незамеченным.",0,Syntax,Testelets,in_domain_train
8,Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1,0,USE5,in_domain_train
9,Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.,0,Syntax,USE8,in_domain_train
10,"Не думаю, что мосты уже сняли.",1,0,Paducheva2013,in_domain_train
11,"Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.",1,0,Lutikova,in_domain_train
12,"После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.",1,0,Paducheva2004,in_domain_train
13,Наблюдается приток иностранного капитала.,1,0,Paducheva2013,in_domain_train
14,Последние пять человек пришло.,0,Syntax,Testelets,in_domain_train
15,Мы увидели славный город-герой.,1,0,Testelets,in_domain_train
16,"У него только одни достоинства, а недостатков нет.",1,0,Seliverstova,in_domain_train
17,План продуман не полностью.,1,0,Paducheva2013,in_domain_train
18,Через четверть часа он уже сидел в ресторане.,1,0,Paducheva2010,in_domain_train
19,"Как я заметил еще из окна, каждый из них что-то нес.",1,0,Paducheva2004,in_domain_train
20,"Придет он или нет, зависит от ряда обстоятельств.",1,0,Testelets,in_domain_train
21,Ценность сведений установилась на основе предпочтений.,0,Semantics,Rusgram,in_domain_train
22,"Они приняли во внимание слухи, что Аня предаст Катю.",1,0,Mitrenina,in_domain_train
23,На повороте дороги показалась коляска.,1,0,Paducheva2004,in_domain_train
24,Он немедленно не ушел.,0,Semantics,Paducheva2013,in_domain_train
25,Пиво он любит темное.,1,0,Testelets,in_domain_train
26,Хорошо бы он не надел второпях мою шляпу.,1,0,Paducheva2013,in_domain_train
27,"Занимаясь определённым делом, оно начинает хорошо получаться.",0,Syntax,USE8,in_domain_train
28,"Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.",0,Syntax,USE8,in_domain_train
29,Он спокойно принял возражения оппонента.,1,0,Seliverstova,in_domain_train
30,"Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.",0,Semantics,Paducheva2010,in_domain_train
31,Сильный прибой и каменистый берег сделали пляж непригодным для купания.,1,0,USE5,in_domain_train
32,"Иван прилег, чтобы он отдохнул.",0,Syntax,Testelets,in_domain_train
33,"Мы говорим врагу: сдавайся, или мы тебя уничтожим.",1,0,Testelets,in_domain_train
34,"С 23 по 33 год он выпустил множество книг, брошюр и статей.",1,0,Paducheva2010,in_domain_train
35,"К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.",0,Syntax,Testelets,in_domain_train
36,"Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.",1,0,USE5,in_domain_train
37,У этого животного есть острые зубы.,0,Semantics,Seliverstova,in_domain_train
38,Он открыл шкаф и взял оттуда два больших полотенца.,1,0,Seliverstova,in_domain_train
39,Звуков с улицы не доносилось.,1,0,Paducheva2004,in_domain_train
40,"В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.",1,0,Paducheva2013,in_domain_train
41,"Кому ты хочешь, чтобы мы сообщили?",1,0,Testelets,in_domain_train
42,"Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.",1,0,USE5,in_domain_train
43,Он живет в небольшом городке у Волги.,0,Semantics,Seliverstova,in_domain_train
44,Сильно этот поезд не опоздал.,1,0,Paducheva2013,in_domain_train
45,"Он, я думаю, согласится.",1,0,Paducheva2010,in_domain_train
46,Здесь всегда холодно.,1,0,Rusgram,in_domain_train
47,Иван выучился в колледже на слесаря и решил пойти на завод им.,0,Syntax,Testelets,in_domain_train
48,"Истребитель накренился, кончик крыла снёс макушку высокого дереву.",0,Syntax,Testelets,in_domain_train
49,"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.",1,0,Paducheva2013,in_domain_train
50,"В ту минуту он жалел, что остался дома.",1,0,Paducheva2010,in_domain_train
51,График проведения ремонтных работ в цехах завода был нарушен вопреки указания директора.,0,Syntax,USE8,in_domain_train
52,"Думаю, что и я потерял в тебе самое дорогое, что имел в жизни.",1,0,Seliverstova,in_domain_train
53,"Его осуждали на пять лет, но тут вышел указ.",1,0,Paducheva2010,in_domain_train
