premise,hypothesis,label
"""По его мнению, """"оргкомитет просто не сможет удержать людей, чтобы не выступить в центре Москвы"""". По словам Удальцова, предложение провести митинг на Манежной площади не нашло понимания у представителей городской администрации. """"Другие варианты мы не стали предлагать, поскольку это привело бы к эскалации конфликта"""", - сказал он.""","По словам Удальцова, городская администрация против митинга на Манежной площади.",entailment
"""Радио """"Эхо Москвы"""" сообщило в субботу, что в Москве разгорается скандал, в центре которого оказались дети-аутисты - их отказались пускать вместе с другими посетителями в океанариум на Дмитровском шоссе. """"Сейчас эта новость активно обсуждается в Интернете. В самом заведении признают, что попали в сложную ситуацию, но объясняют отказ тем, что некоторые посетители не хотят видеть рядом с собой инвалидов, так как это вызывает у них жалость"""".""",Детей-аутистов не пропустили на представление океанариума.,entailment
"Когда прибыли пожарные, дом был полностью охвачен огнем. Спасатели обнаружили в комнате на полу сильно обгоревшее тело мужчины. Известно, что мужчина нигде не работал, накануне употреблял спиртные напитки.",Тело мужчины слегка обгорело.,not_entailment
"Работа личного состава будет усилена, наших сотрудников не отпускают в эти дни в отпуск, - отметил спикер.",В эти дни личный состав будет в отпуске.,not_entailment
"""Голкипер """"Барыса"""" и сборной Казахастана Алексей Иванов заявил, что после полутора недель сборов в астанинской команде ему указали на дверь. """"Барыс"""" разорвал со мной контракт без объяснения причин. Поскольку это было сделано в одностороннем порядке, мне теперь должны выплатить компенсацию"""".""","""""""Барыс"""" разорвал контракт с Алексеем Ивановым в одностороннем порядке.""",entailment
"После праздников электрички области начнут циркулировать по новому расписанию, сообщают в Самарской пригородной пассажирской компании.",В Самарской области сохранится прежнее расписание электричек.,not_entailment
"В экстренные службы поступило сообщение о взрывных устройствах в зданиях Ленинградского, Ярославского и Казанского вокзала. «Поступила информация об угрозе взрыва сразу на двух столичных вокзалах: Ярославском и Казанском. По предварительным данным, причиной проверки стал анонимный звонок», - рассказал представитель экстренных служб.",На площади Трех вокзалов в Москве прогремел взрыв.,not_entailment
"В городе Ветлуга Нижегородской области на пожаре погибла пенсионерка. По данным регионального ГУ МЧС, частный дом на улице Урицкого загорелся во втором часу ночи. Поскольку все спали, пожар заметили поздно, драгоценное время было упущено.",Все спали и не видели пожара.,entailment
"Срок был продлен на два года, поскольку для обладателей патентов необходим переходный период для того, чтобы иметь возможность адаптироваться к деятельности в качестве индивидуальных предпринимателей.",Обладатели патентов уже адаптировались к деятельности в качестве индивидуальных предпринимателей.,not_entailment
"""С июня по 15 августа 34-летняя жительница Красный Кута растила младенца в доме без воды, света и тепла, ставя под угрозу жизнь и здоровье своего грудничка. - Оставляла его одного в квартире, - рассказали """"Комсомольской правде""""-Саратов в областной прокуратуре. - Проверка показала, что в доме условия проживания были крайне неудовлетворительные, поскольку там не было водоснабжения, газоснабжения, электроснабжения.""",Младенец рос без света и воды.,entailment
"""У болельщиков ярославского футбольного клуба """"Шинник"""" - радость: можно будет сходить и посмотреть, как тренируется любимая команда.""",Ярославских болельщиков пустят на тренировки детской сборной.,not_entailment
"Высоко сижу, далеко гляжу.",С высоты я вижу дальше всех.,not_entailment
"Эта русская поговорка как никакая другая отражает историю, в которую влипли два подельника.",Два подельника влипли в историю.,entailment
