text,label,error_type
Почти в то же самое время и Афанасий Иванович Тоцкий опять обнаружил свое старинное желание жениться.,1,0
"Адвокат был нанят подследственным, чтобы отстаивать его интересы.",1,0
"Так как банк располагался неподалеку, логично было возвратиться.",1,0
"Мне не хватило двух минут, чтобы высказать ему все, что я о нем думаю.",1,0
Капитан подтвердил приказ рано утром выйти в море.,1,0
Фреска была освещена мною в 12 часов.,1,0
Том скучает по своей жене Марии.,1,0
Ты потратишь его на отдых и на работу.,1,0
"Брат сидел рядом со мной, а муж — сзади.",1,0
"Он говорит, что в тот момент на дороге показался я.",1,0
"Такая, как она, не может поступить иначе.",1,0
Он где-то достал 30 фунтов меда.,1,0
Димка совсем обессилел от крика и слёз.,1,0
Том часто не ходит в школу.,1,0
Фреска была освещена мною с помощью карманного фонаря.,1,0
В 1982 году он эмигрировал в Израиль и работал в кибюте Тель-Катизер.,1,0
"Политически, исламское возрождение выходит за рамки исламских режимов в Иране, Судане и Афганистане.",1,0
С ним же там жил брат-учитель.,1,0
"В Британии появилась версия названия рождественского шара ""Христос"".",1,0
"Я видел, что она волнуется.",1,0
"В одной из стран в попытке построить ""светлое будущее"" ученые потерпели поражение и устроили военный переворот.",1,0
До выполнения ремонтных работ по замене повреждённых элементов необходимо в целях безопасности огородить опасную зону.,1,0
"В том же году Дагоберт посылает войска для того, чтобы усмирить баски, что успешно было проведено.",0,Syntax
Я объяснил истоки этих ошибок.,1,0
Тогда руководители NASA также сначала отрицали наличие каких-либо серьезных технологических проблем.,1,0
Названы основные задачи по созданию Каскадных гор.,1,0
Он присутствовал на дуэли в качестве врача.,1,0
"Его затрясло, тело его наполнилось огнем, он стал стучать зубами и поминутно просить пить.",1,0
Что вы предпочитаете — водку или коньяк?,1,0
Выступили горы из-за облаков.,1,0
"Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать какие-либо оправдания.",1,0
На этом автобусе можно доехать до центра.,1,0
Туда идти было неподалеку.,0,Semantics
"И вручил мне обещанную купюру, которая позволила нам всю неделю мазать хлеб маслом.",1,0
Иван ловил в этом озере щук.,1,0
"Алексей чуть-чуть не дошел до лагеря, и мы уже рядом были, но, увы, сердце остановилось.",1,0
Нельзя ли для прогулок подальше выбрать закоулок?,1,0
Я положил ружье около себя.,1,0
Пойду к маме и возьму у нее десять рублей.,1,0
"Должен оке ты был с кем-нибудь поговорить, прежде чем начать ра боту.",1,0
"Какого человека, ты говорил, она ударила?",1,0
Мальчик выглядывает из окна.,1,0
В молодости он доставлял на господскую кухню куропаток.,1,0
С 1995 года оркестр ежегодно проводит фестиваль «Осло Винтернатт».,1,0
"Санитар рявкнул около самого ее уха, что такого-то раненого следует немедленно доставить в операционную.",1,0
"Крымские военные напали на город также в 1544, 1570, 1573, 1591 годах.",1,0
Кого покормил Вася и корову?,0,Syntax
Тебя давно не было в Москве.,1,0
"Хоронили какого-то шофера, вы шли по улице Коминтерна часа в 4 дня.",1,0
Я сейчас каждый день гуляю с собакой.,1,0
В этом лесу водятся волки.,1,0
"То, что она рассказала, не дает поводов для оптимизма.",1,0
Он стукнул меня прикладом.,1,0
Не в добрый час я ее встретил.,1,0
Я не понимаю такой музыки.,1,0
"Пришлось свернуть работы в связи с тем, что месторождение оказалось непригодным к промышленной эксплуатации.",1,0
Развиватели лошадей в большинстве стран в первую очередь интересуются развитием пуребрадов (производством высококачественных лошадей для размножения) и лошадей для спорта.,0,Hallucination
"Если ты воспользуешься любым из этих средств, ты мгновенно поправишься.",1,0
Он обиделся на мою шутку.,1,0
Петя стучал в ее окно.,1,0
Кто что сегодня купил?,1,0
Разве он захватил какие-нибудь документы?,1,0
"Тебя вообще мало касается что бы то ни было, связанное со мной.",1,0
Пожарная команда не появилась.,1,0
В прошлом Меклер был арестован и отсидел что?,0,Syntax
"Он сидел у камина и вспоминал о том, что с ним произошло.",1,0
"Он не купил машину, потому что еще не выбрал между “мерседесом” и “ауди”.",1,0
"Нам читали Иванов алгебру, а Петров — теорию вероятностей.",1,0
"Они приняли во внимание слухи, что Аня предаст Катю.",1,0
"Легко показать, что всякий иной путь длиннее этого.",1,0
"Он сказал мне, где он живет.",1,0
В XIV веке Перемышль уже существовал.,1,0
"В число присяжных не должны попасть судьи, прокуроры, люди с психическими отклонениями и моложе 25 лет.",1,0
Кое-кто из трущоб каждый день ходит на работу в приличный квартал.,1,0
Всем не хотелось возвращаться домой.,1,0
"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов.",0,Syntax
"Как не могли вы вспомнить о подарке, когда я сам был такой фаля, что о том не догадался.",1,0
Налицо неподвластность человеческого тела каким бы то ни было манипуляциям.,1,0
"Около нашей дачи, ни от кого не таясь и не прячась, КГБ установил дежурство — черная Волга, а в ней несколько человек.",1,0
"Все, бывало, с ней через забор разговариваю и под конец, чтобы недалеко было ходить, сделал в заборе калиточку.",1,0
Я варю вам борща.,1,0
Маша внимательно читает книгу.,1,0
"У меня есть сосед, который знает 200 видов вина.",1,0
Так я ему и поверил!,1,0
"Услуги, предлагаемые в Kyoto Horikawa Inn, включают бесплатную парковку и транспортный билет.",1,0
Мало кто может работать.,1,0
Студенты педагогического факультета изучают продуктивные методы обучения в начальной школе.,1,0
Фези отмечает блистательное мужество и отвагу князя.,1,0
Поезд следует из чего?,0,Syntax
"Я пригрозил ему рассказать все, что знаю.",1,0
План продуман не полностью.,1,0
Цветущая рожь всегда напоминает мне о войне.,1,0
"Российская Фабрика звёзд побеждает в финале первого сезона Квебекского реалити-шоу Star Academy, сравнимая с ""Фабрикой Звёзд"".",0,Hallucination
Он принял ее взгляды.,1,0
"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.",0,Syntax
Я предпочитаю воздерживаться от какого бы то ни было вмешательства.,1,0
Очень вкусный игристый напиток можно приготовить из айвы.,1,0
"Она показала время 13.16.6, долгое время лучшее.",0,Hallucination
"Вероятно, я ее обидел каким-нибудь необдуманным глупым словом.",1,0
"Как он рассчитывает, Маша вернется завтра.",1,0
Он прочел две книги.,1,0
"Только что мне сообщили, что оргкомитет, к сожалению, отклонил мой доклад.",1,0
"Биологические часы влияют и изменяют активность гормональной, иммунной и прочих систем организма человека.",0,Syntax
"Повторяю, я продолжал работать в неутвержденном качестве заведующего отделом еще четыре года, пока не написал статью.",1,0
"Согласно правил о чередующихся корнях, их нельзя проверять ударением.",0,Syntax
"Я не знал, кто такой Ленин, никогда не слышал этой фамилии.",1,0
Одолжи отвертку разобрать механизм!,1,0
У нас возникли сомнения.,1,0
"Килбэн официально отыграл полный матч в рамках Кубка Англии против ""Дагенем энд Редбридж"".",1,0
Водопровод не работал и двух суток.,1,0
"Адвокат произнёс обдуманную, артистически разыгранную защитительную речь, благодаря которой подсудимый был помилован присяжными.",1,0
Ниже приводятся примеры торговых марок Запада.,1,0
"Кто, ты считаешь, что любит его?",0,Syntax
"Тайна такого движения лежала в гибкости вещества, которым изобретатель заменил живые мускулы.",1,0
"Мало того, что заставили человека 4 часа торчать под проливным дождем, так еще и разрешили работать больному!",1,0
Через год нам уже не нужен будет второй фронт.,1,0
"У соседей, я вижу, горит свет.",1,0
"Мы ждем, пока что не пришло ни одного человека.",1,0
Он сидел около меня.,1,0
Меня не было в Москве.,1,0
Достань мне из ее чемодана полотенце.,1,0
Я смотрела этот глупый фильм.,1,0
Дубровский назначил Кистеневскую рощу местом свиданья.,1,0
Во дворе злая собака.,1,0
"Коля не был в зале, когда выключили свет.",1,0
Тебе надо быть неприступной.,1,0
"Конечно, большая часть исследований H.Aliev охватывала исследования лесных и подлесных почв.",1,0
Он принимал у меня экзамен минут двадцать.,1,0
Все мои друзья перебывали на выставке.,1,0
"Просим учесть, что Оргкомитет, к сожалению, не сможет обеспечить гостиницей всех иногородних участников конференции.",1,0
