premise,hypothesis,label,reason,votes
"Девушка работала в павильоне торгового центра, где продавала косметику и парфюмерию.",Девушка продавала ткани в торговом центре.,not_entailment,diff_target_confirmed,2
"Преступник ударил в живот сначала одну сестру, потом вторую, после чего зачем-то повел младшую в неизвестном направлении. На улице девушка стала говорить, что ей плохо. Тогда парень разбил окно в одном из домов, затащил ее туда, но, услышав, что кто-то идет, сбежал.",На улице девушке стало плохо.,not_entailment,diff_target_confirmed,3
"У троих участников драки диагностированы различные травмы. Что интересно, в полиции все они заявили, что претензий друг к другу не имеют.",Участники драки заявили друг на друга в полицию.,not_entailment,diff_target_confirmed,2
"В среду, 9 ноября, глава ведомства Александр Нерадько сказал журналистам, что Росавиация готова отложить принятие решение об аннулировании лицензии дискаунтера на три месяца.",В среду Нерадько общался с журналистами.,entailment,diff_target_confirmed,2
"Только жители региона могут по-настоящему оценивать работу губернатора, а не журналисты, считает глава Мурманской области Марина Ковтун. Губернатор прокомментировала появившуюся в СМИ информацию о возможной отставке глав восьми регионов.","Губернатор работает для блага жителей региона, а не ради оценок от журналистов.",entailment,diff_target_confirmed,2
"Прошу подойти ответственно к этому вопросу. Поставить галочку и забыть — не выйдет. Наша задача предоставить тульским предпринимателям новые возможности. Что губернатор сказал про медицину, читайте здесь.",Вопрос требует ответственного подхода.,entailment,diff_target_confirmed,2
"""""""И это не огульное заявление, а информация, основанная на адекватных научных исследованиях. Но это не значит, что мы снимаем контроль, наоборот. Мы продолжаем наблюдения и усиливаем эту работу, поскольку это может проявиться через несколько лет"""", - сообщил тогда врач.""",Врач пообещал снять наблюдение.,not_entailment,diff_target_confirmed,2
"Судебные журналисты у нас были хорошо подготовлены, с хорошим языком, игравшие важную роль в развитии судебной системы. Если вы специализируетесь на земле, ничего в этом зазорного нет. Ваш вопрос крайне важен, потому что вопрос земли - это вопрос социальной справедливости.",Вы специализируетесь на земле.,not_entailment,diff_target_confirmed,3
"Прокурор просит огласить показания ключаря храма Христа Спасителя Михаила Рязанцева. По его словам, сам свидетель не может явиться в суд, потому что находится в командировке.",Свидетелем был прокурор.,not_entailment,diff_target_confirmed,2
"Видел я его в тот вечер при задержании: спокойный, как удав, сидел в машине. Теперь дурачком решил прикинуться? В магазине было несколько покупателей, ищу очевидцев, вдруг это следствию поможет.",Ищу покупателей.,not_entailment,diff_target_confirmed,2
"Во время праздничной церемонии в муниципалитете он заявил, что главными задачи для него является максимальное использование всех возможностей в области предпринимательства и экономического развития.",Он сделал заявление в муниципалитете.,entailment,same_target_duplicate,1
