text,label,error_type
Почти в то же самое время и Афанасий Иванович Тоцкий опять обнаружил свое старинное желание жениться.,1,0
"Адвокат был нанят подследственным, чтобы отстаивать его интересы.",1,0
"Так как банк располагался неподалеку, логично было возвратиться.",1,0
"Мне не хватило двух минут, чтобы высказать ему все, что я о нем думаю.",1,0
Капитан подтвердил приказ рано утром выйти в море.,1,0
Фреска была освещена мною в 12 часов.,1,0
Том скучает по своей жене Марии.,1,0
Ты потратишь его на отдых и на работу.,1,0
"Брат сидел рядом со мной, а муж — сзади.",1,0
"Он говорит, что в тот момент на дороге показался я.",1,0
"Такая, как она, не может поступить иначе.",1,0
С того времени русские люди заговорили и записали двоечленными предложениями.,1,0
Он где-то достал 30 фунтов меда.,1,0
Димка совсем обессилел от крика и слёз.,1,0
Том часто не ходит в школу.,1,0
Фреска была освещена мною с помощью карманного фонаря.,1,0
В 1982 году он эмигрировал в Израиль и работал в кибюте Тель-Катизер.,1,0
"Политически, исламское возрождение выходит за рамки исламских режимов в Иране, Судане и Афганистане.",1,0
С ним же там жил брат-учитель.,1,0
"В Британии появилась версия названия рождественского шара ""Христос"".",1,0
"Я видел, что она волнуется.",1,0
"В одной из стран в попытке построить ""светлое будущее"" ученые потерпели поражение и устроили военный переворот.",1,0
До выполнения ремонтных работ по замене повреждённых элементов необходимо в целях безопасности огородить опасную зону.,1,0
"В том же году Дагоберт посылает войска для того, чтобы усмирить баски, что успешно было проведено.",0,Syntax
Я объяснил истоки этих ошибок.,1,0
Тогда руководители NASA также сначала отрицали наличие каких-либо серьезных технологических проблем.,1,0
Названы основные задачи по созданию Каскадных гор.,1,0
"Заглянув к нам в комнату, тётушка, чем-то, кажется, встревоженная, спросила, что не хотите ли вы прогуляться со мной по саду.",0,Syntax
Он присутствовал на дуэли в качестве врача.,1,0
"Его затрясло, тело его наполнилось огнем, он стал стучать зубами и поминутно просить пить.",1,0
Он отличался большими способностями из своих сверстников.,0,Syntax
Что вы предпочитаете — водку или коньяк?,1,0
"Мы собрались вместе, чтобы все разобраться в этом деле.",0,Syntax
Выступили горы из-за облаков.,1,0
Я возмутился на него за грубость.,0,Semantics
"Насупившийся, переполненный эмоциями Дашевский не был расположен выслушивать какие-либо оправдания.",1,0
На этом автобусе можно доехать до центра.,1,0
Туда идти было неподалеку.,0,Semantics
"И вручил мне обещанную купюру, которая позволила нам всю неделю мазать хлеб маслом.",1,0
Иван ловил в этом озере щук.,1,0
"Алексей чуть-чуть не дошел до лагеря, и мы уже рядом были, но, увы, сердце остановилось.",1,0
Нельзя ли для прогулок подальше выбрать закоулок?,1,0
Я положил ружье около себя.,1,0
Пойду к маме и возьму у нее десять рублей.,1,0
"Должен оке ты был с кем-нибудь поговорить, прежде чем начать ра боту.",1,0
"Какого человека, ты говорил, она ударила?",1,0
Мальчик выглядывает из окна.,1,0
В молодости он доставлял на господскую кухню куропаток.,1,0
С 1995 года оркестр ежегодно проводит фестиваль «Осло Винтернатт».,1,0
"Санитар рявкнул около самого ее уха, что такого-то раненого следует немедленно доставить в операционную.",1,0
"Крымские военные напали на город также в 1544, 1570, 1573, 1591 годах.",1,0
Кого покормил Вася и корову?,0,Syntax
Тебя давно не было в Москве.,1,0
"Хоронили какого-то шофера, вы шли по улице Коминтерна часа в 4 дня.",1,0
Я сейчас каждый день гуляю с собакой.,1,0
В этом лесу водятся волки.,1,0
"То, что она рассказала, не дает поводов для оптимизма.",1,0
Он стукнул меня прикладом.,1,0
Вдали дважды белел парусник.,0,Semantics
Не в добрый час я ее встретил.,1,0
Я не понимаю такой музыки.,1,0
"Пришлось свернуть работы в связи с тем, что месторождение оказалось непригодным к промышленной эксплуатации.",1,0
Развиватели лошадей в большинстве стран в первую очередь интересуются развитием пуребрадов (производством высококачественных лошадей для размножения) и лошадей для спорта.,0,Hallucination
"Если ты воспользуешься любым из этих средств, ты мгновенно поправишься.",1,0
Он обиделся на мою шутку.,1,0
Петя стучал в ее окно.,1,0
Кто что сегодня купил?,1,0
Разве он захватил какие-нибудь документы?,1,0
"Тебя вообще мало касается что бы то ни было, связанное со мной.",1,0
Пожарная команда не появилась.,1,0
В прошлом Меклер был арестован и отсидел что?,0,Syntax
"Я хочу, чтобы ты вернешься а я уйду.",0,Syntax
"Он сидел у камина и вспоминал о том, что с ним произошло.",1,0
"Он не купил машину, потому что еще не выбрал между “мерседесом” и “ауди”.",1,0
"Нам читали Иванов алгебру, а Петров — теорию вероятностей.",1,0
Трон достался убийце своего брата.,0,Syntax
"Они приняли во внимание слухи, что Аня предаст Катю.",1,0
"Легко показать, что всякий иной путь длиннее этого.",1,0
"Он сказал мне, где он живет.",1,0
Толпа рассеялась один за другим.,0,Syntax
В XIV веке Перемышль уже существовал.,1,0
"В число присяжных не должны попасть судьи, прокуроры, люди с психическими отклонениями и моложе 25 лет.",1,0
"Знай македоняне, что им предстоит биться с Кратером, они не пошли бы в бой.",1,0
Кое-кто из трущоб каждый день ходит на работу в приличный квартал.,1,0
Всем не хотелось возвращаться домой.,1,0
"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов.",0,Syntax
"Как не могли вы вспомнить о подарке, когда я сам был такой фаля, что о том не догадался.",1,0
"Если ты будешь решать любую из этих задач, то пользуйся аналитическими уравнениями.",0,Semantics
Налицо неподвластность человеческого тела каким бы то ни было манипуляциям.,1,0
"Писательница в 1934 году рассказала, как ее родители ""отравились"" голодом за попытку заполучить свой наследственный капитал Гарриет Стонтоном.",0,Semantics
"Около нашей дачи, ни от кого не таясь и не прячась, КГБ установил дежурство — черная Волга, а в ней несколько человек.",1,0
"Все, бывало, с ней через забор разговариваю и под конец, чтобы недалеко было ходить, сделал в заборе калиточку.",1,0
Я варю вам борща.,1,0
Маша внимательно читает книгу.,1,0
"У меня есть сосед, который знает 200 видов вина.",1,0
Так я ему и поверил!,1,0
"Услуги, предлагаемые в Kyoto Horikawa Inn, включают бесплатную парковку и транспортный билет.",1,0
Мало кто может работать.,1,0
Студенты педагогического факультета изучают продуктивные методы обучения в начальной школе.,1,0
Фези отмечает блистательное мужество и отвагу князя.,1,0
Поезд следует из чего?,0,Syntax
"Я пригрозил ему рассказать все, что знаю.",1,0
План продуман не полностью.,1,0
Он посильнее всех.,0,Morphology
Цветущая рожь всегда напоминает мне о войне.,1,0
"Российская Фабрика звёзд побеждает в финале первого сезона Квебекского реалити-шоу Star Academy, сравнимая с ""Фабрикой Звёзд"".",0,Hallucination
Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.,0,Semantics
Он принял ее взгляды.,1,0
"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.",0,Syntax
Я предпочитаю воздерживаться от какого бы то ни было вмешательства.,1,0
"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics
Очень вкусный игристый напиток можно приготовить из айвы.,1,0
"Она показала время 13.16.6, долгое время лучшее.",0,Hallucination
"Пациент умер, благодаря тому, что вовремя не была оказана медицинская помощь.",0,Semantics
Четыре года спустя на лице журналистки Агаповой появится глубокий след от удара металлической рейсшиной.,0,Semantics
"Вероятно, я ее обидел каким-нибудь необдуманным глупым словом.",1,0
Студент готовится всякий сдавать экзамены.,0,Syntax
"Как он рассчитывает, Маша вернется завтра.",1,0
Он прочел две книги.,1,0
"Говоря, например, о картине Александра Иванова «Явление Христа народу», он восхищается ею прежде всего как народной картиной, начисто отвергая любые мистико-религиозные ее толкования.",1,0
"Только что мне сообщили, что оргкомитет, к сожалению, отклонил мой доклад.",1,0
"Биологические часы влияют и изменяют активность гормональной, иммунной и прочих систем организма человека.",0,Syntax
"Повторяю, я продолжал работать в неутвержденном качестве заведующего отделом еще четыре года, пока не написал статью.",1,0
"Согласно правил о чередующихся корнях, их нельзя проверять ударением.",0,Syntax
