text,label,error_type,methods,n_methods
С того времени русские люди заговорили и записали двоечленными предложениями.,1,0,"cleanlab, datamaps, ds2",3
Он отличался большими способностями из своих сверстников.,0,Syntax,"cleanlab, ds2",2
"Мы собрались вместе, чтобы все разобраться в этом деле.",0,Syntax,"cleanlab, ds2",2
Я возмутился на него за грубость.,0,Semantics,"cleanlab, datamaps",2
Вдали дважды белел парусник.,0,Semantics,"cleanlab, datamaps",2
"Я хочу, чтобы ты вернешься а я уйду.",0,Syntax,"cleanlab, datamaps",2
Трон достался убийце своего брата.,0,Syntax,"cleanlab, datamaps",2
Толпа рассеялась один за другим.,0,Syntax,"cleanlab, datamaps, ds2",3
"Если ты будешь решать любую из этих задач, то пользуйся аналитическими уравнениями.",0,Semantics,"cleanlab, datamaps",2
Он посильнее всех.,0,Morphology,"cleanlab, datamaps",2
Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.,0,Semantics,"cleanlab, datamaps",2
"Я случайно стоял поодаль и слышал, что он сказал.",0,Semantics,"cleanlab, datamaps, ds2",3
"Пациент умер, благодаря тому, что вовремя не была оказана медицинская помощь.",0,Semantics,"cleanlab, datamaps",2
Студент готовится всякий сдавать экзамены.,0,Syntax,"cleanlab, datamaps",2
Brexit продемонстрировал высокую степень выраженности метастазов рака кожи и молочной железы.,0,Hallucination,"cleanlab, datamaps",2
"Есть неловкие смены со второго на третьего, и длинные отрывки относятся к доктору Садлеру в третьем лице.",0,Hallucination,"cleanlab, datamaps",2
"Шарлотта, живущая в изолированном доме, попросила у себя двухлетнего сына.",0,Hallucination,"cleanlab, datamaps",2
Никого не было холодно.,0,Syntax,"cleanlab, datamaps",2
"Спасительный оазис то показывался, то исчез снова.",0,Syntax,"cleanlab, datamaps, ds2",3
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике поблизости от шлагбаума.",0,Semantics,"cleanlab, datamaps",2
"Я хочу, чтобы Иван работает.",0,Syntax,"cleanlab, datamaps, ds2",3
"Поместите его обратно туда, где он был.",0,Semantics,"cleanlab, datamaps",2
Это был умный Иван Иванович.,0,Semantics,"cleanlab, datamaps",2
"Трое вакуумщиков действительно ходили как пленные звери рядом со своими насосами — у них был срочный заказ, и их уже вторые сутки не пускали спать.",0,Semantics,"cleanlab, datamaps",2
Выстраивать на столь дрянном фундаменте всякие имперские конструкции крайне опрометчиво.,0,Semantics,"cleanlab, datamaps",2
У нее есть уродство.,0,Semantics,"cleanlab, datamaps, ds2",3
Мы имели возможность работать каждому со своим материалом.,0,Syntax,"cleanlab, datamaps",2
Меня ни разу в этом доме не было.,0,Semantics,"cleanlab, datamaps, ds2",3
В ряде стран Европы и других регионов не разрешили продажу безочистного горчичного масла.,0,Morphology,"cleanlab, datamaps",2
Резко он не затормозил.,0,Semantics,"cleanlab, datamaps, ds2",3
Все утро он был раздражителен.,0,Semantics,"datamaps, ds2",2
Костюма не было в химчистке два года.,0,Semantics,"cleanlab, datamaps",2
"Она воскликнула, что ах, то был только сон.",0,Semantics,"datamaps, ds2",2
"Иван, к сожалению, в отпуске?",0,Semantics,"cleanlab, datamaps, ds2",3
В США в 2003 году состояли 35 сотрудников газеты.,0,Syntax,"cleanlab, datamaps",2
"РПЦ планирует объединить три заповеди в один ""третий заповедник"".",0,Semantics,"cleanlab, datamaps",2
"Он думает, что слушатели, наверное, устали.",0,Semantics,"cleanlab, datamaps",2
"Большинство атабасканских языков имеют более четырех разных слов, и все они имеют много более отличительных консонантов, чем Креа.",1,0,"cleanlab, datamaps",2
"Брат позвонил, когда добравшись до дома.",0,Syntax,"cleanlab, ds2",2
Левое крыло состоялось из двадцати эскадронов кавалерии.,0,Morphology,"cleanlab, datamaps",2
Громадный домище заслонил от меня солнце.,0,Semantics,"cleanlab, datamaps",2
В понедельник в Москве хоронили известных программиста и журналиста Владимира Сухомлина.,0,Syntax,"cleanlab, datamaps",2
Я не прогоняю этой женщины.,0,Semantics,"cleanlab, datamaps",2
"У Маши дети взрослые, а у Даши они в детский сад ходят.",0,Semantics,"cleanlab, datamaps, ds2",3
Потратьте эти деньги на модернизацию чего бы то ни было.,0,Semantics,"cleanlab, datamaps",2
"Потому что его убило, другой головы не поднимает.",0,Syntax,"cleanlab, datamaps",2
МВД арестовало его городским управлением внутренних дел.,0,Syntax,"cleanlab, datamaps",2
"Каждое утро мимо нас по коридору проносили большие термоса и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь.",0,Morphology,"cleanlab, datamaps",2
В доме кто-то есть.,1,0,"datamaps, ds2",2
"Кстати, не случайно первым указом преемника было освобождение Ельцина и его семьи от ответственности за какие-либо, совершенные в бытность на посту президента.",0,Semantics,"cleanlab, datamaps",2
Язык в моей семье и семье был русско-украинский.,0,Hallucination,"cleanlab, datamaps, ds2",3
Маша сидела поодаль от мужа и читала.,0,Semantics,"cleanlab, datamaps, ds2",3
У этой комнаты пять метров в ширину.,0,Semantics,"cleanlab, datamaps, ds2",3
Макманус сыграет в роли Джозефа Сuttonа.,0,Hallucination,"cleanlab, datamaps",2
Темные глаза у нее сияли.,0,Semantics,"cleanlab, datamaps, ds2",3
"Просто ляжете на траву, закройте глаза и почувствуйте, что происходит внутри.",0,Morphology,"cleanlab, datamaps",2
Спортсмен дрался как лев и тигр.,0,Syntax,"cleanlab, ds2",2
Многие млекопитающиеся (а звери ― это как раз и есть млекопитающиеся животные) кусают очень похоже на нас с вами.,0,Morphology,"cleanlab, datamaps",2
"Да, он может входить, если еще пришел!",0,Semantics,"cleanlab, datamaps, ds2",3
Она с негодованием приняла это известие.,0,Semantics,"cleanlab, datamaps",2
Вы одни показались мне веселым.,0,Syntax,"cleanlab, ds2",2
"Она долго бежала рядом с забором, а потом повернула налево.",0,Semantics,"cleanlab, datamaps, ds2",3
Завтра мы слышим оперу.,0,Semantics,"cleanlab, datamaps",2
"Я знаю, что он, несомненно, прав.",0,Semantics,"cleanlab, datamaps, ds2",3
"Главное, на чём следует сосредоточиться и разобраться при разработке плана проекта, — это возможные риски.",0,Syntax,"cleanlab, datamaps",2
"Напрасно вы думаете, что вы здоровы, у вас есть нервное расстройство.",0,Semantics,"cleanlab, datamaps",2
"Маша играет на скрипке, когда Саша – на виолончели.",0,Syntax,"cleanlab, datamaps",2
Он получил промывание желудка.,0,Semantics,"cleanlab, datamaps",2
Когда-нибудь и тебе будет доводиться спать в кресле.,0,Semantics,"cleanlab, datamaps",2
"Едва Степан Трофимович остановился и пригляделся к скользившим белым облачкам по небу, как вдруг услышал лёгкий шорох.",0,Syntax,"cleanlab, datamaps",2
"Все это не делалось, потому что кто-нибудь желал зла Левину.",0,Semantics,"cleanlab, datamaps",2
"Хорошо, что он купил что-нибудь.",0,Semantics,"cleanlab, datamaps, ds2",3
Я с трудом заметил в толпе Петьку.,0,Semantics,"cleanlab, datamaps",2
МГУ отпраздновало свой юбилей.,0,Syntax,"cleanlab, datamaps, ds2",3
"Ученые считают, что степень защищенности всех Вечно сущих равна единице.",0,Morphology,"cleanlab, datamaps",2
Мне его няня передавала.,0,Semantics,"cleanlab, datamaps",2
"Безусловно, неожиданно автобус остановился.",0,Semantics,"cleanlab, datamaps",2
"Когда он увидел это, горе потратило его силы.",0,Semantics,"cleanlab, datamaps",2
"Но Джул не ошибалась, и Томсон, тщательно подумав, согласился с ним.",0,Syntax,"cleanlab, datamaps",2
Я не воспринимаю этого человека.,0,Semantics,"cleanlab, datamaps, ds2",3
Есть ли много животных в зоопарке?,0,Syntax,"cleanlab, datamaps, ds2",3
Солдаты грелись возле костров.,1,0,"cleanlab, datamaps, ds2",3
Вид питается насекомыми в течение дня.,0,Semantics,"cleanlab, datamaps",2
"Я рад, что он, наверное, вернулся.",0,Semantics,"cleanlab, datamaps, ds2",3
Ты можешь взять любую из этих книг.,1,0,"cleanlab, datamaps, ds2",3
"Я принимаю предложение, которое вы сделали Ивану Сергеевичу.",0,Semantics,"cleanlab, datamaps",2
"Резидент Эвил 5 был обвинен в расизме, поскольку главный герой должен отстрелить темнокожих афроамериканцев.",0,Morphology,"cleanlab, datamaps",2
В сражении у Гастингса англичане потерпели поражение.,0,Semantics,"cleanlab, datamaps",2
Он работал на кирпичном заводе у деревни «Малые Вяземы».,0,Semantics,"cleanlab, datamaps",2
Меня к ней уже отослали.,0,Semantics,"cleanlab, datamaps, ds2",3
Он мертвенно становится бледным.,0,Semantics,"cleanlab, datamaps, ds2",3
Вы явно не читали эту книжку?,0,Semantics,"cleanlab, datamaps, ds2",3
Он проталкивался к двери и кашляет от морозного воздуха.,0,Syntax,"datamaps, ds2",2
Мы давно посидели на лавочке.,0,Semantics,"cleanlab, datamaps",2
Приехавшие делегаты на конференцию должны зарегистрироваться согласно установленной процедуре.,0,Syntax,"cleanlab, datamaps",2
"Во многих отношениях, это то, о чем все дело.",0,Morphology,"datamaps, ds2",2
"В музее Екатеринбурга нашли все колокола, изъятые по закону 1930 года о коллекторах.",0,Syntax,"cleanlab, datamaps",2
"Он заставлял жен плясать напоказ голые в будние дни, после чего обменивал их на оружие или на филейную часть мамонта.",0,Syntax,"cleanlab, datamaps",2
Всего мне достаточно.,0,Syntax,"cleanlab, datamaps",2
"Но буквально в полуторах метрах к северу от центральной гробницы мы вскоре обнаружили вторую могилу, не тронутую грабителями.",0,Morphology,"cleanlab, datamaps",2
"Эта история - из категории тех мамочек-золотоскатлиц, которые рассказывают моей дочери перед сном-золотоскатлицам.",0,Hallucination,"cleanlab, ds2",2
Н.С. Михалков недавно еще раз выразил свое желание быть похоронен здесь.,0,Syntax,"cleanlab, datamaps",2
"Та, что в тот день с красной сумкой, оказалась женой Феди.",0,Syntax,"cleanlab, datamaps",2
"Юноши готовились к соревнованиям наездников, считавшихся у черкесов большим событием.",0,Syntax,"cleanlab, ds2",2
Я не считаю уместным давать никакие указания.,0,Semantics,"cleanlab, datamaps",2
Я дала тебе свое сердце.,0,Semantics,"cleanlab, datamaps, ds2",3
"Возьми из моего кармана ключ, он мне мешает.",0,Semantics,"cleanlab, datamaps",2
Мне казалось больным ступать босиком по камешкам.,0,Semantics,"cleanlab, datamaps",2
Самая востребованная профессия была программистом.,0,Syntax,"cleanlab, datamaps",2
"Миша воображает, что его кто-нибудь понял.",0,Semantics,"cleanlab, datamaps, ds2",3
Мая: Давайте останемся здесь вместе... и... никогда не уходим.,0,Syntax,"cleanlab, datamaps",2
Компании повышают ценообразование за счет целевого ценообразования на основе созданных профилей.,0,Hallucination,"cleanlab, datamaps",2
"На нем полковничья шинель без погонов, в руке тонкая тросточка.",0,Morphology,"cleanlab, datamaps",2
Дверь плохо открылась.,0,Semantics,"cleanlab, datamaps, ds2",3
Я взяла ее в свою комнату.,0,Semantics,"cleanlab, datamaps, ds2",3
"Врачи сообщают, что Мика, скорее всего, полностью выздоравливает.",0,Morphology,"cleanlab, datamaps, ds2",3
Начавшийся процесс его обращения надломился и прекратился трагически.,0,Semantics,"cleanlab, datamaps, ds2",3
"Солдат умолк, нахмурился, исподлобья посмотрел на мать, которая сидела, за всё время не пророняя слов.",0,Morphology,"cleanlab, datamaps",2
"Мы знаем, кем кадет объяснял свое решение стать.",0,Syntax,"cleanlab, datamaps",2
"Ты так это сказал, как будто здесь хозяин.",0,Syntax,"cleanlab, datamaps",2
Уличных звуков не доносится сквозь двойные рамы.,0,Semantics,"cleanlab, datamaps",2
Ее голос стал горькой ноткой.,0,Semantics,"cleanlab, datamaps",2
Газифицированные украинские земли начинают влиять друг на друга.,0,Semantics,"cleanlab, datamaps, ds2",3
"Возьми у меня плед, мне тяжело его нести.",1,0,"cleanlab, datamaps, ds2",3
Ваня не был дома.,0,Semantics,"cleanlab, datamaps, ds2",3
"Лежавшая книга на полке была той самой, которую я давно искал.",0,Syntax,"cleanlab, datamaps, ds2",3
"Газет он не читает, а просматривает.",0,Semantics,"cleanlab, datamaps, ds2",3
"Сомневаюсь, что она знает всякие детали.",0,Semantics,"cleanlab, datamaps, ds2",3
Он ест одну мо ковку.,1,0,"cleanlab, ds2",2
Мой друг коренной москвич и проживает в чем-нибудь на Преснена улице Заморенова.,0,Syntax,"cleanlab, datamaps",2
"Согласно официальных данных, в результате землетрясения в Японии погибли более пяти тысяч человек.",0,Syntax,"cleanlab, ds2",2
"Иван закрыл глаза, чтобы он не увидел происходящего.",0,Syntax,"cleanlab, datamaps",2
Котлета бы у него!,0,Semantics,"cleanlab, datamaps",2
Она редко о чем-то мечтает.,0,Semantics,"cleanlab, datamaps, ds2",3
"Наверное, к нему кто-нибудь пришел.",1,0,"datamaps, ds2",2
"Я чувствую, что он, наверное, где-то поблизости.",0,Semantics,"cleanlab, datamaps, ds2",3
"Дети, как я боюсь, не спят.",0,Semantics,"cleanlab, datamaps",2
"А я думал, что он, к счастью, еще здесь.",0,Semantics,"cleanlab, datamaps",2
"Я сказал это, чтобы сказать что-нибудь.",1,0,"datamaps, ds2",2
Я рискую опозданием на семинар.,0,Semantics,"cleanlab, datamaps, ds2",3
Я была вчера на демонстрации.,1,0,"cleanlab, ds2",2
Он с бешенством принял возражения оппонента.,0,Semantics,"cleanlab, datamaps",2
"Джоуи обещает не влиять на Слейда, но это займёт неделю после появления.",0,Hallucination,"datamaps, ds2",2
Постарайся заметить вон ту звездочку над самой горой.,0,Semantics,"cleanlab, datamaps, ds2",3
"Мультфильм ""Алиса"" выиграл лучший анимационный фильм в номинации «Оскар».",0,Syntax,"cleanlab, datamaps",2
"Иван воскликнул, что какой у нее голос.",0,Semantics,"cleanlab, datamaps",2
Король Хуссейн не выбрал преемником Хасана.,0,Semantics,"cleanlab, datamaps",2
Арчер встречает его в доме Элена.,0,Syntax,"cleanlab, datamaps",2
"Я бы объявил, что собрание открыто.",0,Semantics,"cleanlab, datamaps",2
"Он обещает прийти, но не пришел.",0,Semantics,"cleanlab, datamaps, ds2",3
"Я, как только увидел пропажу, выпил и схватился за голову.",0,Semantics,"cleanlab, datamaps",2
Он шел в магазин?,0,Semantics,"cleanlab, datamaps, ds2",3
Пришел мужик в лес и рубил дрова.,0,Semantics,"cleanlab, datamaps, ds2",3
Страны НАТО хотят взять с Ирана обязательство не применять ядерное оружие первый.,0,Syntax,"cleanlab, datamaps",2
Это известие надолго лишает меня сна.,0,Semantics,"cleanlab, datamaps",2
"Пересшила она это платьишко, отделала его кое-где кружевцами, и чудесное платьице вышло.",0,Morphology,"cleanlab, datamaps",2
За тот год добыча угля не возросла на 10 млн тонн.,0,Semantics,"cleanlab, datamaps",2
