text,label,error_type,confidence,variability,correctness,forgetfulness,category
Почти в то же самое время и Афанасий Иванович Тоцкий опять обнаружил свое старинное желание жениться.,1,0,0.9712920784950256,0.038788532731789706,7.0,0.0,easy-to-learn
"Адвокат был нанят подследственным, чтобы отстаивать его интересы.",1,0,0.9781928317887443,0.03305813124954445,7.0,0.0,easy-to-learn
"Так как банк располагался неподалеку, логично было возвратиться.",1,0,0.9620833567210606,0.04383713981903344,7.0,0.0,easy-to-learn
"Мне не хватило двух минут, чтобы высказать ему все, что я о нем думаю.",1,0,0.9734094398362296,0.04207145647589795,7.0,0.0,easy-to-learn
Капитан подтвердил приказ рано утром выйти в море.,1,0,0.9778914451599121,0.03275638615680678,7.0,0.0,easy-to-learn
Фреска была освещена мною в 12 часов.,1,0,0.9678489906447274,0.039226279094345194,7.0,0.0,easy-to-learn
Том скучает по своей жене Марии.,1,0,0.9736187628337315,0.03598572284588848,7.0,0.0,easy-to-learn
Ты потратишь его на отдых и на работу.,1,0,0.9486828190939767,0.07952655075949433,7.0,0.0,ambiguous
"Брат сидел рядом со мной, а муж — сзади.",1,0,0.9618075830595834,0.043100284124586476,7.0,0.0,easy-to-learn
"Он говорит, что в тот момент на дороге показался я.",1,0,0.9529903786523002,0.05249786030406699,7.0,0.0,ambiguous
"Такая, как она, не может поступить иначе.",1,0,0.9529592820576259,0.052285028559586284,7.0,0.0,ambiguous
С того времени русские люди заговорили и записали двоечленными предложениями.,1,0,0.7685380918639046,0.2778837698361372,5.0,1.0,ambiguous
Он где-то достал 30 фунтов меда.,1,0,0.9681567890303475,0.038486421956270625,7.0,0.0,easy-to-learn
Димка совсем обессилел от крика и слёз.,1,0,0.9546790633882795,0.04802631794722228,7.0,0.0,hard-to-learn
Том часто не ходит в школу.,1,0,0.9754673753465924,0.03520457478519425,7.0,0.0,easy-to-learn
Фреска была освещена мною с помощью карманного фонаря.,1,0,0.9667408806937081,0.04049712840180231,7.0,0.0,easy-to-learn
В 1982 году он эмигрировал в Израиль и работал в кибюте Тель-Катизер.,1,0,0.9620581950460162,0.0598177586211494,7.0,0.0,ambiguous
"Политически, исламское возрождение выходит за рамки исламских режимов в Иране, Судане и Афганистане.",1,0,0.96953227690288,0.054386938062096844,7.0,0.0,ambiguous
