premise,hypothesis,label,original_split
"Женщину доставили в больницу, за ее жизнь сейчас борются врачи.",Женщину спасают врачи.,entailment,train
"Он проводит невидимую грань между настоящим и будущим. В эти минуты все мы подводим главные итоги года, вспоминаем самые важные события. В эти мгновения мы с волнением ждем добрых перемен.",В эти минуты все мы подводим друг друга.,not_entailment,train
"Мужчина рассказал: детская коляска, принадлежащая его семье, пропала прямо из подъезда. Как выяснили полицейские, коляску украл сосед мужчины. Он был пьян, и ему нужны были деньги.",Сосед часто крадет детские коляски ради денег.,not_entailment,train
"Я просто об этом даже не думаю, потому что если кто-то что-то захочет, никуда не спрячешься.",Спрятаться не удастся.,entailment,train
"В ходе проверки нашли дома с наледью и сосульками на крышах. Информацию о них передали коммунальщикам. Во избежание несчастных случаев спасатели рекомендуют гражданам быть осторожней, а коммунальщикам – оперативней, при выходе из зданий советуют смотреть на крыши и, по возможности, обходить края зданий.",Все сосульки с крыш были сбиты.,not_entailment,train
"Автор поста написал в комментарии, что прорвалась канализация.",Автор поста написал про канализацию.,entailment,train
"""В свою очередь Владимир Путин в ходе совещания сообщил, что необходимо понимать, с какими поставщиками работают предприятия, которые дают окончательную продукцию. """"Там десятки тысяч поставщиков, но нам нужно понимать, что это за поставщики, чтобы это были те предприятия, которые в состоянии решать соответствующие проблемы, чтобы нам была понятна их рентабельность, чтобы распределение прибыли было понятным и прозрачным"""", - сказал премьер. По его словам, это необходимо, потому что когда неизвестны все схемы поставщиков, министерству обороны практически невозможно разобраться в конечной цене продукции.""",Путин хочет понятности и прозрачности в распределении прибыли у поставщиков оборонных предприятий.,entailment,train
"Ходатайство о продлении заявила адвокат задержанной, отметив, что следствием не были предоставлены документы, характеризующие личность задержанной.",Адвокат задержанной отметила отличную работу следствия.,not_entailment,train
"""Возраст людей определить не смог. Их лица были закрыты капюшонами, - рассказал журналисту """"Комсомольской правды""""-Саратов один из автолюбителей, проезжавших на мосту. - Со стороны обоих городов образовалась пробка, так как прибывшие машины спасателей и полиции перегородили полосу движения.""",Люди прятали лица под капюшонами.,entailment,train
"Родительских прав мать не лишена. Пока. А в парадном девочка оказалась, потому что дома она мешала матери выпивать.",Дочь мешала маме пить.,entailment,train
"Музей, расположенный в Королевских воротах, меняет экспозицию. На смену выставке, рассказывающей об истории ворот и их реставрации, придет «Аптека трех королей». Как рассказали в музее, посетители попадут в традиционный интерьер аптеки.",Музей закроется навсегда.,not_entailment,train
"27 декабря в полицию обратилась жительница Димитровграда, которая сообщила, что стала жертвой мошенников. Она рассказала полицейским, что ей позвонил якобы сотрудник банка. Он сообщил, что, поскольку женщина является их постоянным клиентом, ей положена компенсация.",Сотрудник банка пообещал женщине компенсацию.,not_entailment,train
