text,label,error_type,confidence,variability,correctness,forgetfulness,category
"Президент заявил, что у России достаточно сил для проведения профилактических забастовок.",0,Semantics,0.023866963805630803,0.0327222686124277,0.0,0.0,hard-to-learn
"Это серьезная и глубокая брошюра, и читать ее быстро я не могу.",0,Semantics,0.02404055802617222,0.035262863460211284,0.0,0.0,hard-to-learn
В сражении у Гастингса англичане потерпели поражение.,0,Semantics,0.024429716702018465,0.029255780486249345,0.0,0.0,hard-to-learn
Друзей с нами не осталось.,0,Semantics,0.02576507717770125,0.02980711183588131,0.0,0.0,hard-to-learn
Это был умный Иван Иванович.,0,Semantics,0.02714099981156843,0.026823975564152315,0.0,0.0,hard-to-learn
Он отказывался от каких-либо предложений.,0,Semantics,0.027311335084959865,0.03034321520824443,0.0,0.0,hard-to-learn
У него не было причин ничего менять.,0,Semantics,0.027799763583711216,0.02934132546721937,0.0,0.0,hard-to-learn
Она взяла из сундука небольшой коврик и постелила его перед диваном.,0,Semantics,0.027857436731989895,0.03487545611071942,0.0,0.0,hard-to-learn
Именно так и началась его гибель.,0,Semantics,0.03020712942816317,0.034074291848156794,0.0,0.0,hard-to-learn
Я рискую опозданием на семинар.,0,Semantics,0.032787114597990046,0.04230483371528004,0.0,0.0,hard-to-learn
"Да его никто и не слушал, потому что Старшов смотрел на Олексина-старшего, а тот мучительно преодолел неимоверно разросшуюся застенчивость.",0,Semantics,0.03355781319883785,0.03925447706935229,0.0,0.0,hard-to-learn
"Не должно быть подозрений, что судью привлекают только потому, что он высказал свое критическое отношение к каким бы то ни было действиям самой государственной власти.",0,Semantics,0.034394382765250545,0.03701816063373975,0.0,0.0,hard-to-learn
"Ученые сообщили, что 6 июня 1998 года с рекордом в повышении максимума.",1,0,0.037145167822018266,0.065493172841323,0.0,0.0,ambiguous
"Такое гнездо строится животными не только для себя, но и для других членов группы.",1,0,0.038029182835349014,0.05657306475651409,0.0,0.0,ambiguous
Последующие события подтвердили мне его правоту.,0,Semantics,0.040510592316942554,0.03236247609431058,0.0,0.0,hard-to-learn
Я принял его в свою избу.,0,Semantics,0.040675955824553967,0.03703378884813719,0.0,0.0,hard-to-learn
А Матвей уже остался ― посуду мыл.,0,Semantics,0.04218991845846176,0.04508719391690502,0.0,0.0,hard-to-learn
Я взяла ее в свою комнату.,0,Semantics,0.04259824739503009,0.03080871203851404,0.0,0.0,hard-to-learn
"Брат сидел около меня, а муж — сзади.",0,Semantics,0.05055567103305033,0.03831422729915957,0.0,0.0,hard-to-learn
"Когда ты позвонил, я открывал окно.",0,Semantics,0.054384676473481317,0.04920885109674123,0.0,0.0,hard-to-learn
"Если все инженеры могут выполнить эту работу, то зачем приглашать какого-то знаменитого специалиста.",0,Semantics,0.05843417313215988,0.072817533455512,0.0,0.0,ambiguous
"У нее болит голова, она остается дома.",0,Semantics,0.061884903348982334,0.046896071963507646,0.0,0.0,hard-to-learn
Я не просил его никого слушать.,0,Semantics,0.06613329491977181,0.03923215912966257,0.0,0.0,hard-to-learn
Ваня не был дома.,0,Semantics,0.06996388281030315,0.051116785370971037,0.0,0.0,hard-to-learn
"Ты тогда замечал, что он странно себя ведет?",0,Semantics,0.07361989787646703,0.052667520885414695,0.0,0.0,ambiguous
Как мама потом нашла у дочки в шкафе этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,0,Morphology,0.0752811113239399,0.06426890358786123,0.0,0.0,ambiguous
Том не пытается вас впечатлять.,0,Morphology,0.07591160120708602,0.043176869117722255,0.0,0.0,hard-to-learn
Вы явно не читали эту книжку?,0,Semantics,0.07658372500113078,0.04074655060665972,0.0,0.0,hard-to-learn
"Появится кто-нибудь совершенно новый, неведомый, порожденный нынешней ситуацией, ни на что ожидаемое не похожий.",0,Semantics,0.07983984878020627,0.05840148789406751,0.0,0.0,ambiguous
"Новые катеры и водометы-толкачи гудят коротко, высоко и гнусаво.",0,Morphology,0.09548897469150168,0.06807986516885432,0.0,0.0,ambiguous
У нас завтра будет что-то.,0,Syntax,0.0969928428530693,0.039627797962112625,0.0,0.0,hard-to-learn
У него только одни способности.,0,Semantics,0.09968220655407224,0.04747274548299524,0.0,0.0,hard-to-learn
У меня вставили зубы.,0,Semantics,0.10206509487969535,0.03464626081445664,0.0,0.0,hard-to-learn
Он ищет какую-нибудь новую секретаршу.,0,Semantics,0.10772956402174064,0.04667421660393864,0.0,0.0,hard-to-learn
"Хотя он всегда с собой кого-то брал, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",0,Semantics,0.11291892507246562,0.0805971163597062,0.0,0.0,ambiguous
Маша считает этот суп достаточным.,0,Semantics,0.12239982453840119,0.12380019018280301,0.0,0.0,ambiguous
"И право, так мало делается этим кому-то зла, а себе столько удовольствия.",0,Semantics,0.1244660344507013,0.11036414534841793,0.0,0.0,ambiguous
Очки лежали у книги.,0,Semantics,0.12692283200366156,0.0702744007053973,0.0,0.0,ambiguous
В этот момент он начал речь приветствием.,0,Semantics,0.13176357786038093,0.18767883937235946,1.0,1.0,ambiguous
"Когда ты вошел, я не обедал.",0,Semantics,0.13905558309384755,0.07634294253092186,0.0,0.0,ambiguous
Они попели песни рядом с кострами.,0,Semantics,0.14318457205912896,0.12861592541080513,0.0,0.0,ambiguous
"Тут пара чулков барышниных, да наволочка, да два полотенца.",0,Morphology,0.14366558832781656,0.05548691694040174,0.0,0.0,ambiguous
"Директриса сидела с той же вежливой улыбочкой, не пророняя ни слова.",0,Morphology,0.14409255236387253,0.13603135361935298,0.0,0.0,ambiguous
"Я не думаю, погода изменится.",0,Semantics,0.14549967992518628,0.1315096941117243,0.0,0.0,ambiguous
